case,n,seed,P,precision,near_radius2,K_max,virtual_depth,sigma_classes,route,contact_orbit,refinement_depth,routes,body_pairs,mean_target_occupancy,mean_source_occupancy,max_target_occupancy,max_source_occupancy,source_timing_record
cube,2048,41003,4,Float64,5,32,3,1,direct,self,0,11,11,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,self,1,2230,2230,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,self,2,15008,15008,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,self,3,13523,14891,1.048658,1.048658,3,3,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,sigma_demoted_outer,0,88,88,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,sigma_demoted_outer,1,298262,298262,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,sigma_demoted_outer,2,1289946,1289946,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,4,Float64,5,32,3,1,direct,sigma_demoted_outer,3,614870,679762,1.052421,1.052421,3,3,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,M2L,outer_0_0_1,3,156,168,1.038462,1.038462,2,2,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,M2T,sigma_demoted_outer,0,7062,236262,5.893939,5.893939,32,32,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,M2T,sigma_demoted_outer,1,158952,561078,1.884040,1.884040,8,8,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,M2T,sigma_demoted_outer,2,196700,257640,1.144662,1.144662,4,4,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,M2T,sigma_demoted_outer,3,36934,40194,1.043537,1.043537,3,3,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,corner,1,5488,5488,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,corner,2,35268,35268,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,corner,3,27454,30310,1.051322,1.051322,3,3,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,edge,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,edge,1,11758,11758,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,edge,2,88420,88420,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,edge,3,62280,69016,1.053565,1.053565,3,3,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,face,1,8708,8708,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,face,2,79814,79814,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,face,3,56658,62218,1.048678,1.048678,3,3,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,outer_0_0_1,0,2,2,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,outer_0_0_1,1,20868,20868,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,outer_0_0_1,2,214298,214298,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,outer_0_0_1,3,149530,164676,1.050110,1.050110,3,3,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,self,0,11,11,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,self,1,2230,2230,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,self,2,15008,15008,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,self,3,13523,14891,1.048658,1.048658,3,3,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,sigma_demoted_outer,0,88,88,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,sigma_demoted_outer,1,298262,298262,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,sigma_demoted_outer,2,1289946,1289946,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
cube,2048,41003,8,Float64,5,32,3,1,direct,sigma_demoted_outer,3,614870,679762,1.052421,1.052421,3,3,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,0,1,M2T,sigma_demoted_outer,0,24,96,2.000000,2.000000,3,3,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,0,1,direct,corner,0,1458,18410,3.572702,3.572702,30,30,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,0,1,direct,edge,0,2952,49456,3.937331,3.937331,30,30,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,0,1,direct,face,0,2102,56164,4.614653,4.614653,30,30,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,0,1,direct,outer_0_0_1,0,6692,108650,3.918858,3.918858,30,30,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,0,1,direct,self,0,451,22868,4.541020,4.541020,30,30,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,0,1,direct,sigma_demoted_outer,0,189722,3938660,4.579306,4.579306,30,30,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,0,1,M2T,sigma_demoted_outer,0,24,96,2.000000,2.000000,3,3,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,0,1,direct,corner,0,1458,18410,3.572702,3.572702,30,30,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,0,1,direct,edge,0,2952,49456,3.937331,3.937331,30,30,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,0,1,direct,face,0,2102,56164,4.614653,4.614653,30,30,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,0,1,direct,outer_0_0_1,0,6692,108650,3.918858,3.918858,30,30,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,0,1,direct,self,0,451,22868,4.541020,4.541020,30,30,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,0,1,direct,sigma_demoted_outer,0,189722,3938660,4.579306,4.579306,30,30,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,M2T,sigma_demoted_outer,0,24,96,2.000000,2.000000,3,3,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,M2T,sigma_demoted_outer,1,1006,1278,1.131213,1.131213,9,9,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,corner,0,166,166,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,corner,1,5800,18244,1.761897,1.761897,16,16,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,edge,0,326,326,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,edge,1,12486,49130,1.878984,1.878984,16,16,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,face,0,232,232,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,face,1,10152,55932,2.186466,2.186466,16,16,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,outer_0_0_1,0,786,786,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,outer_0_0_1,1,29974,107864,1.855908,1.855908,16,16,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,self,0,148,148,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,self,1,2583,22720,2.356949,2.356949,16,16,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,sigma_demoted_outer,0,20246,20246,1.000000,1.000000,1,1,fm041a_gpu_stages.csv
wake,2048,41003,4,Float64,5,32,1,1,direct,sigma_demoted_outer,1,847232,3917136,2.166575,2.166575,16,16,fm041a_gpu_stages.csv
wake,2048,41003,8,Float64,5,32,1,1,M2T,sigma_demoted_outer,0,24,96,2.000000,2.000000,3,3,fm041a_gpu_stages.csv
