job,case,n,K,precision,P,shape,status,fused_engaged,t_cold_s,mem_gb,t_near_ms,t_life_ms,t_life_serial_ms,t_update_ms,vel_rel_rms,n_leaves,n_u,route_uploads,operator_uploads,expansion_host_copies,route_flat,operator_flat
13193492,wake,100000,256,Float32,4,fused_cta,ok,true,1.225,1.906,2.2036,3.033,4.452,1.41,5.621e-04,1225,52195,2,4,0,true,true
13193492,wake,100000,256,Float32,4,fused_srclanes,ok,true,1.19,1.906,2.4283,3.578,4.78,1.455,5.621e-04,1225,52195,2,4,0,true,true
13193492,wake,100000,256,Float32,4,fused_packed,ok,true,1.205,1.906,1.3501,2.891,3.703,1.452,5.621e-04,1225,52195,2,4,0,true,true
13193492,wake,100000,256,Float64,4,pairs,ok,false,0.112,2.0,1.7857,6.476,7.107,1.522,5.621e-04,1225,52195,2,4,0,true,true
13193492,wake,100000,256,Float64,4,fused_cta,ok,true,0.126,2.0,4.4196,6.929,9.586,1.542,5.621e-04,1225,52195,2,4,0,true,true
13193492,wake,100000,256,Float64,4,fused_srclanes,ok,true,0.112,2.0,3.6816,7.56,8.838,1.528,5.621e-04,1225,52195,2,4,0,true,true
13193492,wake,100000,256,Float64,4,fused_packed,ok,true,0.112,2.0,2.654,6.759,7.929,1.539,5.621e-04,1225,52195,2,4,0,true,true
13193492,wake,1000000,256,Float32,4,pairs,ok,false,1.955,2.875,11.1137,18.905,19.48,7.538,6.887e-04,8227,413111,2,4,0,true,true
13193492,wake,1000000,256,Float32,4,fused_cta,ok,true,1.633,2.875,13.2253,20.027,21.571,7.793,6.887e-04,8227,413111,2,4,0,true,true
13193492,wake,1000000,256,Float32,4,fused_srclanes,ok,true,1.35,2.875,16.4986,23.481,24.897,7.55,6.887e-04,8227,413111,2,4,0,true,true
13193492,wake,1000000,256,Float32,4,fused_packed,ok,true,1.37,2.875,11.1146,18.314,19.407,8.07,6.887e-04,8227,413111,2,4,0,true,true
13193492,wake,1000000,256,Float64,4,pairs,ok,false,0.245,3.094,24.9013,38.785,39.55,12.239,6.892e-04,8227,413111,2,4,0,true,true
13193492,wake,1000000,256,Float64,4,fused_cta,ok,true,0.242,3.094,27.7474,40.232,42.63,9.864,6.892e-04,8227,413111,2,4,0,true,true
13193492,wake,1000000,256,Float64,4,fused_srclanes,ok,true,0.253,3.094,29.1406,41.476,43.831,10.433,6.892e-04,8227,413111,2,4,0,true,true
13193492,wake,1000000,256,Float64,4,fused_packed,ok,true,0.242,3.094,22.4705,35.529,37.381,12.147,6.892e-04,8227,413111,2,4,0,true,true
