label,job,host,case,n,kernel,tf,ell,q,sched,strategy,K,rho_t,status,message,uj_ms_median,uj_ms_min,reset_ms,refresh_ms,eval_ms,finalize_ms,overhead_ms,rk3_step_ms,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,u_rel_rms,u_max_err,j_rel_rms,gate_pass,n_cells,n_nodes,n_routes,n_direct,total_cells,nodes_per_level,routes_per_level,construct_s,alloc_bytes_step,device_mem_gb,counters_flat
c5_p_e3q16_K4096_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,3,16,uniform,concat,4096,default,ok,,36.234,35.907,0.046,0.354,35.525,0.055,0.253,,,,,,,,,,,,5.6575e-04,6.1185e-06,1.7048e-03,true,512,585,173808,71200,512,,,0.06,6816,1.39,true
c5_p_e3q16_rho479_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,3,16,uniform,concat,256,4.789,ok,,42.336,41.863,0.045,0.35,41.903,0.057,-0.019,,,,,,,,,,,,5.6520e-04,6.2583e-06,1.6782e-03,true,512,585,173808,71200,512,,,0.07,6808,1.6,true
c5_p_e3q16_s2016_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,3,16,20 16,concat,256,default,ok,,44.113,43.427,0.049,0.356,43.54,0.056,0.112,,,,,,,,,,,,5.6528e-04,6.1325e-06,1.7036e-03,true,512,585,187416,71200,512,,,0.38,9724,1.6,true
c5_p_e4q16_s202016_f32,13134906,m13h-1-1,cube,100000,partitioned,Float32,4,16,20 20 16,concat,256,default,ok,,39.199,38.727,0.048,0.329,38.549,0.057,0.215,,,,,,,,,,,,1.0300e-03,9.9298e-06,6.2649e-03,false,2744,3329,3156104,506224,4096,,,0.37,49808,1.67,true
w5_reg_auto_f64,13134906,m13h-1-1,wake,100000,regularized,Float64,5,16,uniform,concat,256,default,ok,,57.072,56.886,0.047,0.3,57.051,0.062,-0.388,,18.743,1.36,10.699,1.333,25.463,0.528,0.0,0.0,2.935,0.004,4.7937e-04,7.4823e-05,4.3601e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,0.14,12584,2.73,true
w5_reg_auto_f32,13134906,m13h-1-1,wake,100000,regularized,Float32,5,16,uniform,concat,256,default,ok,,36.577,35.522,0.052,0.31,35.794,0.057,0.364,,11.396,1.436,11.165,1.425,11.412,0.52,0.0,0.0,2.901,0.003,4.7936e-04,7.4821e-05,4.3601e-03,true,896,1121,240464,121104,32768,1 8 16 32 168 896,0 288 9792 230384,0.08,12056,3.35,true
w5_part_auto_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,5,16,uniform,concat,256,default,ok,,30.281,29.966,0.045,0.333,29.427,0.054,0.422,,,,,,,,,,,,4.7925e-04,7.4883e-05,4.3623e-03,true,896,1121,240464,121104,32768,,,0.07,12056,3.23,true
w5_p_e3q4_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,3,4,uniform,concat,256,default,ok,,366.174,362.254,0.046,0.274,366.288,0.055,-0.488,,,,,,,,,,,,2.8473e-03,3.8081e-04,6.9506e-03,false,32,57,384,400,512,,,0.37,1396,2.51,true
w5_p_e3q8_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,3,8,uniform,concat,256,default,ok,,367.835,362.879,0.046,0.279,367.624,0.055,-0.169,,,,,,,,,,,,3.2359e-04,3.2181e-05,8.5883e-04,true,32,57,384,544,512,,,0.38,1500,1.6,true
w5_p_e3q16_f32,13134906,m13h-1-1,wake,100000,partitioned,Float32,3,16,uniform,concat,256,default,ok,,367.72,362.614,0.046,0.285,367.525,0.055,-0.191,,,,,,,,,,,,4.4423e-05,4.7117e-06,1.7985e-04,true,32,57,288,736,512,,,0.39,1776,1.57,true
