variant,form,precision,blas_threads,P,lamb_helmholtz,batch,measured_batch,scaled,seconds,seconds_per_expansion
factored,batched_operator,Float64,1,1,true,64,64,false,5.203700e-05,8.130781e-07
materialized,batched_operator,Float64,1,1,true,256,256,false,2.394860e-04,9.354922e-07
factored,batched_operator,Float64,1,1,true,256,256,false,2.069650e-04,8.084570e-07
materialized,batched_operator,Float64,1,1,true,1024,1024,false,9.806070e-04,9.576240e-07
factored,batched_operator,Float64,1,1,true,1024,1024,false,8.285640e-04,8.091445e-07
materialized,batched_operator,Float64,1,1,true,4096,4096,false,3.857459e-03,9.417625e-07
factored,batched_operator,Float64,1,1,true,4096,4096,false,3.327601e-03,8.124026e-07
production_recurrence,recurrence,Float64,1,1,true,1,1,false,3.620850e-07,3.620850e-07
production_recurrence,recurrence,Float64,1,1,true,2,2,false,7.281370e-07,3.640685e-07
production_recurrence,recurrence,Float64,1,1,true,4,4,false,1.450700e-06,3.626750e-07
production_recurrence,recurrence,Float64,1,1,true,8,8,false,2.938480e-06,3.673100e-07
production_recurrence,recurrence,Float64,1,1,true,16,16,false,5.734190e-06,3.583869e-07
production_recurrence,recurrence,Float64,1,1,true,32,32,false,1.147840e-05,3.587000e-07
production_recurrence,recurrence,Float64,1,1,true,64,64,false,2.283760e-05,3.568375e-07
production_recurrence,recurrence,Float64,1,1,true,256,256,false,9.245940e-05,3.611695e-07
production_recurrence,recurrence,Float64,1,1,true,1024,1024,false,3.687580e-04,3.601152e-07
production_recurrence,recurrence,Float64,1,1,true,4096,2048,true,1.480960e-03,3.615625e-07
materialized,batched_operator,Float64,1,2,false,1,1,false,7.674600e-07,7.674600e-07
factored,batched_operator,Float64,1,2,false,1,1,false,5.937560e-07,5.937560e-07
materialized,batched_operator,Float64,1,2,false,2,2,false,1.449400e-06,7.247000e-07
factored,batched_operator,Float64,1,2,false,2,2,false,1.144130e-06,5.720650e-07
materialized,batched_operator,Float64,1,2,false,4,4,false,2.813950e-06,7.034875e-07
factored,batched_operator,Float64,1,2,false,4,4,false,2.223450e-06,5.558625e-07
materialized,batched_operator,Float64,1,2,false,8,8,false,5.454860e-06,6.818575e-07
factored,batched_operator,Float64,1,2,false,8,8,false,4.375660e-06,5.469575e-07
materialized,batched_operator,Float64,1,2,false,16,16,false,1.062380e-05,6.639875e-07
factored,batched_operator,Float64,1,2,false,16,16,false,8.671860e-06,5.419912e-07
materialized,batched_operator,Float64,1,2,false,32,32,false,2.108630e-05,6.589469e-07
factored,batched_operator,Float64,1,2,false,32,32,false,1.728310e-05,5.400969e-07
materialized,batched_operator,Float64,1,2,false,64,64,false,4.213650e-05,6.583828e-07
factored,batched_operator,Float64,1,2,false,64,64,false,3.448630e-05,5.388484e-07
materialized,batched_operator,Float64,1,2,false,256,256,false,1.683340e-04,6.575547e-07
factored,batched_operator,Float64,1,2,false,256,256,false,1.376460e-04,5.376797e-07
materialized,batched_operator,Float64,1,2,false,1024,1024,false,6.743560e-04,6.585508e-07
factored,batched_operator,Float64,1,2,false,1024,1024,false,5.517380e-04,5.388066e-07
materialized,batched_operator,Float64,1,2,false,4096,4096,false,2.700392e-03,6.592754e-07
