case,n_target,n_actual,seed,sampler_seed,samples,host,timestamp,index,ux,uy,uz,j11,j21,j31,j12,j22,j32,j13,j23,j33
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1663,0.00014619613337259278,-0.22308522310352996,-0.36746506665238843,1.222613907118738,-39.19553364909783,-41.812701064755764,48.25209023073676,-12.391040365623605,11.721496517808141,25.2385983461158,-20.616890147373745,11.16842645850494
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1664,0.010463095864839272,-0.2433747793924523,-0.36996587161861877,1.0582635459228384,-40.3998842961277,-43.02882507685173,48.91379005674556,-12.093880133874343,12.973907038495273,26.225680394378728,-22.33217795216271,11.035616587951436
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1665,0.02123956129285871,-0.20591408150028878,-0.34389016588717836,0.8902310235227854,-37.699339252796236,-41.37907733543634,46.82957183476413,-13.39323018991945,9.99081509533388,25.10559234828872,-19.731708802013365,12.502999166396675
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1666,-0.05340288914617212,-0.13884114487811422,-0.34351825388982943,1.1795683696191768,-35.046999962476775,-37.21624984753621,46.56731522635272,-14.185153535833154,9.855715376893652,19.178490415897954,-13.987553625386191,13.005585166213919
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1667,-0.03472122606006422,-0.19048700236703484,-0.4085340787820705,1.121021858498142,-30.18866856216999,-32.87902577876163,41.55446052095749,-9.809730418696958,8.078420648610363,17.001124488168468,-16.401287819988895,8.688708560198776
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1668,-0.2704258287250335,-0.19316223172891292,-1.2757022249738903,-23.901291006162953,-3.8237041819240467,-46.80685279774093,9.527676456422371,-2.912202325240188,-9.059325752673262,30.913112208620845,15.663365740238316,26.813493331403127
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1669,-0.3290177824369222,-0.24515624487660986,-1.4337959502897124,-24.453984438890714,-5.69872931046258,-56.77275995054735,6.642762175563948,-4.7873901915882255,-17.7434506158849,42.41210082783802,19.661665277537796,29.241374630479054
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1670,-0.2766906856341211,-0.2415369936000871,-1.2732932405048156,-23.86407165233961,-7.495465556555656,-67.69867748072181,5.8500484403389095,-3.6791109735408023,-14.879587536957144,45.526270655091416,22.000136751350556,27.543182625880412
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1671,-0.3609810511273981,-0.30609256944834506,-1.4585388897617717,-23.5006799416983,-8.302902506245323,-72.32803921910049,4.41529766376016,-5.789861216489024,-22.942856631675035,49.073278052361516,24.660244103879254,29.290541158187338
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1672,-0.07365010322487632,-0.20048279318734766,-1.2681200709633962,-21.586737862571844,-12.88865614769765,-77.83328503698938,7.286662916724248,-1.6047529377026624,-31.102876223136068,51.959439114491786,28.424862771453654,23.191490800274426
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1673,-0.26606098356277513,-0.3248477735832434,-1.3709315454644917,-23.820326736730824,-13.619138849796562,-83.77426768694816,6.06245850646776,-4.837859957612344,-37.479335447529856,54.09200910805176,34.02011093731517,28.65818669434317
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1674,-0.15092687263980786,-0.27930752930727276,-1.5372890281750593,-24.86149165196228,-15.15221495377206,-76.22150680717768,6.293436911275868,-3.777856303438116,-38.35654343729441,56.00157661641401,33.811988668203405,28.63934795540039
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1675,-0.07945045836834974,-0.25335887532537976,-1.3800607136559473,-22.597273995396982,-17.215590646249797,-82.12709986465353,7.3281540781599785,-3.2394882406105294,-48.77975000700954,55.60356202759406,38.839456072370304,25.836762236007374
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1676,-0.23359433875307556,-0.3897647066465375,-1.5162773805992322,-22.69397619359057,-15.817228123872153,-81.93772519757866,7.53948779971787,-5.831142687725397,-53.07581770264623,51.23450930312451,41.038521725395256,28.525118881316057
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1677,-0.09517638069049413,-0.30443096085565946,-1.378184096908819,-20.911338780326,-17.854271543517054,-81.91269937615697,6.430906191086024,-5.443572773961347,-58.91258514100312,53.23054038677319,45.30365344174779,26.35491155428734
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1678,-0.08355674150797288,-0.3202208043100653,-1.3559259701556807,-19.062101988655595,-17.694141723234583,-80.90817267838402,5.045826027094331,-6.9961848858907185,-63.155466540557526,50.754781840563275,48.100188378171396,26.05828687454639
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1679,-0.0912416920758652,-0.3601433795673132,-1.4214880351788577,-17.4554160887368,-17.081538141019877,-79.79026534233651,3.745561023639126,-8.945234340998393,-66.3554375480494,48.216964075535735,50.092251775967334,26.40065042973521
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1680,-0.09157231656608901,-0.4073099733456126,-1.4705210539766873,-14.804618961647138,-15.798298873741711,-77.40148916190506,2.2243090223361257,-11.359619093037518,-70.36679695338844,43.74280272834678,52.00090414345981,26.164238054684684
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1681,0.021581622007007813,-0.2772033070811269,-1.2539641988547894,-11.55490338668557,-16.394532172783347,-74.85644522522139,1.1791583461538533,-10.559403501108081,-71.67858618552395,44.677959596117695,55.05984801675788,22.114306887793752
rotor,10000,10000,33025,33026,10000,mecsrs-MacBook-Pro-188.local,2026-08-14T01:46:17,1682,-0.014613002844886789,-0.38095746620180804,-1.496940737379507,-11.179509084421072,-15.855083057413784,-72.02553208985617,0.9204814175129133,-13.18804895935785,-77.14467728109254,41.181117771111346,57.79626289894406,24.367558043778978
