step,wall_s,body_influence,controls_setup,io,monitors,remaining_aerodynamics,rigid_kinematics,shedding,solve,total_step,unclassified_residual,wake_influence,wake_propagation_maintenance,wake_sfs,g_influence_pass1,g_influence_pass3
47,3.47,1.1086298,2.5747e-05,0.51830632,0.473899543,0.10888568700000001,0.000502234,0.027811945,0.674926618,3.984982674,0.00017902400000080476,1.051701514,0.020114242,0.6826205879999999,0.36877,1.1085
48,3.99,1.108546764,2.0706e-05,0.488302387,0.127122173,0.11350780099999999,0.000460901,0.030848397,0.665199104,3.710938468,0.0002635030000002203,1.162200887,0.014465845,0.75634457,0.40553,1.1084
49,3.71,1.10820749,3.0667e-05,0.507829082,0.12044053,0.114075226,0.000498972,0.029633618,0.6685904,3.832853414,0.00021007299999986628,1.26626301,0.017074346,0.821446301,0.44446,1.108
50,3.83,1.108132404,2.2255e-05,0.504374146,0.119675232,0.110156979,0.000497327,0.030039988,0.671799061,3.871233768,0.00019757199999981268,1.305475978,0.020862826,0.84267371,0.46244,1.108
51,3.87,1.108614405,2.2997e-05,0.502716396,0.124995893,0.107721595,0.000490872,0.028737134,0.666730273,3.75564818,0.00018213500000019422,1.199727162,0.015709318,0.7746631850000001,0.42475,1.1085
52,3.76,1.110426028,1.8459e-05,0.565194041,0.13214642,0.109079669,0.000458364,0.029232446,0.665840471,3.682462298,0.0001794070000000758,1.052210853,0.01767614,0.6860163859999999,0.36588,1.1103
53,3.68,1.110438837,1.9099e-05,0.543609708,0.131253942,0.10800563099999999,0.000504326,0.030189409,0.674112039,3.534539845,0.00018467199999960826,0.914009996,0.022212186,0.5777521400000001,0.33602,1.1103
54,3.53,1.108815303,2.4007e-05,0.518011164,1.704696403,0.10816660800000001,0.000534337,0.030239028,0.657592616,5.045084644,0.00019244000000018247,0.898599846,0.018212892,0.580565265,0.31766,1.1087
55,5.05,1.107989138,2.0719e-05,0.556708475,0.136900751,0.10831723499999998,0.000498333,0.030048478,0.667036894,3.572052159,0.0001847160000005843,0.942380831,0.021966589,0.616008309,0.32606,1.1078
56,3.57,1.10762844,2.0816e-05,0.541494017,0.136145993,0.108759499,0.000475491,0.029653827,0.674957808,3.624235673,0.00017728599999955463,1.007726032,0.017196464,0.633001011,0.37439,1.1075
57,3.62,1.108897087,2.2192e-05,0.559305716,0.129400184,0.37593376799999995,0.000483695,0.030629522,0.663489192,4.011126853,0.0002406510000003692,1.124409673,0.018315173,0.7357509839999999,0.38831,1.1087
58,4.01,1.108889495,2.9832e-05,0.546618956,0.130276264,0.10728055300000001,0.000503076,0.030711976,0.680469482,3.771048318,0.00019496499999993588,1.146639404,0.019434315,0.7474011060000001,0.39896,1.1087
59,3.77,1.109377613,2.3527e-05,0.571203441,0.14602224,0.10809521899999999,0.00049183,0.030327412,0.68148502,3.831287989,0.00018018799999941493,1.164609955,0.019471544,0.754563459,0.4097,1.1092
60,3.83,1.110770188,2.1767e-05,0.580222529,0.148327282,0.10840328099999999,0.000495574,0.029483007,0.662502976,3.784506673,0.0001795409999996167,1.122737914,0.021362614,0.7201395859999999,0.40231,1.1106
61,3.78,1.112171319,2.0838e-05,0.583034963,0.164985664,0.109108522,0.000503818,0.029696267,0.668778282,3.761938209,0.00021787299999997956,1.069019756,0.024400907,0.679918816,0.38883,1.112
62,3.76,1.111835823,2.9643e-05,0.576945115,0.157354835,0.106446592,0.000509987,0.029782776,0.663785574,3.751229591,0.00021859699999948745,1.085771949,0.0185487,0.68343556,0.40193,1.1117
63,3.75,1.110225104,1.8725e-05,0.58736393,1.749001584,0.10755808399999998,0.000530046,0.030409289,0.667814325,5.29723188,0.0001792319999998071,1.023837567,0.020293994,0.64931415,0.37421,1.1101
64,5.3,1.109216997,2.139e-05,0.579501679,0.158792053,0.10742794,0.000525328,0.027179624,0.663819622,4.070238361,0.00017895700000014614,1.152667197,0.270907574,0.736660661,0.41566,1.1091
65,4.07,1.108786011,1.9873e-05,0.592265618,0.126735791,0.09940162799999999,0.000490101,0.027092324,0.672115301,3.817270285,0.00017928500000063963,1.171363359,0.018820994,0.742048168,0.42901,1.1086
66,3.82,1.108538893,1.9322e-05,0.603244282,0.146366883,0.09906395800000001,0.000488236,0.02768446,0.665336231,3.900654708,0.00018537699999976454,1.230618425,0.019108641,0.7871766149999999,0.44312,1.1084
67,3.9,1.107714567,1.8133e-05,0.645097134,0.163837525,0.10581874699999999,0.000499565,0.027963697,0.681076264,3.971922277,0.00018383200000027244,1.217776228,0.021936585,0.7999479740000001,0.41755,1.1076
68,3.97,1.368139978,2.0753e-05,0.605504576,0.16523084,0.10579302700000001,0.000484467,0.028459726,0.67882156,4.128142025,0.00018609299999994278,1.153447468,0.022053537,0.7368846560000001,0.41622,1.368
69,4.13,1.369336263,1.8514e-05,0.616353649,0.167511451,0.105448767,0.000492929,0.028503348,0.668823105,4.083954705,0.00019149499999926434,1.105675702,0.021599482,0.7015456510000001,0.40382,1.3692
70,4.08,1.371360289,2.0419e-05,0.627396189,0.180073704,0.10686309599999999,0.000483097,0.029727893,0.669122056,4.002001601,0.0001749259999996866,0.997447551,0.019332381,0.628666729,0.36849,1.3712
71,4.0,1.37164406,2.0603e-05,0.631412356,0.178748094,0.106826298,0.000507874,0.028645818,0.69072084,3.94919429,0.00017488199999915466,0.917344058,0.023149407,0.5893456880000001,0.32778,1.3715
72,3.95,1.369012992,2.0413e-05,0.644687967,1.955916413,0.106510569,0.000515861,0.025651839,0.676398291,5.789615175,0.000186366999999521,0.985759156,0.024955307,0.6186217009999999,0.36681,1.3689
73,5.79,1.368502861,2.0989e-05,0.648798934,0.156882713,0.09822683800000001,0.000474443,0.025927991,0.689332902,4.054490492,0.00017775900000049916,1.04392229,0.022222772,0.660871037,0.38274,1.3684
74,4.05,1.368115677,1.8265e-05,0.665466012,0.178961379,0.10276404099999999,0.000492469,0.026659338,0.684920425,4.185728094,0.0001707590000004089,1.137737494,0.020422235,0.7232833219999999,0.41412,1.368
75,4.19,1.369412031,2.0521e-05,0.662540928,0.182945318,0.102675328,0.000490168,0.026841363,0.667541342,4.186096498,0.0001752470000004891,1.15147563,0.021978622,0.735933694,0.41526,1.3693
76,4.19,1.369348519,2.0165e-05,0.675347181,0.19720353,0.10386770799999999,0.000546577,0.022980885,0.664952005,4.198147156,0.00018419500000010913,1.133129672,0.030566719,0.721789217,0.41105,1.3692
77,4.2,1.371584843,2.2602e-05,0.667378743,0.204318553,0.10439638000000001,0.000523438,0.02351741,0.983885702,4.505395618,0.00020119599999901538,1.121618907,0.027947844,0.710763666,0.41052,1.3714
78,4.51,1.372754663,2.2394e-05,0.698446166,0.211031738,0.107087623,0.000502043,0.024390247,0.943242783,4.406216633,0.00020407699999935858,1.020166167,0.028368732,0.641177701,0.37867,1.3726
79,4.41,1.374836185,2.1206e-05,0.687546667,0.405603732,0.106611573,0.000514461,0.021867515,0.945899874,4.516326497,0.0002056850000000665,0.945060123,0.028159476,0.595264681,0.3495,1.3747
80,4.52,1.374703941,2.1943e-05,0.702561885,0.163520082,0.098544685,0.000535713,0.02194366,0.950111762,4.305811099,0.00019673700000044647,0.965867447,0.027803244,0.607649279,0.35794,1.3745
81,4.31,1.372652676,2.2136e-05,0.741394951,1.821601935,0.10085832699999998,0.000518214,0.022691885,0.942196432,6.063584992,0.00020299099999832038,1.031559584,0.029885861,0.652619862,0.3786,1.3725
82,6.06,1.371573613,2.4269e-05,0.71476951,0.21089903,0.104507977,0.000514133,0.022824878,0.942240323,4.502361647,0.0002028249999996845,1.105062931,0.029742158,0.69813471,0.40659,1.3714
83,4.5,1.370644052,2.085e-05,0.742015988,0.222190856,0.10454100100000001,0.000482172,0.023465188,0.941078855,4.5920508,0.00022927000000017017,1.158305806,0.029076762,0.739743475,0.41819,1.3704
84,4.59,1.370242301,2.0355e-05,0.725995501,0.224346535,0.107992317,0.000508774,0.02440583,0.950599307,4.700539143,0.0002555749999997303,1.264831985,0.031340663,0.81637708,0.44809,1.37
85,4.7,1.369111691,3.0226e-05,0.689323902,0.195401909,0.10326034499999999,0.000508566,0.026408045,0.983468115,8.927651595,0.00020573499999976264,5.528107331,0.03182573,4.843777407,0.68393,1.3689
86,8.93,1.370266491,2.796e-05,0.711300457,0.224133649,0.110384568,0.000503391,0.025707011,0.942578355,5.574740667,0.00021044800000158403,2.157640694,0.031987643,1.3928637990000001,0.76437,1.3701
87,5.58,1.370794287,2.6469e-05,0.700239774,0.238861018,0.109693558,0.000490204,0.027301968,0.94887791,5.803201265,0.00026629100000175043,2.374660578,0.031989208,1.548543966,0.82567,1.3706
88,5.8,1.372658357,2.6825e-05,0.716372853,0.260230058,0.11310128000000001,0.000513574,0.02883525,0.942971112,6.073970063,0.0002840009999989235,2.605419935,0.033556818,1.693695267,0.91127,1.3724
89,6.07,1.372900342,3.2916e-05,0.719167403,0.256094646,0.110809645,0.000523016,0.030054853,0.947783817,6.142074064,0.000279242999999596,2.670908214,0.033519969,1.7428881600000001,0.92754,1.3727
90,6.14,1.370703313,4.6572e-05,0.726698146,2.125985444,0.11323640599999998,0.000523266,0.025177758,0.957231667,7.91968286,0.00022743800000046832,2.56754341,0.03230944,1.671241394,0.89585,1.3705
