n,seed,sampler_seed,reference_samples,host,timestamp,index,reference_potential,reference_gradient_x,reference_gradient_y,reference_gradient_z
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,107,0.0730732825268363,-0.026502874759572574,0.06312084362368597,0.005348638460489581
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,108,0.08936843109331992,0.01589903833303802,-0.022876950009288216,-0.02284084688490543
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,109,0.08570479907395641,-0.032725345849258035,0.0212033381401001,-0.029991687057097358
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,110,0.08452173809034554,-0.008228509887256538,-0.014552650222848991,-0.05374626384341308
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,111,0.06613942522110342,0.02581173737754827,0.03847239905165232,0.04915123321100204
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,112,0.07653065581224432,-0.019302235545700916,-0.04663659284812331,0.06591393018282762
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,113,0.0755978678781011,0.011330252079543697,-0.05180280390591573,0.032866238066234316
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,114,0.06852185043798552,-0.05683221364142238,0.03690275050341469,-0.015142524402158354
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,115,0.07028995352801769,0.0007285377447878985,-0.02134539284848817,0.08301682295145606
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,116,0.07467184828685622,-0.05145056423126055,0.04339364819375375,-0.022366189162808223
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,117,0.05582413221515947,0.05782492796091175,-0.0247360546431397,0.05533222117156769
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,118,0.07093779017824801,0.038072936937305346,0.07324596321445587,-0.0067841442316463885
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,119,0.05758936330001655,0.06666003914352599,0.04689109610522923,0.029599555874939853
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,120,0.06461948940217838,0.01068581845026456,0.057165847390057666,0.03764630258634502
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,121,0.08501078278504268,0.015077179952788277,0.08785418802967612,0.12099778434004943
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,122,0.07892747660211362,0.023768891988823482,0.008099904256749115,-0.06632496462438005
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,123,0.07124695379732197,0.020793286242644298,-0.10215668598756171,0.0018220384995254108
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,124,0.06069990103203604,0.041230391822929445,-0.09547168109816594,-0.04344270646374218
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,125,0.06276957295772262,0.04049133722735116,0.04648253747416379,0.03969533121820735
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,126,0.07794237735127094,-0.015713618030961937,-0.0596032048510227,-0.0032193014838226273
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,127,0.08599460774664329,-0.03495459088772748,-0.029215258439955254,-0.004462863269897899
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,128,0.07139474686119472,0.02958034086160763,0.014989255570192227,-0.06398154052668532
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,129,0.08752982892407413,0.24867802580457063,-0.054109903512187835,-0.05717331674757624
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,130,0.06530678656839184,-0.0059716635632616,-0.07746963688224383,-0.031433077455183436
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,131,0.0666578805232162,-0.048267284691595566,-0.03837479448021396,-0.055374022451419036
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,132,0.07098146201634073,0.06494157427992592,0.06137566974198675,-0.05453032864206445
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,133,0.08045551747839136,0.03771300963959655,0.08320812066625365,-0.019692270995997595
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,134,0.0799957061468034,-0.004402289875067156,-0.030918444936474936,0.04729649565457044
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,135,0.08751866426718194,-0.013202181722000625,0.008596177445349906,0.03266882561518168
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,136,0.09014503424290207,-0.000888583377796084,0.053602709483221475,-0.021210672057950956
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,137,0.0684545770730393,0.018263036148879436,0.08943885097087909,0.030235855376637
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,138,0.0739370379849521,0.005105406363556838,0.06530095096545975,-0.006632974020898958
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,139,0.08252463839602281,0.049294652959115115,0.06993150196510492,0.0615687735827193
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,140,0.07485112272294069,0.0595857525830861,-0.007418268255211491,-0.038773378254914545
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,141,0.05626583467132864,0.011444489740725977,-0.05537461997925829,0.050541009507764814
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,142,0.081963084184028,-0.016320581292070643,-0.047161537112688716,-0.031037342356557703
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,143,0.0733395318026476,0.004528624587399929,-0.060138269058168346,0.009364000783259748
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,144,0.06798122545660558,-0.08009125118023085,-0.03148244400826554,-0.014333957756664911
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,145,0.09218068537998583,0.0026318657635377896,-0.01961074806291969,-0.0063770656554144965
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,146,0.06302075525301347,0.06851391747652671,0.024133052158108067,-0.07731993066465043
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,147,0.09205584263758654,0.04547937160418657,-0.01864965146667438,-0.06266052229197264
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,148,0.07929821454306196,-0.045791513626621747,0.04490898887741182,0.013448510894189558
3162,24025,24026,3162,m12-2-9,2026-07-25T08:52:39Z,149,0.06802374930897623,0.015963960068567554,0.048873517254671824,-0.015735757446346067
