case,n,gamma,res,block,bins,solver,prec,refresh,bracket,M_ext,spread_ms,fft_ms,kmul_ms,interp_ms,restrict_ms,halo_ms,top_ms,launch_ms,refresh_ms,total_ms,bytes_persistent,launches
cube,100000,1.4142,nom,32,32,amrfft,f32,epoch,3,0,0.3333,5.6555,0.4337,0.6667,0.0000,0.0289,0.0933,3.1700,0.1200,10.5014,9.340e+07,78
cube,100000,1.4142,nom,32,32,amrfft,f64,perstep,1,0,0.1000,1.2119,0.3718,0.2000,0.0000,0.0248,0.0800,0.6560,0.5300,3.1744,1.868e+08,78
cube,100000,1.4142,nom,32,32,amrfft,f64,perstep,2,0,0.2500,3.3933,0.5205,0.5000,0.0000,0.0347,0.1120,1.3900,0.5750,6.7754,1.868e+08,78
cube,100000,1.4142,nom,32,32,amrfft,f64,perstep,3,0,0.6667,11.3110,0.8674,1.3333,0.0000,0.0578,0.1866,3.1700,0.7000,18.2929,1.868e+08,78
cube,100000,1.4142,nom,32,32,amrfft,f64,epoch,1,0,0.1000,1.2119,0.3718,0.2000,0.0000,0.0248,0.0800,0.6560,0.1060,2.7504,1.868e+08,78
cube,100000,1.4142,nom,32,32,amrfft,f64,epoch,2,0,0.2500,3.3933,0.5205,0.5000,0.0000,0.0347,0.1120,1.3900,0.1150,6.3154,1.868e+08,78
cube,100000,1.4142,nom,32,32,amrfft,f64,epoch,3,0,0.6667,11.3110,0.8674,1.3333,0.0000,0.0578,0.1866,3.1700,0.1400,17.7329,1.868e+08,78
cube,100000,1.4142,nom,32,32,msm,f32,perstep,1,0,0.0500,0.6059,0.0000,0.1000,0.0000,0.0124,0.0400,0.5840,0.5150,2.2219,9.340e+07,42
cube,100000,1.4142,nom,32,32,msm,f32,perstep,2,0,0.1250,1.6966,0.0000,0.2500,0.0000,0.0173,0.0560,1.2100,0.5375,5.1742,9.340e+07,42
cube,100000,1.4142,nom,32,32,msm,f32,perstep,3,0,0.3333,5.6555,0.0000,0.6667,0.0000,0.0289,0.0933,2.6300,0.6000,17.9471,9.340e+07,42
cube,100000,1.4142,nom,32,32,msm,f32,epoch,1,0,0.0500,0.6059,0.0000,0.1000,0.0000,0.0124,0.0400,0.5840,0.1030,1.8099,9.340e+07,42
cube,100000,1.4142,nom,32,32,msm,f32,epoch,2,0,0.1250,1.6966,0.0000,0.2500,0.0000,0.0173,0.0560,1.2100,0.1075,4.7442,9.340e+07,42
cube,100000,1.4142,nom,32,32,msm,f32,epoch,3,0,0.3333,5.6555,0.0000,0.6667,0.0000,0.0289,0.0933,2.6300,0.1200,17.4671,9.340e+07,42
cube,100000,1.4142,nom,32,32,msm,f64,perstep,1,0,0.1000,1.2119,0.0000,0.2000,0.0000,0.0248,0.0800,0.5840,0.5300,3.3599,1.868e+08,42
cube,100000,1.4142,nom,32,32,msm,f64,perstep,2,0,0.2500,3.3933,0.0000,0.5000,0.0000,0.0347,0.1120,1.2100,0.5750,8.6385,1.868e+08,42
cube,100000,1.4142,nom,32,32,msm,f64,perstep,3,0,0.6667,11.3110,0.0000,1.3333,0.0000,0.0578,0.1866,2.6300,0.7000,32.7642,1.868e+08,42
cube,100000,1.4142,nom,32,32,msm,f64,epoch,1,0,0.1000,1.2119,0.0000,0.2000,0.0000,0.0248,0.0800,0.5840,0.1060,2.9359,1.868e+08,42
cube,100000,1.4142,nom,32,32,msm,f64,epoch,2,0,0.2500,3.3933,0.0000,0.5000,0.0000,0.0347,0.1120,1.2100,0.1150,8.1785,1.868e+08,42
cube,100000,1.4142,nom,32,32,msm,f64,epoch,3,0,0.6667,11.3110,0.0000,1.3333,0.0000,0.0578,0.1866,2.6300,0.1400,32.2042,1.868e+08,42
cube,100000,1.4142,nom,64,1,amrfft,f32,perstep,1,0,0.0500,0.2162,0.0540,0.1000,0.0000,0.0054,0.0400,0.6080,0.5150,1.5886,4.633e+07,54
