case,n,gamma,res,level,s_ell,pop,cum_sources,tiles_core,tiles_field,cov_targets,cov_mult8,padded8_ratio,npatch_b64,interior_pts_b64,padded_pts_b64
cube,1000000,2.0000,tight,10,2.048000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,3176523
cube,1000000,4.0000,tight,0,2.000000e-02,1000000,1000000,4096,5832,1000000,1.000,1.000,56,2985984,199371000
cube,1000000,4.0000,tight,1,8.000000e-02,0,1000000,64,216,1000000,1.000,0.000,8,110592,19617600
cube,1000000,4.0000,tight,2,3.200000e-01,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,3,1.280000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,4,5.120000e+00,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,5,2.048000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,6,8.192000e+01,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,7,3.276800e+02,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,8,1.310720e+03,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,9,5.242880e+03,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
cube,1000000,4.0000,tight,10,2.097152e+04,0,1000000,1,27,1000000,1.000,0.000,8,13824,14706125
wake,100000,1.4142,nom,0,6.786469e-02,100000,100000,64,216,100000,1.000,1.000,8,110592,1750050
wake,100000,1.4142,nom,1,9.597517e-02,0,100000,27,125,100000,1.000,0.000,8,64000,1526328
wake,100000,1.4142,nom,2,1.357294e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1109250
wake,100000,1.4142,nom,3,1.919503e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1109250
wake,100000,1.4142,nom,4,2.714588e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,nom,5,3.839007e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,nom,6,5.429175e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,nom,7,7.678014e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,nom,8,1.085835e+00,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,nom,9,1.535603e+00,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,nom,10,2.171670e+00,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,2.0000,nom,0,6.786469e-02,100000,100000,64,216,100000,1.000,1.000,8,110592,2985984
wake,100000,2.0000,nom,1,1.357294e-01,0,100000,8,64,100000,1.000,0.000,8,32768,2028672
wake,100000,2.0000,nom,2,2.714588e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,3,5.429175e-01,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,4,1.085835e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,5,2.171670e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,6,4.343340e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,7,8.686681e+00,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,8,1.737336e+01,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,9,3.474672e+01,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,2.0000,nom,10,6.949345e+01,0,100000,1,27,100000,1.000,0.000,8,13824,1643032
wake,100000,4.0000,nom,0,6.786469e-02,100000,100000,64,216,100000,1.000,1.000,8,110592,10136375
wake,100000,4.0000,nom,1,2.714588e-01,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,2,1.085835e+00,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,3,4.343340e+00,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,4,1.737336e+01,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,5,6.949345e+01,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,6,2.779738e+02,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,7,1.111895e+03,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,8,4.447581e+03,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,9,1.779032e+04,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,4.0000,nom,10,7.116129e+04,0,100000,1,27,100000,1.000,0.000,8,13824,6859000
wake,100000,1.4142,optalt,0,6.786469e-02,100000,100000,27,125,100000,1.000,1.000,8,64000,1526328
wake,100000,1.4142,optalt,1,9.597517e-02,0,100000,8,64,100000,1.000,0.000,8,32768,1109250
wake,100000,1.4142,optalt,2,1.357294e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1109250
wake,100000,1.4142,optalt,3,1.919503e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,optalt,4,2.714588e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,optalt,5,3.839007e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,optalt,6,5.429175e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,optalt,7,7.678014e-01,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,optalt,8,1.085835e+00,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,optalt,9,1.535603e+00,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,1.4142,optalt,10,2.171670e+00,0,100000,1,27,100000,1.000,0.000,8,13824,857375
wake,100000,2.0000,optalt,0,6.786469e-02,100000,100000,27,125,100000,1.000,1.000,8,64000,2044125
wake,100000,2.0000,optalt,1,1.357294e-01,0,100000,8,64,100000,1.000,0.000,8,32768,1790448
