policy,strategy,blas_threads,ell,npoints,n_min,n_max,route_exponent,m2l_exponent
hierarchical_12,dense,1,3,5,64,1024,1.4082729861344252,0.4277018076878817
hierarchical_12,dense,1,4,7,128,8192,1.2928178724927852,0.7079371166221078
hierarchical_12,dense,1,5,5,256,4096,1.369976825707982,0.7685525086526452
hierarchical_12,dense,64,3,5,64,1024,1.4082729861344252,0.418307465111061
hierarchical_12,dense,64,4,7,128,8192,1.2928178724927852,0.7822270615907995
hierarchical_12,dense,64,5,5,256,4096,1.369976825707982,0.8054532178160178
hierarchical_3,concat,1,3,5,64,1024,1.1306551204161945,1.127742498577005
hierarchical_3,concat,1,4,7,128,8192,1.0972292632941918,1.0875218835427511
hierarchical_3,concat,1,5,5,256,4096,1.1748395391937678,1.1699604543191189
hierarchical_3,concat,64,3,5,64,1024,1.1306551204161945,1.1153603371477843
hierarchical_3,concat,64,4,7,128,8192,1.0972292632941918,1.08800223504298
hierarchical_3,concat,64,5,5,256,4096,1.1748395391937678,1.1671248703448067
hierarchical_3,factored,1,3,5,64,1024,1.1306551204161945,1.11827237377607
hierarchical_3,factored,1,4,7,128,8192,1.0972292632941918,1.0885097352560669
hierarchical_3,factored,1,5,5,256,4096,1.1748395391937678,1.1710177652462261
hierarchical_3,factored,64,3,5,64,1024,1.1306551204161945,1.1176061785040143
hierarchical_3,factored,64,4,7,128,8192,1.0972292632941918,1.087278899927837
hierarchical_3,factored,64,5,5,256,4096,1.1748395391937678,1.1682170795893387
hierarchical_3,precomputed_y,1,3,5,64,1024,1.1306551204161945,1.117875617413929
hierarchical_3,precomputed_y,1,4,7,128,8192,1.0972292632941918,1.0876320230234064
hierarchical_3,precomputed_y,1,5,5,256,4096,1.1748395391937678,1.1703692822965481
hierarchical_3,precomputed_y,64,3,5,64,1024,1.1306551204161945,1.1181188031657838
hierarchical_3,precomputed_y,64,4,7,128,8192,1.0972292632941918,1.0850826178271116
hierarchical_3,precomputed_y,64,5,5,256,4096,1.1748395391937678,1.168923011288408
hierarchical_3,dense,1,3,5,64,1024,1.1306551204161945,0.7106737589766221
hierarchical_3,dense,1,4,7,128,8192,1.0972292632941918,0.8402828454677804
hierarchical_3,dense,1,5,5,256,4096,1.1748395391937678,0.9423709835377527
hierarchical_3,dense,64,3,5,64,1024,1.1306551204161945,0.6896109942133711
hierarchical_3,dense,64,4,7,128,8192,1.0972292632941918,0.9147566539329407
hierarchical_3,dense,64,5,5,256,4096,1.1748395391937678,0.9876521205973501
