host,kernel,cpu_model,julia_version,cpu_threads,julia_threads,blas_vendor,blas_config,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,precomputed_scalar,12830,381,1130,33.6745406824147,2578,21,78.457693,33898176,131439904,104.802936,28672,114.86895799999999,53360,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,precomputed_gemm,12830,381,1130,33.6745406824147,2578,21,140.591121,33898176,131439904,87.116981,28672,97.220493,53360,1,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,precomputed_production,12830,381,1130,33.6745406824147,2578,21,146.114724,33898176,131439904,88.674398,28672,98.29375999999999,53360,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,83.049085,33898176,131439904,87.517905,28672,97.794703,53360,4,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,123.818932,33898176,131439904,87.379444,28672,97.061694,53360,8,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,131.350971,33898176,131439904,88.104427,28672,97.150491,53360,12,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,149.688721,33898176,131439904,89.80083599999999,28672,99.25215299999999,53360,24,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,factored_023a,15392,2830,24,5.43886925795053,2830,24,91.316856,71525240,292960,333.24657,1808,345.083211,18464,16,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,precomputed_scalar,15392,383,1530,40.18798955613577,2830,24,104.071181,43078112,152640640,137.300755,14960,143.271719,31872,9223372036854775807,16
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,128,1,lbt,LBTConfig([ILP64] libopenblas64_.so),1,4d5ea4ee1f3a303e4df1dba19f8e160766ac65b1,dirty,12,false,150,precomputed_gemm,15392,383,1530,40.18798955613577,2830,24,206.01343,43078112,152640640,100.313207,14960,113.642884,31872,1,16
