host,kernel,cpu_model,julia_version,julia_threads,blas_vendor,blas_threads,git_commit,git_worktree,P,lh,n,variant,routes,occupied_angles,max_angle_occupancy,mean_angle_occupancy,occupied_offsets,max_offset_occupancy,construction_ms,operator_bytes,scratch_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes,precomputed_gemm_min_cols,production_gemm_min_cols
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,132.971944,33898176,131439904,89.191665,28672,100.165702,53360,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,8,true,150,precomputed_candidate,12830,381,1130,33.6745406824147,2578,21,144.899254,33898176,131439904,91.51935999999999,28672,102.39487199999999,53360,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,factored_023a,15392,2830,24,5.43886925795053,2830,24,89.801751,71525240,292960,333.55867700000005,1808,345.98671800000005,18464,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,precomputed_scalar,15392,383,1530,40.18798955613577,2830,24,181.675378,43078112,152640640,133.828154,14960,145.037803,31872,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,precomputed_gemm,15392,383,1530,40.18798955613577,2830,24,148.730454,43078112,152640640,105.39936900000001,14960,116.367685,31872,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,precomputed_production,15392,383,1530,40.18798955613577,2830,24,181.864523,43078112,152640640,107.550241,14960,114.957545,31872,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,181.687199,43078112,152640640,103.544432,14960,120.165323,31872,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,173.071605,43078112,152640640,104.34996600000001,14960,117.916516,31872,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,180.92166,43078112,152640640,105.148387,14960,116.899314,31872,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,false,150,precomputed_candidate,15392,383,1530,40.18798955613577,2830,24,179.04324,43078112,152640640,107.191007,14960,119.108256,31872,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,factored_023a,12210,2532,24,4.822274881516588,2532,24,134.120353,105807272,528160,590.828283,1808,615.243945,26240,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,precomputed_scalar,12210,371,1164,32.911051212938006,2532,24,359.04381,86020416,325244704,235.756289,27840,255.58202200000002,52528,9223372036854775807,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,precomputed_gemm,12210,371,1164,32.911051212938006,2532,24,393.140649,86020416,325244704,187.03133499999998,27840,206.569438,52528,1,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,precomputed_production,12210,371,1164,32.911051212938006,2532,24,224.595862,86020416,325244704,186.429854,27840,209.32252300000002,52528,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,348.100792,86020416,325244704,184.78964100000002,27840,203.93156100000002,52528,4,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,279.461065,86020416,325244704,185.334535,27840,205.63500200000001,52528,8,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,308.189834,86020416,325244704,187.87957899999998,27840,208.580208,52528,16,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,12,true,150,precomputed_candidate,12210,371,1164,32.911051212938006,2532,24,272.430661,86020416,325244704,190.395568,27840,213.679743,52528,24,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,factored_023a,33068,1584,48,20.876262626262626,1584,48,28.730552,29067944,1151136,62.801131,1808,96.626299,18032,12,12
m12-1-3,Linux 5.14.0-570.120.1.el9_6.x86_64,AMD EPYC 7763 64-Core Processor,1.11.7,1,lbt,64,unknown,dirty,4,false,2000,precomputed_scalar,33068,209,1378,158.2200956937799,1584,48,8.721853,2057760,7732096,28.152224999999998,8768,61.710121,25248,9223372036854775807,12
