variant,precision,P,lamb_helmholtz,batch,n_dir,n_norm,n_offset_class,seconds,seconds_per_expansion
factored,Float64,8,false,4096,8,64,64,1.600088e-02,3.906464e-06
materialized,Float64,8,false,4096,8,4096,4096,1.449046e-02,3.537709e-06
factored,Float64,8,false,4096,8,4096,4096,1.602883e-02,3.913290e-06
materialized,Float64,8,false,4096,64,1,64,1.452033e-02,3.545003e-06
factored,Float64,8,false,4096,64,1,64,1.628308e-02,3.975362e-06
materialized,Float64,8,false,4096,64,8,64,1.444975e-02,3.527771e-06
factored,Float64,8,false,4096,64,8,64,1.628642e-02,3.976176e-06
materialized,Float64,8,false,4096,64,64,64,1.443246e-02,3.523549e-06
factored,Float64,8,false,4096,64,64,64,1.629629e-02,3.978587e-06
materialized,Float64,8,false,4096,64,4096,4096,1.446829e-02,3.532298e-06
factored,Float64,8,false,4096,64,4096,4096,1.628742e-02,3.976420e-06
materialized,Float64,8,false,4096,4096,1,4096,1.447025e-02,3.532776e-06
factored,Float64,8,false,4096,4096,1,4096,1.632617e-02,3.985881e-06
materialized,Float64,8,false,4096,4096,8,4096,1.446288e-02,3.530975e-06
factored,Float64,8,false,4096,4096,8,4096,1.636146e-02,3.994497e-06
materialized,Float64,8,false,4096,4096,64,4096,1.446329e-02,3.531077e-06
factored,Float64,8,false,4096,4096,64,4096,1.629667e-02,3.978678e-06
materialized,Float64,8,false,4096,4096,4096,4096,1.449492e-02,3.538798e-06
factored,Float64,8,false,4096,4096,4096,4096,1.635925e-02,3.993958e-06
materialized,Float64,8,true,64,1,1,1,3.850420e-04,6.016281e-06
factored,Float64,8,true,64,1,1,1,6.225420e-04,9.727219e-06
materialized,Float64,8,true,64,1,8,8,3.950830e-04,6.173172e-06
factored,Float64,8,true,64,1,8,8,6.218750e-04,9.716797e-06
materialized,Float64,8,true,64,1,64,64,3.844590e-04,6.007172e-06
factored,Float64,8,true,64,1,64,64,6.179590e-04,9.655609e-06
materialized,Float64,8,true,64,8,1,8,3.863750e-04,6.037109e-06
factored,Float64,8,true,64,8,1,8,6.531250e-04,1.020508e-05
materialized,Float64,8,true,64,8,8,8,4.085000e-04,6.382813e-06
factored,Float64,8,true,64,8,8,8,6.533340e-04,1.020834e-05
materialized,Float64,8,true,64,8,64,64,3.866250e-04,6.041016e-06
factored,Float64,8,true,64,8,64,64,6.530000e-04,1.020313e-05
materialized,Float64,8,true,64,64,1,64,3.867500e-04,6.042969e-06
factored,Float64,8,true,64,64,1,64,6.657920e-04,1.040300e-05
materialized,Float64,8,true,64,64,8,64,3.864580e-04,6.038406e-06
factored,Float64,8,true,64,64,8,64,6.652500e-04,1.039453e-05
materialized,Float64,8,true,64,64,64,64,3.862500e-04,6.035156e-06
factored,Float64,8,true,64,64,64,64,6.652080e-04,1.039388e-05
materialized,Float64,8,true,4096,1,1,1,2.481025e-02,6.057190e-06
factored,Float64,8,true,4096,1,1,1,3.982208e-02,9.722188e-06
materialized,Float64,8,true,4096,1,8,8,2.482158e-02,6.059957e-06
factored,Float64,8,true,4096,1,8,8,3.993513e-02,9.749786e-06
materialized,Float64,8,true,4096,1,64,64,2.478558e-02,6.051168e-06
factored,Float64,8,true,4096,1,64,64,3.977262e-02,9.710114e-06
materialized,Float64,8,true,4096,1,4096,4096,2.478092e-02,6.050028e-06
factored,Float64,8,true,4096,1,4096,4096,3.970633e-02,9.693929e-06
materialized,Float64,8,true,4096,8,1,8,2.494133e-02,6.089193e-06
factored,Float64,8,true,4096,8,1,8,4.205975e-02,1.026849e-05
materialized,Float64,8,true,4096,8,8,8,2.496608e-02,6.095235e-06
factored,Float64,8,true,4096,8,8,8,4.207587e-02,1.027243e-05
materialized,Float64,8,true,4096,8,64,64,2.496708e-02,6.095479e-06
factored,Float64,8,true,4096,8,64,64,4.197950e-02,1.024890e-05
materialized,Float64,8,true,4096,8,4096,4096,2.494887e-02,6.091034e-06
factored,Float64,8,true,4096,8,4096,4096,4.207437e-02,1.027206e-05
materialized,Float64,8,true,4096,64,1,64,2.492525e-02,6.085266e-06
factored,Float64,8,true,4096,64,1,64,4.282512e-02,1.045535e-05
materialized,Float64,8,true,4096,64,8,64,2.489917e-02,6.078898e-06
factored,Float64,8,true,4096,64,8,64,4.281542e-02,1.045298e-05
materialized,Float64,8,true,4096,64,64,64,2.489967e-02,6.079020e-06
factored,Float64,8,true,4096,64,64,64,4.284442e-02,1.046006e-05
materialized,Float64,8,true,4096,64,4096,4096,2.496454e-02,6.094859e-06
factored,Float64,8,true,4096,64,4096,4096,4.290600e-02,1.047510e-05
materialized,Float64,8,true,4096,4096,1,4096,2.490667e-02,6.080729e-06
factored,Float64,8,true,4096,4096,1,4096,4.281821e-02,1.045366e-05
materialized,Float64,8,true,4096,4096,8,4096,2.490508e-02,6.080343e-06
factored,Float64,8,true,4096,4096,8,4096,4.293696e-02,1.048266e-05
materialized,Float64,8,true,4096,4096,64,4096,2.493525e-02,6.087708e-06
factored,Float64,8,true,4096,4096,64,4096,4.282167e-02,1.045451e-05
materialized,Float64,8,true,4096,4096,4096,4096,2.494371e-02,6.089772e-06
factored,Float64,8,true,4096,4096,4096,4096,4.293367e-02,1.048185e-05
materialized,Float64,20,false,64,1,1,1,2.950625e-03,4.610352e-05
factored,Float64,20,false,64,1,1,1,2.444875e-03,3.820117e-05
materialized,Float64,20,false,64,1,8,8,2.949541e-03,4.608658e-05
factored,Float64,20,false,64,1,8,8,2.447292e-03,3.823894e-05
materialized,Float64,20,false,64,1,64,64,2.950125e-03,4.609570e-05
factored,Float64,20,false,64,1,64,64,2.453708e-03,3.833919e-05
materialized,Float64,20,false,64,8,1,8,2.949583e-03,4.608723e-05
factored,Float64,20,false,64,8,1,8,2.560958e-03,4.001497e-05
materialized,Float64,20,false,64,8,8,8,2.950833e-03,4.610677e-05
factored,Float64,20,false,64,8,8,8,2.563958e-03,4.006184e-05
materialized,Float64,20,false,64,8,64,64,2.951458e-03,4.611653e-05
factored,Float64,20,false,64,8,64,64,2.553875e-03,3.990430e-05
materialized,Float64,20,false,64,64,1,64,2.951083e-03,4.611067e-05
factored,Float64,20,false,64,64,1,64,2.596500e-03,4.057031e-05
materialized,Float64,20,false,64,64,8,64,2.950875e-03,4.610742e-05
factored,Float64,20,false,64,64,8,64,2.593334e-03,4.052084e-05
materialized,Float64,20,false,64,64,64,64,2.950750e-03,4.610547e-05
factored,Float64,20,false,64,64,64,64,2.586750e-03,4.041797e-05
materialized,Float64,20,false,4096,1,1,1,1.911250e-01,4.666139e-05
factored,Float64,20,false,4096,1,1,1,1.605608e-01,3.919942e-05
materialized,Float64,20,false,4096,1,8,8,1.909574e-01,4.662046e-05
factored,Float64,20,false,4096,1,8,8,1.596455e-01,3.897594e-05
materialized,Float64,20,false,4096,1,64,64,1.913569e-01,4.671799e-05
factored,Float64,20,false,4096,1,64,64,1.602805e-01,3.913098e-05
materialized,Float64,20,false,4096,1,4096,4096,1.906982e-01,4.655718e-05
factored,Float64,20,false,4096,1,4096,4096,1.604853e-01,3.918098e-05
materialized,Float64,20,false,4096,8,1,8,1.910098e-01,4.663324e-05
factored,Float64,20,false,4096,8,1,8,1.679895e-01,4.101306e-05
materialized,Float64,20,false,4096,8,8,8,1.909921e-01,4.662894e-05
factored,Float64,20,false,4096,8,8,8,1.677801e-01,4.096193e-05
materialized,Float64,20,false,4096,8,64,64,1.913867e-01,4.672527e-05
factored,Float64,20,false,4096,8,64,64,1.680972e-01,4.103935e-05
materialized,Float64,20,false,4096,8,4096,4096,1.915950e-01,4.677613e-05
factored,Float64,20,false,4096,8,4096,4096,1.679240e-01,4.099707e-05
materialized,Float64,20,false,4096,64,1,64,1.911752e-01,4.667365e-05
factored,Float64,20,false,4096,64,1,64,1.697851e-01,4.145144e-05
materialized,Float64,20,false,4096,64,8,64,1.914664e-01,4.674473e-05
factored,Float64,20,false,4096,64,8,64,1.699642e-01,4.149516e-05
materialized,Float64,20,false,4096,64,64,64,1.910086e-01,4.663297e-05
factored,Float64,20,false,4096,64,64,64,1.699127e-01,4.148259e-05
materialized,Float64,20,false,4096,64,4096,4096,1.913075e-01,4.670593e-05
factored,Float64,20,false,4096,64,4096,4096,1.694743e-01,4.137556e-05
materialized,Float64,20,false,4096,4096,1,4096,1.913460e-01,4.671534e-05
factored,Float64,20,false,4096,4096,1,4096,1.695362e-01,4.139067e-05
materialized,Float64,20,false,4096,4096,8,4096,1.911591e-01,4.666971e-05
factored,Float64,20,false,4096,4096,8,4096,1.690221e-01,4.126517e-05
materialized,Float64,20,false,4096,4096,64,4096,1.912897e-01,4.670158e-05
factored,Float64,20,false,4096,4096,64,4096,1.693726e-01,4.135074e-05
materialized,Float64,20,false,4096,4096,4096,4096,1.911849e-01,4.667599e-05
factored,Float64,20,false,4096,4096,4096,4096,1.693595e-01,4.134753e-05
materialized,Float64,20,true,64,1,1,1,4.231416e-03,6.611587e-05
factored,Float64,20,true,64,1,1,1,5.590250e-03,8.734766e-05
materialized,Float64,20,true,64,1,8,8,4.219917e-03,6.593620e-05
factored,Float64,20,true,64,1,8,8,5.552208e-03,8.675325e-05
materialized,Float64,20,true,64,1,64,64,4.218833e-03,6.591927e-05
factored,Float64,20,true,64,1,64,64,5.559500e-03,8.686719e-05
materialized,Float64,20,true,64,8,1,8,4.218875e-03,6.591992e-05
factored,Float64,20,true,64,8,1,8,5.793167e-03,9.051823e-05
materialized,Float64,20,true,64,8,8,8,4.234042e-03,6.615691e-05
factored,Float64,20,true,64,8,8,8,5.808042e-03,9.075066e-05
materialized,Float64,20,true,64,8,64,64,4.226750e-03,6.604297e-05
factored,Float64,20,true,64,8,64,64,5.801167e-03,9.064323e-05
materialized,Float64,20,true,64,64,1,64,4.227208e-03,6.605012e-05
factored,Float64,20,true,64,64,1,64,5.829291e-03,9.108267e-05
materialized,Float64,20,true,64,64,8,64,4.222166e-03,6.597134e-05
factored,Float64,20,true,64,64,8,64,5.835291e-03,9.117642e-05
materialized,Float64,20,true,64,64,64,64,4.224708e-03,6.601106e-05
factored,Float64,20,true,64,64,64,64,5.830166e-03,9.109634e-05
materialized,Float64,20,true,4096,1,1,1,2.742167e-01,6.694743e-05
factored,Float64,20,true,4096,1,1,1,3.615920e-01,8.827931e-05
materialized,Float64,20,true,4096,1,8,8,2.743181e-01,6.697220e-05
factored,Float64,20,true,4096,1,8,8,3.614264e-01,8.823886e-05
materialized,Float64,20,true,4096,1,64,64,2.743452e-01,6.697880e-05
factored,Float64,20,true,4096,1,64,64,3.616992e-01,8.830546e-05
materialized,Float64,20,true,4096,1,4096,4096,2.748159e-01,6.709373e-05
factored,Float64,20,true,4096,1,4096,4096,3.615030e-01,8.825758e-05
materialized,Float64,20,true,4096,8,1,8,2.749180e-01,6.711866e-05
factored,Float64,20,true,4096,8,1,8,3.771376e-01,9.207461e-05
materialized,Float64,20,true,4096,8,8,8,2.749066e-01,6.711586e-05
factored,Float64,20,true,4096,8,8,8,3.782572e-01,9.234794e-05
materialized,Float64,20,true,4096,8,64,64,2.747460e-01,6.707666e-05
factored,Float64,20,true,4096,8,64,64,3.770214e-01,9.204623e-05
materialized,Float64,20,true,4096,8,4096,4096,2.750975e-01,6.716247e-05
factored,Float64,20,true,4096,8,4096,4096,3.779624e-01,9.227598e-05
materialized,Float64,20,true,4096,64,1,64,2.744155e-01,6.699596e-05
factored,Float64,20,true,4096,64,1,64,3.796850e-01,9.269653e-05
materialized,Float64,20,true,4096,64,8,64,2.743119e-01,6.697068e-05
factored,Float64,20,true,4096,64,8,64,3.793941e-01,9.262551e-05
materialized,Float64,20,true,4096,64,64,64,2.750100e-01,6.714112e-05
factored,Float64,20,true,4096,64,64,64,3.795673e-01,9.266780e-05
materialized,Float64,20,true,4096,64,4096,4096,2.745102e-01,6.701909e-05
factored,Float64,20,true,4096,64,4096,4096,3.791333e-01,9.256185e-05
materialized,Float64,20,true,4096,4096,1,4096,2.751923e-01,6.718561e-05
factored,Float64,20,true,4096,4096,1,4096,3.791370e-01,9.256273e-05
materialized,Float64,20,true,4096,4096,8,4096,2.752205e-01,6.719252e-05
factored,Float64,20,true,4096,4096,8,4096,3.787879e-01,9.247751e-05
materialized,Float64,20,true,4096,4096,64,4096,2.748915e-01,6.711218e-05
factored,Float64,20,true,4096,4096,64,4096,3.787187e-01,9.246061e-05
materialized,Float64,20,true,4096,4096,4096,4096,2.750112e-01,6.714142e-05
factored,Float64,20,true,4096,4096,4096,4096,3.787041e-01,9.245706e-05
