case,n_airfoil,topology,formulation,rpm,abs_r_over_R,gamma_blade_1,gamma_blade_2,gamma_mean,gamma_direct_mean,gamma_slice_mean
dji81c,81,watertight,dirichlet,5400.0,0.9,0.1678219978866943,0.16782199788668806,0.16782199788669117,0.16782199788669117,0.0
dji81c,81,watertight,dirichlet,5400.0,0.925,0.15483611232986158,0.15483611232986094,0.15483611232986128,0.15483611232986128,0.0
dji81c,81,watertight,dirichlet,5400.0,0.95,0.13959325826243535,0.13959325826243324,0.1395932582624343,0.1395932582624343,0.0
dji81c,81,watertight,dirichlet,5400.0,0.975,0.11039203447703054,0.11039203447703172,0.11039203447703114,0.11039203447703114,0.0
dji81u,81,open,neumann,5400.0,0.125,0.05178758715015255,0.05178758715015286,0.051787587150152706,0.051787587150152706,0.0
dji81u,81,open,neumann,5400.0,0.15,0.06691743595137012,0.06691743595137026,0.06691743595137019,0.06691743595137019,0.0
dji81u,81,open,neumann,5400.0,0.175,0.07988452988571097,0.07988452988571104,0.07988452988571101,0.07988452988571101,0.0
dji81u,81,open,neumann,5400.0,0.2,0.09190974843639924,0.09190974843639906,0.09190974843639915,0.09190974843639915,0.0
dji81u,81,open,neumann,5400.0,0.225,0.1025215956600169,0.10252159566001716,0.10252159566001703,0.10252159566001703,0.0
dji81u,81,open,neumann,5400.0,0.25,0.1121579250120643,0.1121579250120644,0.11215792501206434,0.11215792501206434,0.0
dji81u,81,open,neumann,5400.0,0.275,0.12171539192359404,0.12171539192359286,0.12171539192359346,0.12171539192359346,0.0
dji81u,81,open,neumann,5400.0,0.3,0.13287036133487323,0.13287036133487265,0.13287036133487296,0.13287036133487296,0.0
dji81u,81,open,neumann,5400.0,0.325,0.1443049552150631,0.1443049552150633,0.1443049552150632,0.1443049552150632,0.0
dji81u,81,open,neumann,5400.0,0.35,0.15701092516215018,0.15701092516215026,0.1570109251621502,0.1570109251621502,0.0
dji81u,81,open,neumann,5400.0,0.375,0.1699785948928088,0.16997859489280817,0.16997859489280848,0.16997859489280848,0.0
dji81u,81,open,neumann,5400.0,0.4,0.18221666735968692,0.18221666735968592,0.18221666735968642,0.18221666735968642,0.0
dji81u,81,open,neumann,5400.0,0.425,0.19320480164582948,0.19320480164583026,0.19320480164582987,0.19320480164582987,0.0
dji81u,81,open,neumann,5400.0,0.45,0.20280338692685548,0.20280338692685548,0.20280338692685548,0.20280338692685548,0.0
dji81u,81,open,neumann,5400.0,0.475,0.2115760293464106,0.2115760293464106,0.2115760293464106,0.2115760293464106,0.0
dji81u,81,open,neumann,5400.0,0.5,0.21955645713871752,0.2195564571387174,0.21955645713871746,0.21955645713871746,0.0
dji81u,81,open,neumann,5400.0,0.525,0.22674261426969028,0.22674261426968995,0.2267426142696901,0.2267426142696901,0.0
dji81u,81,open,neumann,5400.0,0.55,0.23309916855553905,0.2330991685555397,0.23309916855553936,0.23309916855553936,0.0
dji81u,81,open,neumann,5400.0,0.575,0.23941137306596635,0.23941137306596502,0.2394113730659657,0.2394113730659657,0.0
dji81u,81,open,neumann,5400.0,0.6,0.2441417470610212,0.24414174706101988,0.24414174706102054,0.24414174706102054,0.0
dji81u,81,open,neumann,5400.0,0.625,0.24696894885773008,0.24696894885772877,0.2469689488577294,0.2469689488577294,0.0
dji81u,81,open,neumann,5400.0,0.65,0.24783849670088678,0.24783849670088512,0.24783849670088595,0.24783849670088595,0.0
dji81u,81,open,neumann,5400.0,0.675,0.24693972268136533,0.24693972268136402,0.24693972268136466,0.24693972268136466,0.0
dji81u,81,open,neumann,5400.0,0.7,0.24437347633792963,0.24437347633792664,0.24437347633792814,0.24437347633792814,0.0
dji81u,81,open,neumann,5400.0,0.725,0.24040402325044447,0.24040402325044316,0.2404040232504438,0.2404040232504438,0.0
dji81u,81,open,neumann,5400.0,0.75,0.23512745074526636,0.235127450745266,0.2351274507452662,0.2351274507452662,0.0
dji81u,81,open,neumann,5400.0,0.775,0.22859982777235144,0.22859982777235058,0.228599827772351,0.228599827772351,0.0
dji81u,81,open,neumann,5400.0,0.8,0.2208580908336454,0.22085809083364394,0.22085809083364466,0.22085809083364466,0.0
dji81u,81,open,neumann,5400.0,0.825,0.21135564198960924,0.21135564198960816,0.2113556419896087,0.2113556419896087,0.0
dji81u,81,open,neumann,5400.0,0.85,0.1997986544943382,0.1997986544943367,0.19979865449433745,0.19979865449433745,0.0
dji81u,81,open,neumann,5400.0,0.875,0.1868293090940068,0.18682930909400655,0.1868293090940067,0.1868293090940067,0.0
dji81u,81,open,neumann,5400.0,0.9,0.17343866551016718,0.17343866551016826,0.17343866551016773,0.17343866551016773,0.0
dji81u,81,open,neumann,5400.0,0.925,0.16028021052965546,0.16028021052965563,0.16028021052965555,0.16028021052965555,0.0
dji81u,81,open,neumann,5400.0,0.95,0.14454674920958566,0.1445467492095847,0.14454674920958518,0.14454674920958518,0.0
dji81u,81,open,neumann,5400.0,0.975,0.11624897750997601,0.11624897750997486,0.11624897750997543,0.11624897750997543,0.0
dji97c,97,watertight,dirichlet,5400.0,0.125,0.05100534933658837,0.05100534933659193,0.05100534933659015,0.05100534933659015,0.0
dji97c,97,watertight,dirichlet,5400.0,0.15,0.06628919232424957,0.06628919232425096,0.06628919232425026,0.06628919232425026,0.0
dji97c,97,watertight,dirichlet,5400.0,0.175,0.07901838680259571,0.07901838680259866,0.07901838680259718,0.07901838680259718,0.0
dji97c,97,watertight,dirichlet,5400.0,0.2,0.09056380974352832,0.09056380974353155,0.09056380974352993,0.09056380974352993,0.0
dji97c,97,watertight,dirichlet,5400.0,0.225,0.10289689178574131,0.10289689178574213,0.10289689178574171,0.10289689178574171,0.0
dji97c,97,watertight,dirichlet,5400.0,0.25,0.14137273706472592,0.14137273706472575,0.14137273706472583,0.14137273706472583,0.0
dji97c,97,watertight,dirichlet,5400.0,0.275,0.18997617867415117,0.18997617867415298,0.18997617867415206,0.18997617867415206,0.0
dji97c,97,watertight,dirichlet,5400.0,0.3,0.1364311370346094,0.1364311370346105,0.13643113703460996,0.13643113703460996,0.0
dji97c,97,watertight,dirichlet,5400.0,0.325,0.14076650925487005,0.14076650925487108,0.14076650925487055,0.14076650925487055,0.0
dji97c,97,watertight,dirichlet,5400.0,0.35,0.15175259472088812,0.15175259472089422,0.15175259472089117,0.15175259472089117,0.0
dji97c,97,watertight,dirichlet,5400.0,0.375,0.1639691163838506,0.16396911638386402,0.1639691163838573,0.1639691163838573,0.0
dji97c,97,watertight,dirichlet,5400.0,0.4,0.17536231889205267,0.17536231889207216,0.1753623188920624,0.1753623188920624,0.0
dji97c,97,watertight,dirichlet,5400.0,0.425,0.18516729709883503,0.18516729709885588,0.18516729709884544,0.18516729709884544,0.0
dji97c,97,watertight,dirichlet,5400.0,0.45,0.19411662451568534,0.19411662451568662,0.19411662451568598,0.19411662451568598,0.0
dji97c,97,watertight,dirichlet,5400.0,0.475,0.2030279748099123,0.20302797480990462,0.20302797480990847,0.20302797480990847,0.0
dji97c,97,watertight,dirichlet,5400.0,0.5,0.2113936003282176,0.21139360032820587,0.21139360032821175,0.21139360032821175,0.0
dji97c,97,watertight,dirichlet,5400.0,0.525,0.2189537867952899,0.2189537867952811,0.2189537867952855,0.2189537867952855,0.0
dji97c,97,watertight,dirichlet,5400.0,0.55,0.22569602580117282,0.2256960258011793,0.22569602580117606,0.22569602580117606,0.0
dji97c,97,watertight,dirichlet,5400.0,0.575,0.23215957091310677,0.2321595709131109,0.23215957091310885,0.23215957091310885,0.0
dji97c,97,watertight,dirichlet,5400.0,0.6,0.23662098347271723,0.23662098347271565,0.23662098347271643,0.23662098347271643,0.0
dji97c,97,watertight,dirichlet,5400.0,0.625,0.2391513769985329,0.23915137699852743,0.23915137699853017,0.23915137699853017,0.0
dji97c,97,watertight,dirichlet,5400.0,0.65,0.23989585475926076,0.239895854759259,0.2398958547592599,0.2398958547592599,0.0
dji97c,97,watertight,dirichlet,5400.0,0.675,0.2391065916777771,0.23910659167778808,0.2391065916777826,0.2391065916777826,0.0
dji97c,97,watertight,dirichlet,5400.0,0.7,0.23688554089278877,0.2368855408927957,0.23688554089279223,0.23688554089279223,0.0
dji97c,97,watertight,dirichlet,5400.0,0.725,0.23318605126515146,0.233186051265138,0.23318605126514474,0.23318605126514474,0.0
dji97c,97,watertight,dirichlet,5400.0,0.75,0.2282863622784064,0.22828636227838045,0.22828636227839344,0.22828636227839344,0.0
dji97c,97,watertight,dirichlet,5400.0,0.775,0.22209247815661065,0.22209247815659605,0.22209247815660335,0.22209247815660335,0.0
dji97c,97,watertight,dirichlet,5400.0,0.8,0.21450202301897678,0.21450202301899188,0.21450202301898433,0.21450202301898433,0.0
dji97c,97,watertight,dirichlet,5400.0,0.825,0.2053863425482137,0.20538634254821023,0.20538634254821198,0.20538634254821198,0.0
dji97c,97,watertight,dirichlet,5400.0,0.85,0.19391018395939508,0.19391018395941167,0.19391018395940338,0.19391018395940338,0.0
dji97c,97,watertight,dirichlet,5400.0,0.875,0.18107860912296858,0.1810786091229727,0.18107860912297064,0.18107860912297064,0.0
dji97c,97,watertight,dirichlet,5400.0,0.9,0.1681300114442932,0.16813001144428033,0.16813001144428677,0.16813001144428677,0.0
dji97c,97,watertight,dirichlet,5400.0,0.925,0.15512648268440882,0.15512648268439935,0.1551264826844041,0.1551264826844041,0.0
dji97c,97,watertight,dirichlet,5400.0,0.95,0.13993047338648815,0.13993047338650158,0.13993047338649486,0.13993047338649486,0.0
dji97c,97,watertight,dirichlet,5400.0,0.975,0.11079926591386423,0.11079926591385927,0.11079926591386174,0.11079926591386174,0.0
dji97u,97,open,neumann,5400.0,0.125,0.051905096057784476,0.051905096057784254,0.051905096057784365,0.051905096057784365,0.0
dji97u,97,open,neumann,5400.0,0.15,0.06693781937487224,0.06693781937487213,0.06693781937487218,0.06693781937487218,0.0
dji97u,97,open,neumann,5400.0,0.175,0.07980263694161807,0.07980263694161868,0.07980263694161838,0.07980263694161838,0.0
dji97u,97,open,neumann,5400.0,0.2,0.09168607209389766,0.09168607209389817,0.09168607209389792,0.09168607209389792,0.0
dji97u,97,open,neumann,5400.0,0.225,0.10215372828970834,0.1021537282897084,0.10215372828970837,0.10215372828970837,0.0
dji97u,97,open,neumann,5400.0,0.25,0.11167831398283352,0.11167831398283336,0.11167831398283344,0.11167831398283344,0.0
dji97u,97,open,neumann,5400.0,0.275,0.12116561221275729,0.1211656122127573,0.12116561221275729,0.12116561221275729,0.0
dji97u,97,open,neumann,5400.0,0.3,0.1322265990372463,0.13222659903724562,0.13222659903724596,0.13222659903724596,0.0
dji97u,97,open,neumann,5400.0,0.325,0.14362438269373975,0.14362438269374006,0.1436243826937399,0.1436243826937399,0.0
dji97u,97,open,neumann,5400.0,0.35,0.15630723202183214,0.15630723202183228,0.15630723202183222,0.15630723202183222,0.0
dji97u,97,open,neumann,5400.0,0.375,0.1692389904540878,0.16923899045408736,0.16923899045408758,0.16923899045408758,0.0
dji97u,97,open,neumann,5400.0,0.4,0.1814108873930435,0.18141088739304276,0.18141088739304312,0.18141088739304312,0.0
dji97u,97,open,neumann,5400.0,0.425,0.19229797091836603,0.19229797091836484,0.19229797091836542,0.19229797091836542,0.0
dji97u,97,open,neumann,5400.0,0.45,0.201839740904477,0.2018397409044775,0.20183974090447726,0.20183974090447726,0.0
dji97u,97,open,neumann,5400.0,0.475,0.21061863677388068,0.2106186367738804,0.21061863677388054,0.21061863677388054,0.0
dji97u,97,open,neumann,5400.0,0.5,0.21863654994587312,0.21863654994587225,0.21863654994587267,0.21863654994587267,0.0
dji97u,97,open,neumann,5400.0,0.525,0.22586801003466925,0.22586801003466883,0.22586801003466905,0.22586801003466905,0.0
dji97u,97,open,neumann,5400.0,0.55,0.23227040201828833,0.23227040201828733,0.23227040201828783,0.23227040201828783,0.0
dji97u,97,open,neumann,5400.0,0.575,0.23858137159450163,0.23858137159450227,0.23858137159450193,0.23858137159450193,0.0
dji97u,97,open,neumann,5400.0,0.6,0.24333769523071844,0.24333769523071858,0.24333769523071852,0.24333769523071852,0.0
dji97u,97,open,neumann,5400.0,0.625,0.2462010144973334,0.2462010144973322,0.24620101449733278,0.24620101449733278,0.0
dji97u,97,open,neumann,5400.0,0.65,0.2471065291347907,0.24710652913478792,0.2471065291347893,0.2471065291347893,0.0
dji97u,97,open,neumann,5400.0,0.675,0.24624099431209628,0.2462409943120917,0.246240994312094,0.246240994312094,0.0
dji97u,97,open,neumann,5400.0,0.7,0.24372237340288494,0.2437223734028796,0.24372237340288228,0.24372237340288228,0.0
dji97u,97,open,neumann,5400.0,0.725,0.2398148661294327,0.23981486612942757,0.23981486612943015,0.23981486612943015,0.0
dji97u,97,open,neumann,5400.0,0.75,0.23460743059543776,0.23460743059543449,0.23460743059543612,0.23460743059543612,0.0
dji97u,97,open,neumann,5400.0,0.775,0.22815108595420466,0.22815108595420305,0.22815108595420386,0.22815108595420386,0.0
dji97u,97,open,neumann,5400.0,0.8,0.22047865928777702,0.22047865928777413,0.22047865928777557,0.22047865928777557,0.0
dji97u,97,open,neumann,5400.0,0.825,0.21103755657075424,0.21103755657075224,0.21103755657075324,0.21103755657075324,0.0
dji97u,97,open,neumann,5400.0,0.85,0.19952407169350467,0.19952407169350472,0.1995240716935047,0.1995240716935047,0.0
dji97u,97,open,neumann,5400.0,0.875,0.18657680524270998,0.18657680524270995,0.18657680524270998,0.18657680524270998,0.0
dji97u,97,open,neumann,5400.0,0.9,0.1731993147937215,0.17319931479372147,0.17319931479372147,0.17319931479372147,0.0
dji97u,97,open,neumann,5400.0,0.925,0.16007174865933083,0.1600717486593336,0.1600717486593322,0.1600717486593322,0.0
dji97u,97,open,neumann,5400.0,0.95,0.14446377415206793,0.14446377415206757,0.14446377415206774,0.14446377415206774,0.0
dji97u,97,open,neumann,5400.0,0.975,0.11636494289107467,0.11636494289107509,0.11636494289107488,0.11636494289107488,0.0
dji121c,121,watertight,dirichlet,5400.0,0.125,0.0508511676797345,0.0508511676797365,0.0508511676797355,0.0508511676797355,0.0
dji121c,121,watertight,dirichlet,5400.0,0.15,0.06583781233323277,0.0658378123332332,0.06583781233323299,0.06583781233323299,0.0
dji121c,121,watertight,dirichlet,5400.0,0.175,0.07809866761102471,0.07809866761102317,0.07809866761102394,0.07809866761102394,0.0
dji121c,121,watertight,dirichlet,5400.0,0.2,0.08858517202522928,0.08858517202522445,0.08858517202522687,0.08858517202522687,0.0
dji121c,121,watertight,dirichlet,5400.0,0.225,0.0975537002957218,0.09755370029571324,0.09755370029571753,0.09755370029571753,0.0
dji121c,121,watertight,dirichlet,5400.0,0.25,0.10606802761655186,0.10606802761654456,0.10606802761654821,0.10606802761654821,0.0
dji121c,121,watertight,dirichlet,5400.0,0.275,0.11523364320351524,0.11523364320351362,0.11523364320351442,0.11523364320351442,0.0
dji121c,121,watertight,dirichlet,5400.0,0.3,0.12595671401905836,0.12595671401905198,0.12595671401905517,0.12595671401905517,0.0
dji121c,121,watertight,dirichlet,5400.0,0.325,0.1372921949464037,0.1372921949463975,0.1372921949464006,0.1372921949464006,0.0
dji121c,121,watertight,dirichlet,5400.0,0.35,0.15019514425534766,0.15019514425534916,0.1501951442553484,0.1501951442553484,0.0
dji121c,121,watertight,dirichlet,5400.0,0.375,0.16311652843658456,0.16311652843659177,0.16311652843658817,0.16311652843658817,0.0
dji121c,121,watertight,dirichlet,5400.0,0.4,0.1748502737711261,0.17485027377113585,0.174850273771131,0.174850273771131,0.0
dji121c,121,watertight,dirichlet,5400.0,0.425,0.18486698874891927,0.18486698874893764,0.18486698874892846,0.18486698874892846,0.0
dji121c,121,watertight,dirichlet,5400.0,0.45,0.19394569313852864,0.19394569313853208,0.19394569313853036,0.19394569313853036,0.0
dji121c,121,watertight,dirichlet,5400.0,0.475,0.2029448589601879,0.2029448589602023,0.2029448589601951,0.2029448589601951,0.0
dji121c,121,watertight,dirichlet,5400.0,0.5,0.21137124313076086,0.2113712431307701,0.2113712431307655,0.2113712431307655,0.0
dji121c,121,watertight,dirichlet,5400.0,0.525,0.2189746866047839,0.21897468660477476,0.2189746866047793,0.2189746866047793,0.0
dji121c,121,watertight,dirichlet,5400.0,0.55,0.2257462607368102,0.22574626073680168,0.22574626073680593,0.22574626073680593,0.0
dji121c,121,watertight,dirichlet,5400.0,0.575,0.23219486651399746,0.2321948665139825,0.23219486651398996,0.23219486651398996,0.0
dji121c,121,watertight,dirichlet,5400.0,0.6,0.23672194145645947,0.23672194145647027,0.23672194145646486,0.23672194145646486,0.0
dji121c,121,watertight,dirichlet,5400.0,0.625,0.23934038992645748,0.23934038992648898,0.23934038992647322,0.23934038992647322,0.0
dji121c,121,watertight,dirichlet,5400.0,0.65,0.24014582339300092,0.2401458233930369,0.2401458233930189,0.2401458233930189,0.0
dji121c,121,watertight,dirichlet,5400.0,0.675,0.23935983159505672,0.23935983159508228,0.23935983159506952,0.23935983159506952,0.0
dji121c,121,watertight,dirichlet,5400.0,0.7,0.23714428038543586,0.23714428038544594,0.2371442803854409,0.2371442803854409,0.0
dji121c,121,watertight,dirichlet,5400.0,0.725,0.23345076332498993,0.23345076332499903,0.23345076332499448,0.23345076332499448,0.0
dji121c,121,watertight,dirichlet,5400.0,0.75,0.22849380464324784,0.22849380464326072,0.22849380464325428,0.22849380464325428,0.0
dji121c,121,watertight,dirichlet,5400.0,0.775,0.222295878288277,0.22229587828828987,0.22229587828828343,0.22229587828828343,0.0
dji121c,121,watertight,dirichlet,5400.0,0.8,0.2148219282044195,0.21482192820442528,0.2148219282044224,0.2148219282044224,0.0
dji121c,121,watertight,dirichlet,5400.0,0.825,0.20572690963671153,0.20572690963671503,0.20572690963671328,0.20572690963671328,0.0
dji121c,121,watertight,dirichlet,5400.0,0.85,0.1942527339969304,0.19425273399690715,0.19425273399691878,0.19425273399691878,0.0
dji121c,121,watertight,dirichlet,5400.0,0.875,0.1813973140551283,0.18139731405511406,0.18139731405512116,0.18139731405512116,0.0
dji121c,121,watertight,dirichlet,5400.0,0.9,0.16841910326235127,0.16841910326235274,0.168419103262352,0.168419103262352,0.0
dji121c,121,watertight,dirichlet,5400.0,0.925,0.1554093412563582,0.1554093412563637,0.15540934125636094,0.15540934125636094,0.0
dji121c,121,watertight,dirichlet,5400.0,0.95,0.14027043769431144,0.1402704376943285,0.14027043769431996,0.14027043769431996,0.0
dji121c,121,watertight,dirichlet,5400.0,0.975,0.11122114828819189,0.11122114828820868,0.11122114828820029,0.11122114828820029,0.0
dji121u,121,open,neumann,5400.0,0.125,0.05205317335298621,0.05205317335298615,0.052053173352986176,0.052053173352986176,0.0
dji121u,121,open,neumann,5400.0,0.15,0.06698857916932921,0.06698857916932881,0.06698857916932902,0.06698857916932902,0.0
dji121u,121,open,neumann,5400.0,0.175,0.07974853692589226,0.07974853692589177,0.07974853692589201,0.07974853692589201,0.0
dji121u,121,open,neumann,5400.0,0.2,0.09148235079543651,0.09148235079543536,0.09148235079543593,0.09148235079543593,0.0
dji121u,121,open,neumann,5400.0,0.225,0.10179815643512122,0.10179815643512095,0.10179815643512108,0.10179815643512108,0.0
dji121u,121,open,neumann,5400.0,0.25,0.11121110594777586,0.11121110594777692,0.11121110594777639,0.11121110594777639,0.0
dji121u,121,open,neumann,5400.0,0.275,0.12063922510188482,0.12063922510188624,0.12063922510188553,0.12063922510188553,0.0
dji121u,121,open,neumann,5400.0,0.3,0.13161725720048972,0.13161725720048995,0.13161725720048983,0.13161725720048983,0.0
dji121u,121,open,neumann,5400.0,0.325,0.14299115769183762,0.14299115769183898,0.1429911576918383,0.1429911576918383,0.0
dji121u,121,open,neumann,5400.0,0.35,0.15566056314807714,0.1556605631480774,0.15566056314807727,0.15566056314807727,0.0
dji121u,121,open,neumann,5400.0,0.375,0.16856183019002055,0.16856183019002025,0.1685618301900204,0.1685618301900204,0.0
dji121u,121,open,neumann,5400.0,0.4,0.1806693401357752,0.18066934013577626,0.18066934013577574,0.18066934013577574,0.0
dji121u,121,open,neumann,5400.0,0.425,0.19145617466132286,0.1914561746613242,0.19145617466132353,0.19145617466132353,0.0
dji121u,121,open,neumann,5400.0,0.45,0.2009493752062381,0.20094937520623926,0.20094937520623868,0.20094937520623868,0.0
dji121u,121,open,neumann,5400.0,0.475,0.2097467473283439,0.20974674732834353,0.2097467473283437,0.2097467473283437,0.0
dji121u,121,open,neumann,5400.0,0.5,0.21781272242195832,0.2178127224219564,0.21781272242195737,0.21781272242195737,0.0
dji121u,121,open,neumann,5400.0,0.525,0.2250955603707745,0.22509556037077208,0.22509556037077327,0.22509556037077327,0.0
dji121u,121,open,neumann,5400.0,0.55,0.231546351892273,0.23154635189227166,0.23154635189227232,0.23154635189227232,0.0
dji121u,121,open,neumann,5400.0,0.575,0.23784650404754062,0.23784650404754143,0.23784650404754104,0.23784650404754104,0.0
dji121u,121,open,neumann,5400.0,0.6,0.24262900574722424,0.24262900574722374,0.24262900574722399,0.24262900574722399,0.0
dji121u,121,open,neumann,5400.0,0.625,0.2455348215206586,0.2455348215206574,0.245534821520658,0.245534821520658,0.0
dji121u,121,open,neumann,5400.0,0.65,0.24648440095030508,0.24648440095030477,0.24648440095030494,0.24648440095030494,0.0
dji121u,121,open,neumann,5400.0,0.675,0.2456572944163466,0.24565729441634712,0.24565729441634687,0.24565729441634687,0.0
dji121u,121,open,neumann,5400.0,0.7,0.24318803372621073,0.24318803372620876,0.24318803372620973,0.24318803372620973,0.0
dji121u,121,open,neumann,5400.0,0.725,0.23934417651255646,0.23934417651255505,0.23934417651255574,0.23934417651255574,0.0
dji121u,121,open,neumann,5400.0,0.75,0.2342072055979903,0.23420720559798863,0.23420720559798947,0.23420720559798947,0.0
dji121u,121,open,neumann,5400.0,0.775,0.22782297455526201,0.22782297455525977,0.2278229745552609,0.2278229745552609,0.0
dji121u,121,open,neumann,5400.0,0.8,0.2202203082300054,0.22022030823000488,0.22022030823000516,0.22022030823000516,0.0
dji121u,121,open,neumann,5400.0,0.825,0.2108415648607906,0.2108415648607896,0.2108415648607901,0.2108415648607901,0.0
dji121u,121,open,neumann,5400.0,0.85,0.19937301325941284,0.19937301325941517,0.199373013259414,0.199373013259414,0.0
dji121u,121,open,neumann,5400.0,0.875,0.1864460892904147,0.18644608929041773,0.18644608929041623,0.18644608929041623,0.0
dji121u,121,open,neumann,5400.0,0.9,0.1730739090254485,0.17307390902545033,0.17307390902544942,0.17307390902544942,0.0
dji121u,121,open,neumann,5400.0,0.925,0.15996244207826157,0.15996244207826332,0.15996244207826243,0.15996244207826243,0.0
dji121u,121,open,neumann,5400.0,0.95,0.14446784662064524,0.144467846620646,0.1444678466206456,0.1444678466206456,0.0
dji121u,121,open,neumann,5400.0,0.975,0.11655820126849822,0.11655820126850176,0.1165582012685,0.1165582012685,0.0
