phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
refine,1,1000,1,855,1,5,0.007700788,0.007714023,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,860,1,5,0.007701549,0.0077071,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,865,1,5,0.007707249,0.007718811,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,870,1,5,0.007707019,0.007713561,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,875,1,5,0.007707219,0.007714914,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,880,1,5,0.007697862,0.007711428,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,885,1,5,0.007706088,0.007711498,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,890,1,5,0.007703182,0.00770741,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,895,1,5,0.00770723,0.007712379,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,900,1,5,0.007704846,0.007710265,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,905,1,5,0.007697141,0.007708262,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,910,1,5,0.00770219,0.007708161,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,915,1,5,0.007694366,0.007704775,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,920,1,5,0.007694476,0.007706959,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,925,1,5,0.007700487,0.007708552,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,930,1,5,0.007708793,0.007712209,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,935,1,5,0.007702591,0.007709965,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,940,1,5,0.007700587,0.007709013,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,945,1,5,0.007702561,0.00771265,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,950,1,5,0.007706929,0.007718782,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,955,1,5,0.007712459,0.007724703,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,960,1,5,0.007707831,0.007721967,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,965,1,5,0.007746854,0.007757103,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,970,1,5,0.007753015,0.007758285,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,975,1,5,0.007708793,0.007726075,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,980,1,5,0.0077179,0.007724822,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,985,1,5,0.007707971,0.007723009,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,990,1,5,0.007768555,0.007774776,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,995,1,5,0.007739581,0.007747005,m12-2-9,2026-07-25T09:02:01Z
refine,1,1000,1,1000,1,5,0.007625536,0.007628883,m12-2-9,2026-07-25T09:02:01Z
