mode,tf,n,ell,strategy,expansion_order,P_literature,stencil_epsilon,construct_seconds,step_seconds_min,step_seconds_median,err_potential_abs_rms,err_potential_rel_rms,err_gradient_abs_rms,err_gradient_rel_rms,err_gradient_max,reference_samples,reference_checksum,oom_fallback,host,timestamp
gpu,Float64,10000,3,dense,3,4,0.09771192665517459,27.146547679,0.005046518,0.005136343,3.131661458640741e-7,4.141583906169123e-6,1.999524369386395e-5,0.00023402075549230287,0.00011334276476393734,10000,a6b0c70dbfe2dbb9df9b8c9675bf6e6427c2ccc053c2bda0a87d72d7606a33e2,false,m13h-1-1,2026-07-25T09:31:54Z
gpu,Float32,10000,3,dense,3,4,0.09771192665517459,27.619401536,0.00457852,0.004617646,3.1421567062756367e-7,4.155463742565874e-6,2.0001701212483722e-5,0.00023409633313512337,0.0001133904228142904,10000,a6b0c70dbfe2dbb9df9b8c9675bf6e6427c2ccc053c2bda0a87d72d7606a33e2,false,m13h-1-1,2026-07-25T09:32:53Z
gpu,Float64,10000,4,dense,3,4,0.19542385331034917,27.912777967,0.021646287,0.021949119,1.1827142455522817e-7,1.5641250977052727e-6,1.3698552852351594e-5,0.00016032541222002331,8.490713468877469e-5,10000,a6b0c70dbfe2dbb9df9b8c9675bf6e6427c2ccc053c2bda0a87d72d7606a33e2,false,m13h-1-1,2026-07-25T09:33:52Z
gpu,Float32,10000,4,dense,3,4,0.19542385331034917,31.68503809,0.020477181,0.020546284,1.3166227685165076e-7,1.74121747851716e-6,1.3708080116411135e-5,0.0001604369176143623,8.493704028684979e-5,10000,a6b0c70dbfe2dbb9df9b8c9675bf6e6427c2ccc053c2bda0a87d72d7606a33e2,false,m13h-1-1,2026-07-25T09:34:54Z
gpu,Float64,10000,5,dense,3,4,0.39084770662069834,31.688371747,0.158950563,0.159246909,7.328491867595396e-8,9.69184069739713e-7,1.5994724953954482e-5,0.00018719939976348884,9.938270514687612e-5,10000,a6b0c70dbfe2dbb9df9b8c9675bf6e6427c2ccc053c2bda0a87d72d7606a33e2,false,m13h-1-1,2026-07-25T09:35:59Z
gpu,Float32,10000,5,dense,3,4,0.39084770662069834,65.782837079,0.154124967,0.154756551,1.2384933742525188e-7,1.637892311938355e-6,1.6006491949344917e-5,0.0001873371185726869,9.946784903744026e-5,10000,a6b0c70dbfe2dbb9df9b8c9675bf6e6427c2ccc053c2bda0a87d72d7606a33e2,false,m13h-1-1,2026-07-25T09:37:38Z
gpu,Float64,31623,3,dense,3,4,0.09771192665517459,27.238582524,0.010229243,0.010386959,2.705750341587983e-7,3.604689266493738e-6,1.820609892564575e-5,0.00022636781314437364,7.931263614265635e-5,512,f7aaf0cf3d77e4db265b6c58bb9745bf737d4e22b67266394999489818988512,false,m13h-1-1,2026-07-25T09:38:37Z
gpu,Float32,31623,3,dense,3,4,0.09771192665517459,27.517868349,0.008936733,0.00906262,2.7173626387466795e-7,3.620159549277744e-6,1.8201672449961644e-5,0.00022631277600409225,7.930669258087298e-5,512,f7aaf0cf3d77e4db265b6c58bb9745bf737d4e22b67266394999489818988512,false,m13h-1-1,2026-07-25T09:39:36Z
gpu,Float64,31623,4,dense,3,4,0.19542385331034917,27.842129015,0.026290453,0.026359747,8.71447757209495e-8,1.1609712575623308e-6,1.0381087536659942e-5,0.0001290745531665661,4.033401630520481e-5,512,f7aaf0cf3d77e4db265b6c58bb9745bf737d4e22b67266394999489818988512,false,m13h-1-1,2026-07-25T09:40:35Z
gpu,Float32,31623,4,dense,3,4,0.19542385331034917,31.562468678,0.024719019,0.024996224,1.0264833325089212e-7,1.3675147311477526e-6,1.038335717013771e-5,0.0001291027729389127,4.03293579605783e-5,512,f7aaf0cf3d77e4db265b6c58bb9745bf737d4e22b67266394999489818988512,false,m13h-1-1,2026-07-25T09:41:38Z
