stencil,n_classes,g_min_h,n,ell,beta,eps,rho_t,required_gap_h,bodies_per_leaf,required_bodies_per_leaf,compliant,n_classes_required,reg_pairs_per_target,direct_pairs_per_target,f_regularized,speedup_q15,speedup_q25,n_classes_production,direct_pairs_production,f_production,speedup_production_q15,speedup_production_q25
theta0.5_|o|^2<=12,179,2.2361,1000,3,2.0,1e-03,4.789,7.6626,2.0,78.6,0,3161,3680.9,6173.8,0.5962,1.156,1.320,3161,6173.8,0.5962,1.156,1.320
theta0.5_|o|^2<=12,179,2.2361,1000,4,2.0,1e-03,4.789,15.3253,0.2,78.6,0,20029,3680.9,4889.9,0.7528,1.090,1.174,20029,4889.9,0.7528,1.090,1.174
theta0.5_|o|^2<=12,179,2.2361,1000,5,2.0,1e-03,4.789,30.6506,0.0,78.6,0,139147,3680.9,4246.4,0.8668,1.046,1.087,139147,4246.4,0.8668,1.046,1.087
theta0.5_|o|^2<=12,179,2.2361,1000,6,2.0,1e-03,4.789,61.3011,0.0,78.6,0,1037005,3680.9,3955.9,0.9305,1.024,1.044,1037005,3955.9,0.9305,1.024,1.044
theta0.5_|o|^2<=12,179,2.2361,10000,0,2.0,1e-03,4.789,0.4446,10000.0,78.6,1,27,3680.9,270000.0,0.0136,1.490,2.450,179,1790000.0,0.0021,1.498,2.492
theta0.5_|o|^2<=12,179,2.2361,10000,1,2.0,1e-03,4.789,0.8892,1250.0,78.6,1,27,3680.9,33750.0,0.1091,1.422,2.149,179,223750.0,0.0165,1.488,2.440
theta0.5_|o|^2<=12,179,2.2361,10000,2,2.0,1e-03,4.789,1.7783,156.2,78.6,1,125,3680.9,19531.2,0.1885,1.371,1.949,179,27968.8,0.1316,1.407,2.088
theta0.5_|o|^2<=12,179,2.2361,10000,3,2.0,1e-03,4.789,3.5567,19.5,78.6,0,493,3680.9,9628.9,0.3823,1.259,1.589,493,9628.9,0.3823,1.259,1.589
theta0.5_|o|^2<=12,179,2.2361,10000,4,2.0,1e-03,4.789,7.1134,2.4,78.6,0,2657,3680.9,6486.8,0.5674,1.168,1.351,2657,6486.8,0.5674,1.168,1.351
theta0.5_|o|^2<=12,179,2.2361,10000,5,2.0,1e-03,4.789,14.2267,0.3,78.6,0,16255,3680.9,4960.6,0.7420,1.094,1.183,16255,4960.6,0.7420,1.094,1.183
theta0.5_|o|^2<=12,179,2.2361,10000,6,2.0,1e-03,4.789,28.4535,0.0,78.6,0,112571,3680.9,4294.2,0.8572,1.050,1.094,112571,4294.2,0.8572,1.050,1.094
theta0.5_|o|^2<=12,179,2.2361,100000,0,2.0,1e-03,4.789,0.2064,100000.0,78.6,1,27,3680.9,2700000.0,0.0014,1.499,2.495,179,17900000.0,0.0002,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,100000,1,2.0,1e-03,4.789,0.4127,12500.0,78.6,1,27,3680.9,337500.0,0.0109,1.492,2.460,179,2237500.0,0.0016,1.499,2.494
theta0.5_|o|^2<=12,179,2.2361,100000,2,2.0,1e-03,4.789,0.8254,1562.5,78.6,1,27,3680.9,42187.5,0.0873,1.437,2.211,179,279687.5,0.0132,1.490,2.452
theta0.5_|o|^2<=12,179,2.2361,100000,3,2.0,1e-03,4.789,1.6509,195.3,78.6,1,117,3680.9,22851.6,0.1611,1.388,2.014,179,34960.9,0.1053,1.425,2.159
theta0.5_|o|^2<=12,179,2.2361,100000,4,2.0,1e-03,4.789,3.3017,24.4,78.6,0,461,3680.9,11254.9,0.3270,1.289,1.677,461,11254.9,0.3270,1.289,1.677
theta0.5_|o|^2<=12,179,2.2361,100000,5,2.0,1e-03,4.789,6.6035,3.1,78.6,0,2199,3680.9,6710.8,0.5485,1.177,1.372,2199,6710.8,0.5485,1.177,1.372
theta0.5_|o|^2<=12,179,2.2361,100000,6,2.0,1e-03,4.789,13.2069,0.4,78.6,0,13421,3680.9,5119.7,0.7190,1.103,1.203,13421,5119.7,0.7190,1.103,1.203
theta0.5_|o|^2<=12,179,2.2361,1000000,0,2.0,1e-03,4.789,0.0958,1000000.0,78.6,1,27,3680.9,27000000.0,0.0001,1.500,2.499,179,179000000.0,0.0000,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,2.0,1e-03,4.789,0.1916,125000.0,78.6,1,27,3680.9,3375000.0,0.0011,1.499,2.496,179,22375000.0,0.0002,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,1000000,2,2.0,1e-03,4.789,0.3831,15625.0,78.6,1,27,3680.9,421875.0,0.0087,1.493,2.468,179,2796875.0,0.0013,1.499,2.495
theta0.5_|o|^2<=12,179,2.2361,1000000,3,2.0,1e-03,4.789,0.7663,1953.1,78.6,1,27,3680.9,52734.4,0.0698,1.449,2.263,179,349609.4,0.0105,1.492,2.461
theta0.5_|o|^2<=12,179,2.2361,1000000,4,2.0,1e-03,4.789,1.5325,244.1,78.6,1,117,3680.9,28564.5,0.1289,1.409,2.095,179,43701.2,0.0842,1.439,2.220
theta0.5_|o|^2<=12,179,2.2361,1000000,5,2.0,1e-03,4.789,3.0651,30.5,78.6,0,389,3680.9,11871.3,0.3101,1.299,1.706,389,11871.3,0.3101,1.299,1.706
theta0.5_|o|^2<=12,179,2.2361,1000000,6,2.0,1e-03,4.789,6.1301,3.8,78.6,0,1839,3680.9,7015.2,0.5247,1.188,1.399,1839,7015.2,0.5247,1.188,1.399
theta0.5_|o|^2<=12,179,2.2361,1000,0,2.5,1e-03,4.789,1.1973,1000.0,153.5,1,81,7189.3,81000.0,0.0888,1.436,2.206,179,179000.0,0.0402,1.470,2.358
theta0.5_|o|^2<=12,179,2.2361,1000,1,2.5,1e-03,4.789,2.3946,125.0,153.5,0,251,7189.3,31375.0,0.2291,1.346,1.861,251,31375.0,0.2291,1.346,1.861
theta0.5_|o|^2<=12,179,2.2361,1000,2,2.5,1e-03,4.789,4.7892,15.6,153.5,0,991,7189.3,15484.4,0.4643,1.217,1.474,991,15484.4,0.4643,1.217,1.474
theta0.5_|o|^2<=12,179,2.2361,1000,3,2.5,1e-03,4.789,9.5783,2.0,153.5,0,5737,7189.3,11205.1,0.6416,1.136,1.274,5737,11205.1,0.6416,1.136,1.274
theta0.5_|o|^2<=12,179,2.2361,1000,4,2.5,1e-03,4.789,19.1566,0.2,153.5,0,36817,7189.3,8988.5,0.7998,1.071,1.136,36817,8988.5,0.7998,1.071,1.136
theta0.5_|o|^2<=12,179,2.2361,1000,5,2.5,1e-03,4.789,38.3132,0.0,153.5,0,264155,7189.3,8061.4,0.8918,1.037,1.069,264155,8061.4,0.8918,1.037,1.069
theta0.5_|o|^2<=12,179,2.2361,1000,6,2.5,1e-03,4.789,76.6264,0.0,153.5,0,1997299,7189.3,7619.1,0.9436,1.019,1.035,1997299,7619.1,0.9436,1.019,1.035
theta0.5_|o|^2<=12,179,2.2361,10000,0,2.5,1e-03,4.789,0.5557,10000.0,153.5,1,27,7189.3,270000.0,0.0266,1.480,2.404,179,1790000.0,0.0040,1.497,2.485
theta0.5_|o|^2<=12,179,2.2361,10000,1,2.5,1e-03,4.789,1.1115,1250.0,153.5,1,81,7189.3,101250.0,0.0710,1.449,2.259,179,223750.0,0.0321,1.476,2.385
theta0.5_|o|^2<=12,179,2.2361,10000,2,2.5,1e-03,4.789,2.2229,156.2,153.5,1,179,7189.3,27968.8,0.2570,1.329,1.804,179,27968.8,0.2570,1.329,1.804
theta0.5_|o|^2<=12,179,2.2361,10000,3,2.5,1e-03,4.789,4.4459,19.5,153.5,0,847,7189.3,16543.0,0.4346,1.232,1.513,847,16543.0,0.4346,1.232,1.513
theta0.5_|o|^2<=12,179,2.2361,10000,4,2.5,1e-03,4.789,8.8917,2.4,153.5,0,4603,7189.3,11237.8,0.6397,1.136,1.276,4603,11237.8,0.6397,1.136,1.276
theta0.5_|o|^2<=12,179,2.2361,10000,5,2.5,1e-03,4.789,17.7834,0.3,153.5,0,29945,7189.3,9138.5,0.7867,1.077,1.147,29945,9138.5,0.7867,1.077,1.147
theta0.5_|o|^2<=12,179,2.2361,10000,6,2.5,1e-03,4.789,35.5668,0.0,153.5,0,212953,7189.3,8123.5,0.8850,1.040,1.074,212953,8123.5,0.8850,1.040,1.074
theta0.5_|o|^2<=12,179,2.2361,100000,0,2.5,1e-03,4.789,0.2579,100000.0,153.5,1,27,7189.3,2700000.0,0.0027,1.498,2.490,179,17900000.0,0.0004,1.500,2.498
theta0.5_|o|^2<=12,179,2.2361,100000,1,2.5,1e-03,4.789,0.5159,12500.0,153.5,1,27,7189.3,337500.0,0.0213,1.484,2.423,179,2237500.0,0.0032,1.498,2.488
theta0.5_|o|^2<=12,179,2.2361,100000,2,2.5,1e-03,4.789,1.0318,1562.5,153.5,1,81,7189.3,126562.5,0.0568,1.459,2.304,179,279687.5,0.0257,1.481,2.407
theta0.5_|o|^2<=12,179,2.2361,100000,3,2.5,1e-03,4.789,2.0636,195.3,153.5,1,179,7189.3,34960.9,0.2056,1.360,1.911,179,34960.9,0.2056,1.360,1.911
theta0.5_|o|^2<=12,179,2.2361,100000,4,2.5,1e-03,4.789,4.1272,24.4,153.5,0,763,7189.3,18627.9,0.3859,1.257,1.583,763,18627.9,0.3859,1.257,1.583
theta0.5_|o|^2<=12,179,2.2361,100000,5,2.5,1e-03,4.789,8.2543,3.1,153.5,0,3911,7189.3,11935.4,0.6023,1.153,1.313,3911,11935.4,0.6023,1.153,1.313
theta0.5_|o|^2<=12,179,2.2361,100000,6,2.5,1e-03,4.789,16.5087,0.4,153.5,0,24423,7189.3,9316.6,0.7717,1.082,1.159,24423,9316.6,0.7717,1.082,1.159
theta0.5_|o|^2<=12,179,2.2361,1000000,0,2.5,1e-03,4.789,0.1197,1000000.0,153.5,1,27,7189.3,27000000.0,0.0003,1.500,2.499,179,179000000.0,0.0000,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,2.5,1e-03,4.789,0.2395,125000.0,153.5,1,27,7189.3,3375000.0,0.0021,1.498,2.492,179,22375000.0,0.0003,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,1000000,2,2.5,1e-03,4.789,0.4789,15625.0,153.5,1,27,7189.3,421875.0,0.0170,1.487,2.438,179,2796875.0,0.0026,1.498,2.490
theta0.5_|o|^2<=12,179,2.2361,1000000,3,2.5,1e-03,4.789,0.9578,1953.1,153.5,1,27,7189.3,52734.4,0.1363,1.404,2.076,179,349609.4,0.0206,1.485,2.425
theta0.5_|o|^2<=12,179,2.2361,1000000,4,2.5,1e-03,4.789,1.9157,244.1,153.5,1,125,7189.3,30517.6,0.2356,1.342,1.847,179,43701.2,0.1645,1.386,2.005
theta0.5_|o|^2<=12,179,2.2361,1000000,5,2.5,1e-03,4.789,3.8313,30.5,153.5,0,613,7189.3,18707.3,0.3843,1.258,1.586,613,18707.3,0.3843,1.258,1.586
theta0.5_|o|^2<=12,179,2.2361,1000000,6,2.5,1e-03,4.789,7.6626,3.8,153.5,0,3161,7189.3,12058.3,0.5962,1.156,1.320,3161,12058.3,0.5962,1.156,1.320
theta0.5_|o|^2<=12,179,2.2361,1000,0,1.5,1e-04,5.303,0.7954,1000.0,45.0,1,27,2108.1,27000.0,0.0781,1.444,2.238,179,179000.0,0.0118,1.491,2.457
theta0.5_|o|^2<=12,179,2.2361,1000,1,1.5,1e-04,5.303,1.5909,125.0,45.0,1,117,2108.1,14625.0,0.1441,1.399,2.056,179,22375.0,0.0942,1.433,2.190
theta0.5_|o|^2<=12,179,2.2361,1000,2,1.5,1e-04,5.303,3.1817,15.6,45.0,0,461,2108.1,7203.1,0.2927,1.309,1.737,461,7203.1,0.2927,1.309,1.737
theta0.5_|o|^2<=12,179,2.2361,1000,3,1.5,1e-04,5.303,6.3635,2.0,45.0,0,1983,2108.1,3873.0,0.5443,1.179,1.376,1983,3873.0,0.5443,1.179,1.376
theta0.5_|o|^2<=12,179,2.2361,1000,4,1.5,1e-04,5.303,12.7269,0.2,45.0,0,11939,2108.1,2914.8,0.7233,1.102,1.199,11939,2914.8,0.7233,1.102,1.199
theta0.5_|o|^2<=12,179,2.2361,1000,5,1.5,1e-04,5.303,25.4538,0.0,45.0,0,81661,2108.1,2492.1,0.8459,1.054,1.102,81661,2492.1,0.8459,1.054,1.102
theta0.5_|o|^2<=12,179,2.2361,1000,6,1.5,1e-04,5.303,50.9077,0.0,45.0,0,602107,2108.1,2296.9,0.9178,1.028,1.052,602107,2296.9,0.9178,1.028,1.052
theta0.5_|o|^2<=12,179,2.2361,10000,0,1.5,1e-04,5.303,0.3692,10000.0,45.0,1,27,2108.1,270000.0,0.0078,1.494,2.471,179,1790000.0,0.0012,1.499,2.496
theta0.5_|o|^2<=12,179,2.2361,10000,1,1.5,1e-04,5.303,0.7384,1250.0,45.0,1,27,2108.1,33750.0,0.0625,1.455,2.286,179,223750.0,0.0094,1.493,2.465
theta0.5_|o|^2<=12,179,2.2361,10000,2,1.5,1e-04,5.303,1.4768,156.2,45.0,1,117,2108.1,18281.2,0.1153,1.418,2.131,179,27968.8,0.0754,1.446,2.246
theta0.5_|o|^2<=12,179,2.2361,10000,3,1.5,1e-04,5.303,2.9537,19.5,45.0,0,311,2108.1,6074.2,0.3471,1.278,1.644,311,6074.2,0.3471,1.278,1.644
theta0.5_|o|^2<=12,179,2.2361,10000,4,1.5,1e-04,5.303,5.9073,2.4,45.0,0,1641,2108.1,4006.3,0.5262,1.188,1.397,1641,4006.3,0.5262,1.188,1.397
theta0.5_|o|^2<=12,179,2.2361,10000,5,1.5,1e-04,5.303,11.8146,0.3,45.0,0,9837,2108.1,3002.0,0.7022,1.110,1.218,9837,3002.0,0.7022,1.110,1.218
theta0.5_|o|^2<=12,179,2.2361,10000,6,1.5,1e-04,5.303,23.6293,0.0,45.0,0,66581,2108.1,2539.9,0.8300,1.060,1.114,66581,2539.9,0.8300,1.060,1.114
theta0.5_|o|^2<=12,179,2.2361,100000,0,1.5,1e-04,5.303,0.1714,100000.0,45.0,1,27,2108.1,2700000.0,0.0008,1.499,2.497,179,17900000.0,0.0001,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,100000,1,1.5,1e-04,5.303,0.3427,12500.0,45.0,1,27,2108.1,337500.0,0.0062,1.495,2.477,179,2237500.0,0.0009,1.499,2.496
theta0.5_|o|^2<=12,179,2.2361,100000,2,1.5,1e-04,5.303,0.6855,1562.5,45.0,1,27,2108.1,42187.5,0.0500,1.463,2.326,179,279687.5,0.0075,1.494,2.472
theta0.5_|o|^2<=12,179,2.2361,100000,3,1.5,1e-04,5.303,1.3710,195.3,45.0,1,81,2108.1,15820.3,0.1333,1.406,2.084,179,34960.9,0.0603,1.456,2.293
theta0.5_|o|^2<=12,179,2.2361,100000,4,1.5,1e-04,5.303,2.7419,24.4,45.0,0,275,2108.1,6713.9,0.3140,1.296,1.700,275,6713.9,0.3140,1.296,1.700
theta0.5_|o|^2<=12,179,2.2361,100000,5,1.5,1e-04,5.303,5.4839,3.1,45.0,0,1461,2108.1,4458.6,0.4728,1.213,1.463,1461,4458.6,0.4728,1.213,1.463
theta0.5_|o|^2<=12,179,2.2361,100000,6,1.5,1e-04,5.303,10.9677,0.4,45.0,0,7995,2108.1,3049.9,0.6912,1.115,1.227,7995,3049.9,0.6912,1.115,1.227
theta0.5_|o|^2<=12,179,2.2361,1000000,0,1.5,1e-04,5.303,0.0795,1000000.0,45.0,1,27,2108.1,27000000.0,0.0001,1.500,2.500,179,179000000.0,0.0000,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,1.5,1e-04,5.303,0.1591,125000.0,45.0,1,27,2108.1,3375000.0,0.0006,1.500,2.498,179,22375000.0,0.0001,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,2,1.5,1e-04,5.303,0.3182,15625.0,45.0,1,27,2108.1,421875.0,0.0050,1.496,2.481,179,2796875.0,0.0008,1.499,2.497
theta0.5_|o|^2<=12,179,2.2361,1000000,3,1.5,1e-04,5.303,0.6363,1953.1,45.0,1,27,2108.1,52734.4,0.0400,1.471,2.359,179,349609.4,0.0060,1.495,2.478
theta0.5_|o|^2<=12,179,2.2361,1000000,4,1.5,1e-04,5.303,1.2727,244.1,45.0,1,81,2108.1,19775.4,0.1066,1.424,2.155,179,43701.2,0.0482,1.465,2.331
theta0.5_|o|^2<=12,179,2.2361,1000000,5,1.5,1e-04,5.303,2.5454,30.5,45.0,0,275,2108.1,8392.3,0.2512,1.333,1.816,275,8392.3,0.2512,1.333,1.816
theta0.5_|o|^2<=12,179,2.2361,1000000,6,1.5,1e-04,5.303,5.0908,3.8,45.0,0,1141,2108.1,4352.6,0.4843,1.208,1.448,1141,4352.6,0.4843,1.208,1.448
theta0.5_|o|^2<=12,179,2.2361,1000,0,2.0,1e-04,5.303,1.0606,1000.0,106.7,1,81,4997.1,81000.0,0.0617,1.455,2.288,179,179000.0,0.0279,1.479,2.400
theta0.5_|o|^2<=12,179,2.2361,1000,1,2.0,1e-04,5.303,2.1212,125.0,106.7,1,179,4997.1,22375.0,0.2233,1.349,1.873,179,22375.0,0.2233,1.349,1.873
theta0.5_|o|^2<=12,179,2.2361,1000,2,2.0,1e-04,5.303,4.2423,15.6,106.7,0,763,4997.1,11921.9,0.4192,1.240,1.535,763,11921.9,0.4192,1.240,1.535
theta0.5_|o|^2<=12,179,2.2361,1000,3,2.0,1e-04,5.303,8.4846,2.0,106.7,0,4055,4997.1,7919.9,0.6309,1.140,1.284,4055,7919.9,0.6309,1.140,1.284
theta0.5_|o|^2<=12,179,2.2361,1000,4,2.0,1e-04,5.303,16.9692,0.2,106.7,0,26055,4997.1,6361.1,0.7856,1.077,1.148,26055,6361.1,0.7856,1.077,1.148
theta0.5_|o|^2<=12,179,2.2361,1000,5,2.0,1e-04,5.303,33.9385,0.0,106.7,0,185693,4997.1,5666.9,0.8818,1.041,1.076,185693,5666.9,0.8818,1.041,1.076
theta0.5_|o|^2<=12,179,2.2361,1000,6,2.0,1e-04,5.303,67.8769,0.0,106.7,0,1397985,4997.1,5332.9,0.9370,1.021,1.039,1397985,5332.9,0.9370,1.021,1.039
theta0.5_|o|^2<=12,179,2.2361,10000,0,2.0,1e-04,5.303,0.4923,10000.0,106.7,1,27,4997.1,270000.0,0.0185,1.486,2.432,179,1790000.0,0.0028,1.498,2.490
theta0.5_|o|^2<=12,179,2.2361,10000,1,2.0,1e-04,5.303,0.9846,1250.0,106.7,1,27,4997.1,33750.0,0.1481,1.397,2.046,179,223750.0,0.0223,1.483,2.419
theta0.5_|o|^2<=12,179,2.2361,10000,2,2.0,1e-04,5.303,1.9691,156.2,106.7,1,125,4997.1,19531.2,0.2558,1.330,1.807,179,27968.8,0.1787,1.377,1.972
theta0.5_|o|^2<=12,179,2.2361,10000,3,2.0,1e-04,5.303,3.9382,19.5,106.7,0,613,4997.1,11972.7,0.4174,1.241,1.537,613,11972.7,0.4174,1.241,1.537
theta0.5_|o|^2<=12,179,2.2361,10000,4,2.0,1e-04,5.303,7.8764,2.4,106.7,0,3449,4997.1,8420.4,0.5934,1.157,1.323,3449,8420.4,0.5934,1.157,1.323
theta0.5_|o|^2<=12,179,2.2361,10000,5,2.0,1e-04,5.303,15.7528,0.3,106.7,0,21417,4997.1,6535.9,0.7646,1.085,1.165,21417,6535.9,0.7646,1.085,1.165
theta0.5_|o|^2<=12,179,2.2361,10000,6,2.0,1e-04,5.303,31.5057,0.0,106.7,0,150669,4997.1,5747.6,0.8694,1.046,1.085,150669,5747.6,0.8694,1.046,1.085
theta0.5_|o|^2<=12,179,2.2361,100000,0,2.0,1e-04,5.303,0.2285,100000.0,106.7,1,27,4997.1,2700000.0,0.0019,1.499,2.493,179,17900000.0,0.0003,1.500,2.499
theta0.5_|o|^2<=12,179,2.2361,100000,1,2.0,1e-04,5.303,0.4570,12500.0,106.7,1,27,4997.1,337500.0,0.0148,1.489,2.446,179,2237500.0,0.0022,1.498,2.492
theta0.5_|o|^2<=12,179,2.2361,100000,2,2.0,1e-04,5.303,0.9140,1562.5,106.7,1,27,4997.1,42187.5,0.1184,1.416,2.123,179,279687.5,0.0179,1.487,2.435
theta0.5_|o|^2<=12,179,2.2361,100000,3,2.0,1e-04,5.303,1.8280,195.3,106.7,1,125,4997.1,24414.1,0.2047,1.361,1.913,179,34960.9,0.1429,1.400,2.059
theta0.5_|o|^2<=12,179,2.2361,100000,4,2.0,1e-04,5.303,3.6559,24.4,106.7,0,565,4997.1,13793.9,0.3623,1.270,1.620,565,13793.9,0.3623,1.270,1.620
theta0.5_|o|^2<=12,179,2.2361,100000,5,2.0,1e-04,5.303,7.3118,3.1,106.7,0,2897,4997.1,8840.9,0.5652,1.169,1.353,2897,8840.9,0.5652,1.169,1.353
theta0.5_|o|^2<=12,179,2.2361,100000,6,2.0,1e-04,5.303,14.6236,0.4,106.7,0,17527,4997.1,6686.0,0.7474,1.092,1.179,17527,6686.0,0.7474,1.092,1.179
theta0.5_|o|^2<=12,179,2.2361,1000000,0,2.0,1e-04,5.303,0.1061,1000000.0,106.7,1,27,4997.1,27000000.0,0.0002,1.500,2.499,179,179000000.0,0.0000,1.500,2.500
