kernel,variant,precision,n,reps,median_s,min_s,h2d_s,d2h_s,pairs_per_s,gflops_nominal,jobid
ujsfs,opt,f64,10000,5,1.519666e-02,1.519435e-02,8.4260e-05,1.2122e-04,6.5804e+09,684.4,13246522
uj,tiled,f32,10000,5,6.529519e-03,6.522465e-03,1.2015e-04,8.3784e-05,1.5315e+10,1194.6,13246522
uj,opt,f32,10000,5,4.406000e-03,4.404533e-03,1.2015e-04,8.3784e-05,2.2696e+10,1770.3,13246522
ujsfs,tiled,f32,10000,5,7.102876e-03,7.100559e-03,1.2015e-04,8.3784e-05,1.4079e+10,1464.2,13246522
ujsfs,opt,f32,10000,5,6.075295e-03,6.073795e-03,1.2015e-04,8.3784e-05,1.6460e+10,1711.9,13246522
uj,tiled,f64,31623,5,3.654091e-02,3.653916e-02,1.8622e-04,1.7033e-03,2.7367e+10,2134.6,13246522
uj,opt,f64,31623,5,3.615021e-02,3.614751e-02,1.8622e-04,1.7033e-03,2.7663e+10,2157.7,13246522
ujsfs,tiled,f64,31623,5,4.237864e-02,4.237661e-02,1.8622e-04,1.7033e-03,2.3597e+10,2454.1,13246522
ujsfs,opt,f64,31623,5,4.763715e-02,4.763542e-02,1.8622e-04,1.7033e-03,2.0992e+10,2183.2,13246522
uj,tiled,f32,31623,5,2.030360e-02,2.029924e-02,2.7433e-04,1.6855e-04,4.9253e+10,3841.7,13246522
uj,opt,f32,31623,5,1.380286e-02,1.380083e-02,2.7433e-04,1.6855e-04,7.2450e+10,5651.1,13246522
ujsfs,tiled,f32,31623,5,2.242132e-02,2.241996e-02,2.7433e-04,1.6855e-04,4.4601e+10,4638.5,13246522
ujsfs,opt,f32,31623,5,1.903106e-02,1.902773e-02,2.7433e-04,1.6855e-04,5.2546e+10,5464.8,13246522
uj,tiled,f64,100000,5,2.273823e-01,2.272746e-01,4.4332e-04,5.3391e-03,4.3979e+10,3430.3,13246522
uj,opt,f64,100000,5,1.603086e-01,1.603060e-01,4.4332e-04,5.3391e-03,6.2380e+10,4865.6,13246522
ujsfs,tiled,f64,100000,5,2.698532e-01,2.697177e-01,4.4332e-04,5.3391e-03,3.7057e+10,3853.9,13246522
ujsfs,opt,f64,100000,5,2.047049e-01,2.046982e-01,4.4332e-04,5.3391e-03,4.8851e+10,5080.5,13246522
uj,tiled,f32,100000,5,9.492716e-02,9.492187e-02,7.8116e-04,4.0621e-04,1.0534e+11,8216.8,13246522
uj,opt,f32,100000,5,5.785427e-02,5.784511e-02,7.8116e-04,4.0621e-04,1.7285e+11,13482.2,13246522
ujsfs,tiled,f32,100000,5,1.116003e-01,1.115959e-01,7.8116e-04,4.0621e-04,8.9606e+10,9319.0,13246522
ujsfs,opt,f32,100000,5,7.711929e-02,7.710598e-02,7.8116e-04,4.0621e-04,1.2967e+11,13485.6,13246522
uj,tiled,f64,316228,5,1.649775e+00,1.648613e+00,1.0780e-03,1.6626e-02,6.0614e+10,4727.9,13246522
uj,opt,f64,316228,5,1.409618e+00,1.409044e+00,1.0780e-03,1.6626e-02,7.0941e+10,5533.4,13246522
ujsfs,tiled,f64,316228,5,2.052759e+00,2.051418e+00,1.0780e-03,1.6626e-02,4.8715e+10,5066.4,13246522
ujsfs,opt,f64,316228,5,1.769057e+00,1.767376e+00,1.0780e-03,1.6626e-02,5.6527e+10,5878.8,13246522
uj,tiled,f32,316228,5,7.227259e-01,7.221468e-01,6.7111e-03,6.0469e-03,1.3837e+11,10792.5,13246522
uj,opt,f32,316228,5,4.350198e-01,4.346691e-01,6.7111e-03,6.0469e-03,2.2987e+11,17930.2,13246522
ujsfs,tiled,f32,316228,5,8.787373e-01,8.779647e-01,6.7111e-03,6.0469e-03,1.1380e+11,11835.2,13246522
ujsfs,opt,f32,316228,5,5.615478e-01,5.613512e-01,6.7111e-03,6.0469e-03,1.7808e+11,18520.3,13246522
uj,tiled,f64,1000000,5,1.325714e+01,1.325497e+01,1.9734e-02,5.2205e-02,7.5431e+10,5883.6,13246522
uj,opt,f64,1000000,5,1.003762e+01,1.003516e+01,1.9734e-02,5.2205e-02,9.9625e+10,7770.8,13246522
ujsfs,tiled,f64,1000000,2,1.736231e+01,1.736218e+01,1.9734e-02,5.2205e-02,5.7596e+10,5990.0,13246522
ujsfs,opt,f64,1000000,5,1.223113e+01,1.222405e+01,1.9734e-02,5.2205e-02,8.1759e+10,8502.9,13246522
uj,tiled,f32,1000000,5,5.754818e+00,5.754088e+00,1.7368e-02,2.5759e-02,1.7377e+11,13553.9,13246522
uj,opt,f32,1000000,5,3.400008e+00,3.398945e+00,1.7368e-02,2.5759e-02,2.9412e+11,22941.1,13246522
ujsfs,tiled,f32,1000000,5,7.280360e+00,7.279786e+00,1.7368e-02,2.5759e-02,1.3736e+11,14285.0,13246522
ujsfs,opt,f32,1000000,5,4.231278e+00,4.230814e+00,1.7368e-02,2.5759e-02,2.3634e+11,24578.9,13246522
uj,tiled,f32,3162278,2,4.994238e+01,4.994188e+01,6.6701e-02,8.3588e-02,2.0023e+11,15618.0,13246522
uj,opt,f32,3162278,2,3.060471e+01,3.060387e+01,6.6701e-02,8.3588e-02,3.2675e+11,25486.3,13246522
ujsfs,tiled,f32,3162278,2,6.495096e+01,6.494991e+01,6.6701e-02,8.3588e-02,1.5396e+11,16012.1,13246522
ujsfs,opt,f32,3162278,2,3.733897e+01,3.733735e+01,6.6701e-02,8.3588e-02,2.6782e+11,27852.9,13246522
