manifest,job,host,gpu,julia,cuda,blas_threads,seed,policy,strategy,precision,P,lh,n,ell,window_classes,fit,note,n_cells,n_nodes,nodes_per_level,routes,routes_per_level,n_direct,nonempty_classes,max_class,mean_class,class_p50,class_p90,construction_ms,persistent_device_bytes,peak_device_bytes,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,b2m_ms,m2m_ms,m2l_ms,m2l_per_level,l2l_ms,l2b_ms,full_step_ms,m2l_device_alloc_bytes,step_device_alloc_bytes,full_step_host_alloc_bytes,route_uploads,operator_uploads,body_uploads,metadata_downloads,expansion_host_copies,err_potential,err_gradient
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,20000,4,1740,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,17.571643,503316480,572522496,0.870581,0.018931,0.099912,0.385348,0.051056,0.5492159980349243,0.788479985203594,5.399551708251238,0.18056 0.569628 4.756423,0.7771520176902413,0.9202880319207907,13.278329,22544,25380,7667616,2,2,11,33,0,8.844852989881025e-7,3.2218567939995904e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,20000,4,1,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,78.853721,67108864,136314880,1.06412,0.025153,0.120247,239.557384,0.061552,0.5511040217243135,0.8338880143128335,258.6755156517029,58.577679 78.124076 124.606659,0.8331199642270803,0.9244800312444568,259.99969699999997,20880,23716,38951872,2,2,11,33,0,8.84485299015858e-7,3.2218567939995904e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,20000,4,4,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,78.505475,67108864,136314880,0.966159,0.022065,0.105301,71.79327,0.056082,0.5494719953276217,0.7927999831736088,74.25536215305328,15.129819 31.153743 31.11107,0.7901440258137882,0.9268159628845751,87.516679,22620,25456,17286016,2,2,11,33,0,8.844852989742247e-7,3.2218567939988965e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,20000,4,8,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,78.385659,67108864,136314880,0.915001,0.019864,0.099844,35.824471,0.051178,0.5496640224009752,0.7962880190461874,38.1695032119751,7.847659 15.503749 15.418625,0.8116160170175135,0.9246720001101494,48.757823,22620,25456,12194496,2,2,11,33,0,8.844852989881025e-7,3.221856793998723e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,20000,4,32,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,78.287752,67108864,136314880,0.868987,0.019072,0.100587,10.896261,0.050432,0.5496320081874728,0.8012480102479458,11.34630385786295,3.548053 3.897967 4.2841,0.7783040055073798,0.9277439676225185,21.174859,22620,25456,8598352,2,2,11,33,0,8.844852989742247e-7,3.2218567939995904e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,20000,4,64,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,78.649017,67108864,136314880,0.882012,0.019041,0.099823,6.272224,0.053061,0.5502079729922116,0.7926080143079162,6.4857276156544685,1.907491 2.005729 2.830765,0.7840640028007329,0.9318719967268407,16.189885,22620,25456,7811264,2,2,11,33,0,8.844852989742247e-7,3.2218567939995904e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,20000,4,256,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,78.567225,134217728,203423744,0.857548,0.018336,0.101136,2.812054,0.049467,0.5498880054801702,0.7905280217528343,2.963968086987734,0.556966 0.573102 1.980652,0.776447996031493,0.9314880007877946,12.244131,22540,25376,7194496,2,2,11,33,0,8.844852989881025e-7,3.2218567939995904e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,20000,4,1740,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,79.230978,503316480,572522496,0.856143,0.018593,0.097055,0.384769,0.050515,0.5495999939739704,0.794015999417752,2.2407679352909327,0.144666 0.277324 1.936023,0.7776960264891386,0.9244800312444568,9.870047,22544,25380,7018304,2,2,11,33,0,8.844852989881025e-7,3.221856794000284e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,20000,5,1,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,7.247877,134217728,203423744,1.016147,0.023425,0.10533,64.250073,0.060463,0.21020800340920687,1.033696113154292,107.62473195791245,71.204833 21.471287 29.855206 29.464542,1.0303360177204013,0.2391680027358234,135.29713600000002,20224,23152,53323408,2,2,11,33,0,3.892650077168269e-5,0.0007731517783878955
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,20000,5,4,true,,12729,16051,1 8 64 510 2739 12729,1686178,3096 53072 340868 1289142,209075,1264,7467,1334.001582278481,300.0,3447.0,7.176115,134217728,203423744,0.938321,0.019793,0.106178,18.297701,0.059354,0.21020800340920687,0.9896319825202227,30.044415965676308,5.447508 7.47735 7.446709 8.65881,1.0168319568037987,0.2411519963061437,69.409498,19908,22836,38756448,2,2,11,33,0,3.892650077168269e-5,0.0007731517783878955
