host,gpu,variant,precision,P,lh,n,ell,fit,note,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,dense_operator_bytes,dense_persistent_bytes,dense_estimated_peak_bytes,chunk,whole_pass,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-2,NVIDIA H200,dense_perclass,Float64,12,false,150,3,true,,15172,2252,2716,26,5.5861561119293075,10915.600029,805306368,941621248,749897616,794303080,794303080,16384,false,1.9272000063210726,0.6349760224111378,87.66210824251175,0.6330239702947438,1.987231895327568,43456,94.331874,9656992,2.3325938403040425e-11,4.675267686882201e-9
m13h-1-2,NVIDIA H200,dense,Float32,12,false,150,3,true,,15172,2252,2716,26,5.5861561119293075,151650.670467,402653184,538968064,374948808,397203104,397203104,16384,true,1.361823990009725,0.7172159967012703,70.49692422151566,0.645824009552598,1.4952640049159527,21728,75.634754,5655600,NaN,NaN
m13h-1-2,NVIDIA H200,dense_perclass,Float32,12,false,150,3,true,,15172,2252,2716,26,5.5861561119293075,151651.029065,402653184,505413632,374948808,397203104,397203104,16384,false,1.3596800854429603,0.7356799906119704,91.82726591825485,0.6337919621728361,1.494303927756846,21728,95.949021,9652064,NaN,NaN
m13h-1-2,NVIDIA H200,concat,Float64,12,true,150,3,true,,12382,2747,0,0,0.0,39.309315,905969664,975175680,0,0,0,16384,true,1.9422400509938598,1.3358399737626314,1.157791935838759,1.3188800076022744,2.6962559204548597,160,8.880782,1672752,NaN,3.931087750458362e-9
m13h-1-2,NVIDIA H200,factored,Float64,12,true,150,3,true,,12382,2747,2490,24,4.972690763052209,51.860589,301989888,371195904,0,0,0,16384,true,1.9425919745117426,1.331776031292975,0.9200320346280932,1.3164160773158073,2.6968319434672594,0,8.422567,1558576,NaN,3.931087750458362e-9
m13h-1-2,NVIDIA H200,precomputed_y,Float64,12,true,150,3,true,,12382,2747,2490,24,4.972690763052209,136.780253,335544320,404750336,0,0,0,16384,true,1.94195203948766,1.3572800671681762,0.5499839899130166,1.3357759453356266,2.6966079603880644,0,8.512171,1559424,NaN,3.931087757397256e-9
m13h-1-2,NVIDIA H200,dense,Float64,12,true,150,3,true,,12382,2747,2490,24,4.972690763052209,37608.332621,3590324224,3693084672,3465981600,3561767168,3561767168,16384,true,1.9443839555606246,1.4398399507626891,60.79340726137161,1.4175039250403643,2.6992959901690483,39840,70.13961400000001,5576992,NaN,3.931087743519468e-9
m13h-1-2,NVIDIA H200,dense_perclass,Float64,12,true,150,3,true,,12382,2747,2490,24,4.972690763052209,37720.886158,3590324224,3693084672,3465981600,3561767168,3561767168,16384,false,1.94284797180444,1.4109440380707383,84.7308486700058,1.4216320123523474,2.6997120585292578,39840,93.297753,10037280,NaN,3.931087736580574e-9
m13h-1-2,NVIDIA H200,dense,Float32,12,true,150,3,true,,12382,2747,2490,24,4.972690763052209,503475.693351,1811939328,1914699776,1732990800,1780935088,1780935088,16384,true,1.3483840739354491,1.4457919169217348,60.00582501292229,1.3751679798588157,2.042304025962949,19920,67.841644,5568368,NaN,NaN
m13h-1-2,NVIDIA H200,dense_perclass,Float32,12,true,150,3,true,,12382,2747,2490,24,4.972690763052209,504422.652001,1811939328,1881145344,1732990800,1780935088,1780935088,16384,false,1.3521600048989058,1.5015039825811982,85.27712523937225,1.3517120387405157,2.0437119528651237,19920,89.776607,10028656,NaN,NaN
