host,gpu,variant,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-1,NVIDIA H200,concat,12,true,150,3,12382,2747,0,0,0.0,38.618186,905969664,975175680,1.9421119941398501,1.3198719825595617,1.151680015027523,1.3025280786678195,2.6981120463460684,160,8.891712,1672752,NaN,3.93108776433615e-9
m13h-1-1,NVIDIA H200,factored,12,true,150,3,12382,2747,2490,24,4.972690763052209,447.479388,167772160,236978176,1.94240000564605,1.330047962255776,244.2602813243866,1.3582078972831368,2.6976321823894978,0,407.35559900000004,210221280,NaN,3.931087750458362e-9
m13h-1-1,NVIDIA H200,concat,4,false,2000,3,32396,217604,0,0,0.0,523.354332,335544320,404750336,0.3283520054537803,0.5922240088693798,0.26019199867732823,0.5790399736724794,0.4581440007314086,80,4.273656,1481632,1.2898346377077097e-8,6.286091274523842e-7
m13h-1-1,NVIDIA H200,factored,4,false,2000,3,32396,217604,1584,48,20.4520202020202,71.504412,67108864,136314880,0.3283199912402779,0.5912960041314363,50.94803124666214,0.6082879845052958,0.44723201426677406,0,104.78536600000001,53939936,1.2898346390954885e-8,6.286091274732009e-7
m13h-1-1,NVIDIA H200,concat,4,true,2000,3,23646,222370,0,0,0.0,7.388128,872415232,941621248,0.33238399191759527,1.3009279500693083,0.5451199831441045,1.2661119690164924,0.7145919953472912,160,6.257874,1817968,NaN,3.2682611207125734e-7
m13h-1-1,NVIDIA H200,factored,4,true,2000,3,23646,222370,1368,41,17.285087719298247,89.164662,67108864,136314880,0.3328320162836462,1.3513279845938087,123.72508645057678,1.3294080272316933,0.6953920237720013,0,178.5081,67044512,NaN,3.2682611207125734e-7
m13h-1-1,NVIDIA H200,concat,8,false,2000,3,177990,65059,0,0,0.0,10.259002,973078528,1042284544,1.9624319393187761,0.6061120075173676,2.9330879915505648,0.5974079831503332,2.046783920377493,160,8.539012,1615488,1.6684062464911165e-10,1.6432846750014107e-8
m13h-1-1,NVIDIA H200,factored,8,false,2000,3,177990,65059,3122,237,57.011531069827036,189.218286,134217728,203423744,1.9631041213870049,0.6321920081973076,110.26937514543533,0.62959996284917,2.048415830358863,0,236.539937,137581024,1.6684062464911165e-10,1.6432846722258532e-8
m13h-1-1,NVIDIA H200,concat,8,true,2000,3,185284,67725,0,0,0.0,15.63021,2516582400,2585788416,2.3089279420673847,1.319583971053362,6.471488159149885,1.300320029258728,3.5923519171774387,320,14.406355,2019408,NaN,1.060691341529807e-8
m13h-1-1,NVIDIA H200,factored,8,true,2000,3,185284,67725,3124,247,59.309859154929576,316.229283,167772160,236978176,2.3080960381776094,1.38371204957366,297.7012097835541,1.3679360272362828,3.583488054573536,0,415.46293099999997,183866736,NaN,1.0606913411828622e-8
