level,q_parent,q_child,offset,orbit,routes,admissible_rank,sigma,relative_tail_at_rank7
2,6,6,-3:-2:-2,3:2:2,4,11,4384.58682012541:4270.621732344061:889.5510753388971:573.3033178901808:385.03068374134415:53.59696829915195:48.4771958420791:12.285713668362034:10.60103302163861:4.095829021552326:1.0481820035324505:0.9869868441294841:0.6523524988364644:0.1541830968306893:0.09360335732362447:0.0614653578478892,0.002701155616319223
2,6,6,-2:-2:-2,2:2:2,8,10,11636.205666938893:11127.010395076266:2990.3142837646924:2038.465069375429:1364.28768839954:218.42201253227734:200.9188751623954:24.37556439306765:22.419898506384648:9.72529618130251:2.636417894839585:2.3652205890971763:1.0284675698512122:0.26463128770727956:0.17146669276592486:0.09415604741344274,0.0020962009582465727
2,6,6,-1:-2:-2,2:2:1,12,11,23694.650252420874:22629.3033215961:8246.646923213122:5898.668082118187:3790.7167861305393:756.800682478039:715.4716156889119:41.9804495679597:39.895089397642394:19.383524356528522:6.204380776986788:5.466100365325061:1.3642292524906996:0.4117702911074684:0.283244245386466:0.12970896265812779,0.0017856848500791408
2,6,6,0:-2:-2,2:2:0,16,11,30630.229426698035:29554.327512692522:12314.367499493526:9132.112439361881:5779.875259585073:1300.635223396703:1246.9039426057527:52.286519315584236:49.66914012648963:25.238685686659476:8.961334786282094:7.9540942255339:1.5215930208621309:0.4930775153600341:0.34874831173068993:0.14676036643473478,0.0016948020408758388
2,6,6,1:-2:-2,2:2:1,12,11,23694.65025242086:22629.3033215961:8246.646923213122:5898.668082118187:3790.7167861305406:756.8006824780387:715.4716156889125:41.98044956795963:39.89508939764221:19.383524356528653:6.2043807769866675:5.466100365324658:1.3642292524905644:0.4117702911073795:0.28324424538693654:0.12970896265765242,0.001785684850079136
2,6,6,2:-2:-2,2:2:2,8,10,11636.205666938899:11127.010395076264:2990.3142837646924:2038.465069375429:1364.2876883995389:218.4220125322776:200.91887516239552:24.375564393067602:22.41989850638446:9.725296181302284:2.636417894839913:2.3652205890972278:1.0284675698511834:0.26463128770725947:0.17146669276585125:0.09415604741333611,0.0020962009582465605
2,6,6,3:-2:-2,3:2:2,4,11,4384.586820125407:4270.621732344059:889.5510753388966:573.3033178901803:385.0306837413442:53.596968299151975:48.47719584207905:12.285713668362018:10.601033021638585:4.095829021552167:1.0481820035325273:0.9869868441294567:0.6523524988364486:0.15418309683074052:0.09360335732357551:0.0614653578478436,0.002701155616319214
2,6,6,-3:-1:-2,3:2:1,6,10,7650.01467487348:7368.49275053888:1741.7195786684429:1159.8992824510692:782.4568080493118:116.06243912126291:105.7493542127271:18.066579270859666:16.180049631718582:6.639984479137657:1.6971009601392868:1.5879793157809627:0.8652461896539899:0.20851771464154564:0.1311916323788079:0.07839193533692157,0.0023278018949306036
2,6,6,-2:-1:-2,2:2:1,12,11,23694.65025242087:22629.303321596104:8246.646923213122:5898.668082118189:3790.716786130541:756.8006824780384:715.4716156889126:41.9804495679596:39.89508939764205:19.38352435652817:6.20438077698594:5.46610036532384:1.3642292524906585:0.4117702911074726:0.283244245386759:0.12970896265848927,0.0017856848500791237
2,6,6,2:-1:-2,2:2:1,12,11,23694.650252420848:22629.303321596093:8246.646923213118:5898.668082118186:3790.71678613054:756.8006824780392:715.4716156889126:41.98044956795962:39.89508939764227:19.383524356528543:6.204380776986409:5.466100365325023:1.364229252490445:0.41177029110730345:0.28324424538661297:0.12970896265784296,0.0017856848500791371
2,6,6,3:-1:-2,3:2:1,6,10,7650.014674873476:7368.492750538879:1741.7195786684426:1159.8992824510688:782.456808049312:116.06243912126305:105.74935421272706:18.06657927085967:16.180049631718624:6.6399844791376905:1.6971009601392726:1.5879793157809947:0.8652461896538973:0.20851771464150703:0.131191632378608:0.07839193533704668,0.0023278018949306075
2,6,6,-3:0:-2,3:2:0,8,10,9385.297809486852:9005.863875639763:2256.742024231389:1520.2955608002014:1023.1531519020951:156.92047156099758:143.5695226023916:20.88106063859347:18.949915921629913:7.980852141803884:2.0946994956301057:1.9127230764011096:0.9433374282229663:0.2338619885355562:0.14921098168389452:0.08570085651926623,0.0022099919704868425
2,6,6,-2:0:-2,2:2:0,16,11,30630.229426698046:29554.32751269252:12314.367499493532:9132.11243936189:5779.875259585076:1300.6352233967034:1246.9039426057536:52.28651931558423:49.669140126489935:25.23868568665964:8.961334786282322:7.954094225533602:1.5215930208623685:0.4930775153601827:0.34874831173083704:0.14676036643453197,0.0016948020408758435
2,6,6,2:0:-2,2:2:0,16,11,30630.22942669803:29554.32751269252:12314.367499493535:9132.112439361885:5779.875259585073:1300.635223396702:1246.9039426057534:52.2865193155846:49.66914012648969:25.23868568665957:8.961334786281999:7.954094225534002:1.5215930208623978:0.4930775153600918:0.3487483117307889:0.14676036643452184,0.0016948020408758457
2,6,6,3:0:-2,3:2:0,8,10,9385.29780948685:9005.863875639763:2256.7420242313888:1520.295560800201:1023.1531519020954:156.92047156099784:143.56952260239157:20.881060638593496:18.949915921629874:7.980852141803861:2.0946994956301164:1.912723076401168:0.9433374282228977:0.23386198853563864:0.1492109816839522:0.08570085651930356,0.002209991970486842
2,6,6,-3:1:-2,3:2:1,6,10,7650.01467487348:7368.49275053888:1741.7195786684429:1159.8992824510692:782.4568080493118:116.06243912126291:105.7493542127271:18.066579270859666:16.180049631718582:6.639984479137657:1.6971009601392868:1.5879793157809627:0.8652461896539899:0.20851771464154564:0.1311916323788079:0.07839193533692157,0.0023278018949306036
2,6,6,-2:1:-2,2:2:1,12,11,23694.65025242087:22629.303321596104:8246.646923213122:5898.668082118189:3790.716786130541:756.8006824780384:715.4716156889126:41.9804495679596:39.89508939764205:19.38352435652817:6.20438077698594:5.46610036532384:1.3642292524906585:0.4117702911074726:0.283244245386759:0.12970896265848927,0.0017856848500791237
2,6,6,2:1:-2,2:2:1,12,11,23694.650252420848:22629.303321596093:8246.646923213118:5898.668082118186:3790.71678613054:756.8006824780392:715.4716156889126:41.98044956795962:39.89508939764227:19.383524356528543:6.204380776986409:5.466100365325023:1.364229252490445:0.41177029110730345:0.28324424538661297:0.12970896265784296,0.0017856848500791371
2,6,6,3:1:-2,3:2:1,6,10,7650.014674873476:7368.492750538879:1741.7195786684426:1159.8992824510688:782.456808049312:116.06243912126305:105.74935421272706:18.06657927085967:16.180049631718624:6.6399844791376905:1.6971009601392726:1.5879793157809947:0.8652461896538973:0.20851771464150703:0.131191632378608:0.07839193533704668,0.0023278018949306075
2,6,6,-3:2:-2,3:2:2,4,11,4384.58682012541:4270.621732344061:889.5510753388971:573.3033178901808:385.03068374134415:53.59696829915195:48.4771958420791:12.285713668362034:10.60103302163861:4.095829021552326:1.0481820035324505:0.9869868441294841:0.6523524988364644:0.1541830968306893:0.09360335732362447:0.0614653578478892,0.002701155616319223
2,6,6,-2:2:-2,2:2:2,8,10,11636.205666938893:11127.010395076266:2990.3142837646924:2038.465069375429:1364.28768839954:218.42201253227734:200.9188751623954:24.37556439306765:22.419898506384648:9.72529618130251:2.636417894839585:2.3652205890971763:1.0284675698512122:0.26463128770727956:0.17146669276592486:0.09415604741344274,0.0020962009582465727
2,6,6,-1:2:-2,2:2:1,12,11,23694.650252420874:22629.3033215961:8246.646923213122:5898.668082118187:3790.7167861305393:756.800682478039:715.4716156889119:41.9804495679597:39.895089397642394:19.383524356528522:6.204380776986788:5.466100365325061:1.3642292524906996:0.4117702911074684:0.283244245386466:0.12970896265812779,0.0017856848500791408
2,6,6,0:2:-2,2:2:0,16,11,30630.229426698035:29554.327512692522:12314.367499493526:9132.112439361881:5779.875259585073:1300.635223396703:1246.9039426057527:52.286519315584236:49.66914012648963:25.238685686659476:8.961334786282094:7.9540942255339:1.5215930208621309:0.4930775153600341:0.34874831173068993:0.14676036643473478,0.0016948020408758388
2,6,6,1:2:-2,2:2:1,12,11,23694.65025242086:22629.3033215961:8246.646923213122:5898.668082118187:3790.7167861305406:756.8006824780387:715.4716156889125:41.98044956795963:39.89508939764221:19.383524356528653:6.2043807769866675:5.466100365324658:1.3642292524905644:0.4117702911073795:0.28324424538693654:0.12970896265765242,0.001785684850079136
2,6,6,2:2:-2,2:2:2,8,10,11636.205666938899:11127.010395076264:2990.3142837646924:2038.465069375429:1364.2876883995389:218.4220125322776:200.91887516239552:24.375564393067602:22.41989850638446:9.725296181302284:2.636417894839913:2.3652205890972278:1.0284675698511834:0.26463128770725947:0.17146669276585125:0.09415604741333611,0.0020962009582465605
