P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,gemm_min_cols,gemm_min_dim,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
4,true,factored_scalar,8,2000,23646,1368,41,17.285087719298247,9223372036854775807,9223372036854775807,12.594625,30725640,77.495833,1808,98.10924999999999,25504
4,true,factored_gemm,8,2000,23646,1368,41,17.285087719298247,1,1,24.427875,30725640,74.48575000000001,1808,95.814542,25504
4,true,factored_optimized,8,2000,23646,1368,41,17.285087719298247,16,1,93.243625,30725640,73.41562499999999,1808,94.511583,25504
8,false,concat,8,2000,177990,0,0,0.0,16,1,91.242084,944625256,801.29175,10624,822.549042,26288
8,false,factored_functional,8,2000,177990,3122,237,57.011531069827036,16,1,22.823959,71415944,1191.7490420000001,4005127536,NaN,-1
8,false,factored_scalar,8,2000,177990,3122,237,57.011531069827036,9223372036854775807,9223372036854775807,29.104125,71415944,944.463666,1808,977.285417,17984
8,false,factored_gemm,8,2000,177990,3122,237,57.011531069827036,1,1,209.428208,71415944,708.512709,1808,727.862333,17984
8,false,factored_optimized,8,2000,177990,3122,237,57.011531069827036,16,1,127.347417,71415944,719.499542,1808,733.378833,17984
8,true,concat,8,2000,185284,0,0,0.0,16,1,181.889542,2484028840,2071.484584,22240,2083.064792,45424
8,true,factored_functional,8,2000,185284,3124,247,59.309859154929576,16,1,64.365291,89866216,3158.65825,9565679152,NaN,-1
8,true,factored_scalar,8,2000,185284,3124,247,59.309859154929576,9223372036854775807,9223372036854775807,55.980958,89866216,2323.230667,1808,2359.951083,25504
8,true,factored_gemm,8,2000,185284,3124,247,59.309859154929576,1,1,149.896042,89866216,1690.375708,1808,1729.11675,25504
8,true,factored_optimized,8,2000,185284,3124,247,59.309859154929576,16,1,148.8315,89866216,1703.962125,1808,1736.9284579999999,25504
12,false,concat,8,2000,222454,0,0,0.0,16,1,121.424292,1967809960,2564.6400830000002,10624,2694.4262089999997,26288
12,false,factored_functional,8,2000,222454,3282,310,67.78001218769043,16,1,283.35075,101381544,3561.273042,10398965520,NaN,-1
12,false,factored_scalar,8,2000,222454,3282,310,67.78001218769043,9223372036854775807,9223372036854775807,57.217834,101381544,3126.208916,1808,3107.057125,17984
12,false,factored_gemm,8,2000,222454,3282,310,67.78001218769043,1,1,156.610083,101381544,1911.71675,1808,1959.649,17984
12,false,factored_optimized,8,2000,222454,3282,310,67.78001218769043,16,1,221.918209,101381544,1946.311917,1808,1982.741,17984
12,true,concat,8,2000,203136,0,0,0.0,16,1,209.843833,5009974696,4734.837458,22240,4854.3306250000005,45424
12,true,factored_functional,8,2000,203136,3246,262,62.58040665434381,16,1,131.580292,145171752,7128.199417,21285398928,NaN,-1
12,true,factored_scalar,8,2000,203136,3246,262,62.58040665434381,9223372036854775807,9223372036854775807,84.468125,145171752,6341.018459,1808,6288.3463329999995,25504
12,true,factored_gemm,8,2000,203136,3246,262,62.58040665434381,1,1,341.428541,145171752,3837.240042,1808,3900.865334,25504
12,true,factored_optimized,8,2000,203136,3246,262,62.58040665434381,16,1,256.297084,145171752,3876.317708,1808,3926.938208,25504
