case,n,structure,param,pop,count
wake,1000000,adaptive,64,22,2658
wake,1000000,adaptive,64,23,2075
wake,1000000,adaptive,64,24,1469
wake,1000000,adaptive,64,25,1082
wake,1000000,adaptive,64,26,750
wake,1000000,adaptive,64,27,518
wake,1000000,adaptive,64,28,301
wake,1000000,adaptive,64,29,199
wake,1000000,adaptive,64,30,118
wake,1000000,adaptive,64,31,65
wake,1000000,adaptive,64,32,45
wake,1000000,adaptive,64,33,34
wake,1000000,adaptive,64,34,11
wake,1000000,adaptive,64,35,12
wake,1000000,adaptive,64,36,9
wake,1000000,adaptive,64,37,4
wake,1000000,adaptive,64,38,4
wake,1000000,adaptive,64,39,3
wake,1000000,adaptive,64,40,3
wake,1000000,adaptive,64,41,3
wake,1000000,adaptive,64,43,2
wake,1000000,adaptive,64,44,2
wake,1000000,adaptive,64,45,2
wake,1000000,adaptive,64,46,2
wake,1000000,adaptive,64,47,1
wake,1000000,adaptive,64,49,5
wake,1000000,adaptive,64,50,1
wake,1000000,adaptive,64,51,4
wake,1000000,adaptive,64,52,2
wake,1000000,adaptive,64,53,4
wake,1000000,adaptive,64,54,4
wake,1000000,adaptive,64,55,3
wake,1000000,adaptive,64,56,9
wake,1000000,adaptive,64,57,10
wake,1000000,adaptive,64,58,10
wake,1000000,adaptive,64,59,7
wake,1000000,adaptive,64,60,14
wake,1000000,adaptive,64,61,10
wake,1000000,adaptive,64,62,16
wake,1000000,adaptive,64,63,13
wake,1000000,adaptive,64,64,18
wake,1000000,uniform,5,1,1
wake,1000000,uniform,5,2,2
wake,1000000,uniform,5,3,4
wake,1000000,uniform,5,4,5
wake,1000000,uniform,5,5,3
wake,1000000,uniform,5,6,1
wake,1000000,uniform,5,8,1
wake,1000000,uniform,5,9,2
wake,1000000,uniform,5,10,2
wake,1000000,uniform,5,11,5
wake,1000000,uniform,5,12,4
wake,1000000,uniform,5,13,10
wake,1000000,uniform,5,14,13
wake,1000000,uniform,5,15,14
wake,1000000,uniform,5,16,15
wake,1000000,uniform,5,17,25
wake,1000000,uniform,5,18,18
wake,1000000,uniform,5,19,28
wake,1000000,uniform,5,20,22
wake,1000000,uniform,5,21,16
wake,1000000,uniform,5,22,16
wake,1000000,uniform,5,23,19
wake,1000000,uniform,5,24,19
wake,1000000,uniform,5,25,7
wake,1000000,uniform,5,26,9
wake,1000000,uniform,5,27,1
wake,1000000,uniform,5,28,1
wake,1000000,uniform,5,31,1
wake,1000000,uniform,5,38,1
wake,1000000,uniform,5,39,2
wake,1000000,uniform,5,41,1
wake,1000000,uniform,5,42,4
wake,1000000,uniform,5,43,6
wake,1000000,uniform,5,44,4
wake,1000000,uniform,5,45,1
wake,1000000,uniform,5,46,3
wake,1000000,uniform,5,47,7
wake,1000000,uniform,5,48,6
wake,1000000,uniform,5,49,9
wake,1000000,uniform,5,50,2
wake,1000000,uniform,5,51,5
wake,1000000,uniform,5,52,6
wake,1000000,uniform,5,53,7
wake,1000000,uniform,5,54,6
wake,1000000,uniform,5,55,5
wake,1000000,uniform,5,56,4
wake,1000000,uniform,5,57,6
wake,1000000,uniform,5,58,5
wake,1000000,uniform,5,59,4
wake,1000000,uniform,5,60,4
wake,1000000,uniform,5,61,5
wake,1000000,uniform,5,62,3
wake,1000000,uniform,5,63,3
wake,1000000,uniform,5,64,2
wake,1000000,uniform,5,65,2
wake,1000000,uniform,5,67,1
wake,1000000,uniform,5,68,1
wake,1000000,uniform,5,69,2
wake,1000000,uniform,5,70,1
wake,1000000,uniform,5,71,2
wake,1000000,uniform,5,157,1
wake,1000000,uniform,5,159,1
wake,1000000,uniform,5,160,2
wake,1000000,uniform,5,162,1
wake,1000000,uniform,5,163,2
wake,1000000,uniform,5,164,1
wake,1000000,uniform,5,172,2
wake,1000000,uniform,5,174,1
wake,1000000,uniform,5,175,1
wake,1000000,uniform,5,181,1
wake,1000000,uniform,5,182,2
wake,1000000,uniform,5,189,1
wake,1000000,uniform,5,201,1
wake,1000000,uniform,5,236,1
wake,1000000,uniform,5,237,1
wake,1000000,uniform,5,238,1
wake,1000000,uniform,5,239,1
wake,1000000,uniform,5,244,1
wake,1000000,uniform,5,246,1
wake,1000000,uniform,5,248,1
wake,1000000,uniform,5,249,2
wake,1000000,uniform,5,250,3
wake,1000000,uniform,5,252,2
wake,1000000,uniform,5,258,1
wake,1000000,uniform,5,259,4
wake,1000000,uniform,5,260,1
wake,1000000,uniform,5,261,1
wake,1000000,uniform,5,262,5
wake,1000000,uniform,5,264,4
wake,1000000,uniform,5,268,2
wake,1000000,uniform,5,270,1
wake,1000000,uniform,5,271,2
wake,1000000,uniform,5,272,1
wake,1000000,uniform,5,274,2
wake,1000000,uniform,5,277,3
wake,1000000,uniform,5,279,1
wake,1000000,uniform,5,281,1
wake,1000000,uniform,5,282,2
wake,1000000,uniform,5,283,1
wake,1000000,uniform,5,304,1
wake,1000000,uniform,5,635,2
wake,1000000,uniform,5,646,1
wake,1000000,uniform,5,647,1
wake,1000000,uniform,5,650,1
wake,1000000,uniform,5,655,1
wake,1000000,uniform,5,656,1
wake,1000000,uniform,5,658,1
wake,1000000,uniform,5,660,1
wake,1000000,uniform,5,661,1
wake,1000000,uniform,5,662,2
wake,1000000,uniform,5,663,2
wake,1000000,uniform,5,664,1
wake,1000000,uniform,5,665,2
wake,1000000,uniform,5,666,2
wake,1000000,uniform,5,667,3
wake,1000000,uniform,5,669,1
wake,1000000,uniform,5,672,1
wake,1000000,uniform,5,673,1
wake,1000000,uniform,5,674,1
wake,1000000,uniform,5,675,2
wake,1000000,uniform,5,676,3
wake,1000000,uniform,5,677,1
wake,1000000,uniform,5,678,2
wake,1000000,uniform,5,679,2
wake,1000000,uniform,5,680,2
wake,1000000,uniform,5,681,2
wake,1000000,uniform,5,682,2
wake,1000000,uniform,5,683,2
wake,1000000,uniform,5,684,2
wake,1000000,uniform,5,685,1
wake,1000000,uniform,5,686,2
wake,1000000,uniform,5,687,3
wake,1000000,uniform,5,688,4
wake,1000000,uniform,5,689,4
wake,1000000,uniform,5,690,1
wake,1000000,uniform,5,691,3
wake,1000000,uniform,5,692,1
wake,1000000,uniform,5,693,4
wake,1000000,uniform,5,694,3
wake,1000000,uniform,5,695,3
wake,1000000,uniform,5,696,3
wake,1000000,uniform,5,697,1
wake,1000000,uniform,5,698,2
wake,1000000,uniform,5,699,1
wake,1000000,uniform,5,701,4
wake,1000000,uniform,5,702,2
wake,1000000,uniform,5,703,3
wake,1000000,uniform,5,704,1
wake,1000000,uniform,5,705,2
wake,1000000,uniform,5,706,5
wake,1000000,uniform,5,707,5
wake,1000000,uniform,5,708,5
wake,1000000,uniform,5,709,2
wake,1000000,uniform,5,710,3
wake,1000000,uniform,5,711,3
wake,1000000,uniform,5,712,4
wake,1000000,uniform,5,713,3
wake,1000000,uniform,5,714,2
wake,1000000,uniform,5,715,2
wake,1000000,uniform,5,716,3
wake,1000000,uniform,5,717,4
wake,1000000,uniform,5,718,4
wake,1000000,uniform,5,719,2
wake,1000000,uniform,5,720,2
wake,1000000,uniform,5,721,6
wake,1000000,uniform,5,722,3
wake,1000000,uniform,5,723,5
wake,1000000,uniform,5,724,4
wake,1000000,uniform,5,725,5
wake,1000000,uniform,5,726,4
wake,1000000,uniform,5,727,2
wake,1000000,uniform,5,728,4
wake,1000000,uniform,5,729,3
wake,1000000,uniform,5,730,4
wake,1000000,uniform,5,731,4
wake,1000000,uniform,5,732,2
wake,1000000,uniform,5,733,3
wake,1000000,uniform,5,734,3
wake,1000000,uniform,5,735,2
wake,1000000,uniform,5,737,1
wake,1000000,uniform,5,738,3
wake,1000000,uniform,5,739,3
wake,1000000,uniform,5,740,1
wake,1000000,uniform,5,742,5
wake,1000000,uniform,5,744,3
wake,1000000,uniform,5,746,3
wake,1000000,uniform,5,747,3
wake,1000000,uniform,5,748,6
wake,1000000,uniform,5,750,2
wake,1000000,uniform,5,751,1
wake,1000000,uniform,5,752,1
wake,1000000,uniform,5,753,1
wake,1000000,uniform,5,754,1
wake,1000000,uniform,5,755,1
wake,1000000,uniform,5,756,1
wake,1000000,uniform,5,757,2
wake,1000000,uniform,5,758,1
wake,1000000,uniform,5,759,1
wake,1000000,uniform,5,761,1
wake,1000000,uniform,5,766,1
wake,1000000,uniform,5,797,1
wake,1000000,uniform,5,979,1
wake,1000000,uniform,5,1019,1
wake,1000000,uniform,5,1024,2
wake,1000000,uniform,5,1026,1
wake,1000000,uniform,5,1034,1
wake,1000000,uniform,5,1037,1
wake,1000000,uniform,5,1041,3
wake,1000000,uniform,5,1042,1
wake,1000000,uniform,5,1043,2
wake,1000000,uniform,5,1044,3
wake,1000000,uniform,5,1045,1
wake,1000000,uniform,5,1047,2
wake,1000000,uniform,5,1049,1
wake,1000000,uniform,5,1051,3
wake,1000000,uniform,5,1052,3
wake,1000000,uniform,5,1054,2
wake,1000000,uniform,5,1055,3
wake,1000000,uniform,5,1056,1
wake,1000000,uniform,5,1057,3
wake,1000000,uniform,5,1058,1
wake,1000000,uniform,5,1059,1
wake,1000000,uniform,5,1060,1
wake,1000000,uniform,5,1061,3
wake,1000000,uniform,5,1062,5
wake,1000000,uniform,5,1063,4
wake,1000000,uniform,5,1064,1
wake,1000000,uniform,5,1065,1
wake,1000000,uniform,5,1066,6
wake,1000000,uniform,5,1067,6
wake,1000000,uniform,5,1068,4
wake,1000000,uniform,5,1069,3
wake,1000000,uniform,5,1070,2
wake,1000000,uniform,5,1071,6
wake,1000000,uniform,5,1072,4
wake,1000000,uniform,5,1073,3
wake,1000000,uniform,5,1074,7
wake,1000000,uniform,5,1075,4
wake,1000000,uniform,5,1076,8
