case,n,tf,P,structure,param,status,t_cold_s,mem_gb,t_update_ms,t_lifecycle_ms,t_step_ms,vel_rel_rms,n_nodes,n_leaves,popmax,n_u,u_pairs,v_routes,w_entries,x_entries
wake,31623,Float64,4,uniform,4,ok,0.059,0.25,0.447,1.684,3.547,4.100e-04,310,254,305,8536,194494979,23226,0,0
wake,31623,Float64,4,uniform,5,ok,0.063,1.719,0.437,0.941,2.818,4.576e-04,1550,1240,53,50934,43463913,221790,0,0
wake,31623,Float64,4,uniform,6,ok,0.065,1.75,0.43,2.617,4.468,4.897e-04,9266,7716,13,367258,6696667,2266626,0,0
wake,31623,Float64,4,uniform,7,ok,0.07,1.875,0.582,5.648,7.636,5.511e-04,33794,24528,6,561902,945719,5704288,0,0
multiscale100,31623,Float64,4,adaptive,32,ok,0.113,2.0,1.639,9.657,12.851,5.001e-04,5593,4863,32,228255,11789077,1312084,37436,37436
multiscale100,31623,Float64,4,adaptive,64,ok,0.109,1.938,1.665,10.352,13.636,4.883e-04,2084,1806,64,78368,39417555,337868,32155,32155
multiscale100,31623,Float64,4,adaptive,128,ok,0.107,1.906,1.27,6.838,9.589,4.502e-04,995,870,111,37160,62140695,143330,11807,11807
multiscale100,31623,Float64,4,adaptive,256,ok,0.106,1.875,1.248,7.167,9.83,4.389e-04,974,852,246,36332,64165241,139322,11435,11435
multiscale100,31623,Float64,4,uniform,3,ok,0.057,0.062,0.409,114.854,115.116,2.430e-04,584,512,4055,21016,218174147,121680,0,0
multiscale100,31623,Float64,4,uniform,4,ok,0.059,0.281,0.444,3.631,5.496,3.628e-04,4642,4058,593,196928,109031721,1251420,0,0
multiscale100,31623,Float64,4,uniform,5,ok,0.064,1.781,0.435,4.116,5.987,4.453e-04,19618,14976,97,414116,28152115,3783178,0,0
multiscale100,31623,Float64,4,uniform,6,ok,0.067,1.906,0.435,5.104,6.957,4.808e-04,40639,21021,18,179603,4708691,4779682,0,0
multiscale100,31623,Float64,4,uniform,7,ok,0.075,2.094,0.575,6.603,8.614,5.222e-04,67776,27137,7,272817,695085,6302054,0,0
unitcube,100000,Float64,4,adaptive,32,ok,0.118,2.438,1.617,37.279,43.629,3.892e-04,9004,7873,32,329617,95462928,1513128,135714,135714
unitcube,100000,Float64,4,adaptive,64,ok,0.115,2.156,1.463,2.249,8.114,3.872e-04,4681,4096,49,199480,131516616,1240008,0,0
unitcube,100000,Float64,4,adaptive,128,ok,0.115,2.062,1.466,3.131,9.053,3.868e-04,4609,4033,127,196525,132873334,1220412,940,940
unitcube,100000,Float64,4,adaptive,256,ok,0.11,2.0,1.353,28.773,34.707,3.755e-04,641,561,254,22597,841811038,94640,1904,1904
unitcube,100000,Float64,4,uniform,3,ok,0.061,0.062,0.714,3.528,8.823,2.138e-04,584,512,275,21016,867959954,121680,0,0
unitcube,100000,Float64,4,uniform,4,ok,0.063,0.281,0.732,2.242,7.397,2.336e-04,4680,4096,49,199480,131516616,1267224,0,0
unitcube,100000,Float64,4,uniform,5,ok,0.069,1.969,0.76,8.737,13.942,2.523e-04,34008,29328,15,1474892,18389722,10567098,0,0
unitcube,100000,Float64,4,uniform,6,ok,0.082,5.969,0.747,17.379,22.714,2.898e-04,115168,81160,6,1622094,2495968,20964670,0,0
unitcube,100000,Float64,4,uniform,7,ok,0.09,6.625,0.949,19.913,25.398,3.485e-04,212444,97276,4,383824,408888,22938792,0,0
unitcube,100000,Float32,4,adaptive,32,ok,10.618,2.428,1.552,18.858,24.334,3.894e-04,9004,7873,32,329617,95462928,1513128,135714,135714
unitcube,100000,Float32,4,adaptive,256,ok,1.033,1.906,1.292,3.745,8.879,3.757e-04,641,561,254,22597,841811038,94640,1904,1904
unitcube,100000,Float32,4,uniform,3,ok,2.208,0.062,0.629,2.035,6.505,2.138e-04,584,512,275,21016,867959954,121680,0,0
unitcube,100000,Float32,4,uniform,4,ok,0.646,0.281,0.666,1.674,6.196,2.337e-04,4680,4096,49,199480,131516616,1267224,0,0
unitcube,100000,Float32,4,uniform,7,ok,0.683,6.438,0.888,14.881,19.7,3.486e-04,212444,97276,4,383830,408894,22938786,0,0
wake,100000,Float64,4,adaptive,32,ok,0.128,2.438,2.002,8.985,15.843,5.434e-04,9214,7936,32,396318,68164480,2324948,37721,37721
wake,100000,Float64,4,adaptive,64,ok,0.119,2.156,1.997,10.643,17.166,5.429e-04,8807,7587,64,376737,71530206,2175864,43614,43614
wake,100000,Float64,4,adaptive,128,ok,0.113,2.062,1.861,14.606,22.179,5.324e-04,1779,1494,128,60924,414125770,235102,12441,12441
wake,100000,Float64,4,adaptive,256,ok,0.111,2.0,1.542,6.344,12.331,5.318e-04,1458,1225,247,52195,444933578,215714,6428,6428
wake,100000,Float64,4,uniform,3,ok,0.061,0.062,0.73,126.859,134.84,3.364e-04,56,32,3377,496,5000699320,432,0,0
wake,100000,Float64,4,uniform,4,ok,0.067,0.25,0.731,14.017,18.844,3.802e-04,312,256,965,8632,1955410568,23544,0,0
wake,100000,Float64,4,uniform,5,ok,0.071,1.781,0.728,2.496,7.638,4.073e-04,1664,1352,148,56324,436209134,255404,0,0
wake,100000,Float64,4,uniform,6,ok,0.077,5.406,0.736,3.215,8.404,4.202e-04,9955,8291,30,401177,66943484,2505042,0,0
wake,100000,Float64,4,uniform,7,ok,0.085,5.75,0.98,12.574,18.794,4.370e-04,58106,48151,9,2095577,9272324,15624022,0,0
wake,100000,Float32,4,adaptive,32,ok,1.205,2.344,1.935,6.082,11.875,5.573e-04,9214,7936,32,396318,68164480,2324948,37721,37721
wake,100000,Float32,4,adaptive,256,ok,1.148,1.906,1.484,2.679,8.003,5.464e-04,1458,1225,247,52195,444933578,215714,6428,6428
wake,100000,Float32,4,uniform,3,ok,0.682,0.062,0.63,56.195,60.77,3.587e-04,56,32,3377,496,5000699320,432,0,0
wake,100000,Float32,4,uniform,4,ok,0.671,0.25,0.654,6.641,11.234,4.027e-04,312,256,965,8632,1955410568,23544,0,0
wake,100000,Float32,4,uniform,7,ok,0.698,5.594,0.884,9.559,14.271,4.564e-04,58106,48151,9,2095577,9272308,15624022,0,0
multiscale100,100000,Float64,4,adaptive,32,ok,0.122,2.438,2.379,24.116,31.009,5.106e-04,9221,8003,32,359991,83617818,1963018,97941,97941
multiscale100,100000,Float64,4,adaptive,64,ok,0.117,2.156,1.981,10.729,17.27,5.032e-04,6660,5817,64,282831,102450902,1678896,35135,35135
multiscale100,100000,Float64,4,adaptive,128,ok,0.121,2.062,1.966,20.54,27.126,5.001e-04,4364,3814,128,183570,176159696,950570,54731,54731
multiscale100,100000,Float64,4,adaptive,256,ok,0.112,2.0,1.881,22.939,29.79,4.650e-04,1069,935,255,40069,607361432,152658,13635,13635
multiscale100,100000,Float64,4,uniform,3,ok,0.061,0.062,0.687,1701.872,1703.493,2.439e-04,584,512,12561,21016,2173759866,121680,0,0
multiscale100,100000,Float64,4,uniform,4,ok,0.064,0.281,0.746,39.07,45.074,3.569e-04,4680,4096,1901,199480,1094113224,1267224,0,0
multiscale100,100000,Float64,4,uniform,5,ok,0.069,1.938,0.734,9.921,15.192,4.325e-04,31381,26701,261,1247489,284929224,9086468,0,0
multiscale100,100000,Float64,4,uniform,6,ok,0.081,5.812,0.738,12.871,18.214,4.556e-04,89201,57820,50,879848,47265088,14614234,0,0
multiscale100,100000,Float64,4,uniform,7,ok,0.092,6.281,0.963,16.164,21.708,4.807e-04,162712,73511,12,688909,6782332,18528302,0,0
multiscale100,100000,Float32,4,adaptive,32,ok,1.184,2.344,2.293,14.405,20.637,5.107e-04,9221,8003,32,359991,83616576,1963018,97941,97941
multiscale100,100000,Float32,4,adaptive,256,ok,1.16,1.906,1.803,5.651,11.255,4.651e-04,1069,935,255,40069,607359390,152658,13635,13635
multiscale100,100000,Float32,4,uniform,3,ok,0.685,0.062,0.658,821.849,829.756,2.441e-04,584,512,12560,21016,2173756988,121680,0,0
multiscale100,100000,Float32,4,uniform,4,ok,0.682,0.281,0.66,17.048,20.454,3.570e-04,4680,4096,1901,199480,1094083694,1267224,0,0
multiscale100,100000,Float32,4,uniform,7,ok,0.717,6.125,0.89,12.22,17.359,4.808e-04,162711,73510,12,688798,6782152,18527722,0,0
unitcube,316228,Float64,4,adaptive,32,ok,0.214,3.844,3.356,13.686,32.021,3.978e-04,36372,31773,32,1672487,184340028,11876434,9383,9383
unitcube,316228,Float64,4,adaptive,64,ok,0.173,2.875,3.345,41.908,61.474,3.969e-04,27612,24158,64,1285478,259137672,8667934,120566,120566
unitcube,316228,Float64,4,adaptive,128,ok,0.129,2.375,3.085,6.474,24.319,3.939e-04,4681,4096,121,199480,1317778740,1240008,0,0
unitcube,316228,Float64,4,adaptive,256,ok,0.128,2.219,3.12,6.467,25.065,3.939e-04,4681,4096,121,199480,1317778740,1240008,0,0
unitcube,316228,Float64,4,uniform,3,ok,0.073,0.094,1.875,30.963,51.424,2.115e-04,584,512,783,21016,8699050088,121680,0,0
unitcube,316228,Float64,4,uniform,4,ok,0.09,0.344,1.894,6.457,23.614,2.230e-04,4680,4096,121,199480,1317778740,1267224,0,0
unitcube,316228,Float64,4,uniform,5,ok,0.081,2.031,1.868,11.324,28.778,2.309e-04,36896,32216,29,1693394,183500992,12060418,0,0
unitcube,316228,Float64,4,uniform,6,ok,0.116,15.344,2.007,45.638,67.12,2.431e-04,210165,173269,9,7127593,24270598,58959540,0,0
unitcube,316228,Float64,4,uniform,7,ok,0.142,20.031,2.543,62.467,80.573,2.649e-04,500337,290172,5,2837626,3398546,76533630,0,0
wake,316228,Float64,4,adaptive,32,ok,0.208,3.875,4.33,61.959,84.831,6.358e-04,61863,53677,32,2825971,106642898,19107714,261982,261982
wake,316228,Float64,4,adaptive,64,ok,0.15,2.875,4.042,14.523,33.657,6.295e-04,9721,8376,64,417722,670668008,2444190,43912,43912
wake,316228,Float64,4,adaptive,128,ok,0.133,2.375,3.658,14.426,32.879,6.287e-04,9388,8115,101,408375,682983528,2394412,43158,43158
wake,316228,Float64,4,adaptive,256,ok,0.15,2.219,3.642,35.371,55.2,6.255e-04,7510,6473,255,320591,873491182,1736974,61469,61469
wake,316228,Float64,4,uniform,3,ok,0.086,0.094,1.94,1229.736,1271.197,3.929e-04,56,32,10653,496,49922765526,432,0,0
wake,316228,Float64,4,uniform,4,ok,0.089,0.312,1.887,137.204,158.399,4.419e-04,312,256,2931,8632,19548319914,23544,0,0
wake,316228,Float64,4,uniform,5,ok,0.094,1.812,1.802,16.607,33.625,4.721e-04,1717,1405,416,58945,4363541062,271478,0,0
wake,316228,Float64,4,uniform,6,ok,0.108,14.031,1.811,6.216,22.684,4.815e-04,10364,8647,72,420139,669289348,2635026,0,0
wake,316228,Float64,4,uniform,7,ok,0.139,17.5,2.578,18.522,36.12,4.899e-04,70009,59645,16,3118523,92179970,22224930,0,0
multiscale100,316228,Float64,4,adaptive,32,ok,0.182,3.875,4.039,44.491,64.511,4.628e-04,45152,39342,32,2045968,151403156,14125824,164290,164290
multiscale100,316228,Float64,4,adaptive,64,ok,0.145,2.875,4.274,66.885,87.043,4.630e-04,20717,18075,64,864345,476224442,5041116,239106,239106
multiscale100,316228,Float64,4,adaptive,128,ok,0.13,2.375,3.658,19.391,38.402,4.554e-04,6970,6092,124,297936,1008858004,1765206,40365,40365
multiscale100,316228,Float64,4,adaptive,256,ok,0.129,2.219,3.642,20.482,38.735,4.534e-04,6638,5807,256,284429,1038549400,1678366,38360,38360
multiscale100,316228,Float64,4,uniform,3,ok,0.072,0.094,1.95,17596.101,17538.541,2.625e-04,584,512,40452,21016,21774690088,121680,0,0
multiscale100,316228,Float64,4,uniform,4,ok,0.104,0.344,1.896,390.852,420.345,3.572e-04,4680,4096,5948,199480,10936631050,1267224,0,0
multiscale100,316228,Float64,4,uniform,5,ok,0.1,2.031,1.883,27.497,44.296,4.089e-04,36275,31595,804,1650597,2855655194,11765892,0,0
multiscale100,316228,Float64,4,uniform,6,ok,0.123,15.0,1.837,38.292,55.129,4.257e-04,173381,137106,123,4526274,473213232,41404372,0,0
multiscale100,316228,Float64,4,uniform,7,ok,0.146,19.188,2.614,44.43,62.673,4.340e-04,377246,203865,26,1893057,67085158,52754180,0,0
unitcube,1000000,Float64,4,adaptive,32,ok,0.513,8.312,8.807,437.942,547.856,3.978e-04,182685,159720,32,7735444,491867440,47974852,2084471,2084471
unitcube,1000000,Float64,4,adaptive,64,ok,0.336,5.219,8.768,21.696,95.899,3.970e-04,37363,32686,64,1725270,1834666400,12251452,339,339
unitcube,1000000,Float64,4,adaptive,128,ok,0.306,3.656,8.401,28.441,100.974,3.970e-04,36079,31569,127,1673885,1857824980,11858632,18986,18986
unitcube,1000000,Float64,4,adaptive,256,ok,0.267,3.125,8.578,108.392,185.303,3.967e-04,25425,22247,256,1174015,2998891564,7697388,148004,148004
unitcube,1000000,Float64,4,uniform,3,ok,0.179,0.25,6.151,302.206,396.02,2.171e-04,584,512,2401,21016,87026686596,121680,0,0
unitcube,1000000,Float64,4,uniform,4,ok,0.178,0.469,5.81,46.121,118.187,2.265e-04,4680,4096,342,199480,13189758870,1267224,0,0
unitcube,1000000,Float64,4,uniform,5,ok,0.183,2.188,5.654,21.531,92.298,2.304e-04,37390,32710,61,1726266,1834560986,12284638,0,0
unitcube,1000000,Float64,4,uniform,6,ok,0.224,16.125,6.073,76.576,149.079,2.331e-04,270147,232757,17,12557247,240745224,94817872,0,0
unitcube,1000000,Float64,4,uniform,7,ok,0.368,59.531,7.822,179.181,267.672,2.420e-04,1038968,768821,7,18654993,31817088,218217600,0,0
unitcube,1000000,Float32,4,adaptive,32,ok,1.491,7.781,7.168,313.734,391.082,3.978e-04,182693,159727,32,7735895,491823552,47977296,2084525,2084525
unitcube,1000000,Float32,4,adaptive,256,ok,1.251,2.906,6.626,49.022,105.058,3.967e-04,25425,22247,256,1174015,2998893138,7697388,148004,148004
unitcube,1000000,Float32,4,uniform,3,ok,0.76,0.156,4.515,142.895,200.432,2.172e-04,584,512,2401,21016,87026614536,121680,0,0
unitcube,1000000,Float32,4,uniform,4,ok,0.75,0.375,4.197,21.734,72.678,2.266e-04,4680,4096,342,199480,13189752322,1267224,0,0
unitcube,1000000,Float32,4,uniform,7,ok,0.896,58.094,6.01,128.786,187.54,2.421e-04,1038965,768818,7,18654844,31817048,218216690,0,0
wake,1000000,Float64,4,adaptive,32,ok,0.418,8.312,9.458,51.4,125.38,6.583e-04,68671,59438,32,3160144,927291742,21895528,155905,155905
wake,1000000,Float64,4,adaptive,64,ok,0.341,5.219,9.494,53.545,129.87,6.583e-04,67583,58572,64,3124084,939440940,21659630,162182,162182
wake,1000000,Float64,4,adaptive,128,ok,0.279,3.656,10.017,133.668,214.664,6.577e-04,52973,45934,128,2302098,1515441616,14450376,426495,426495
wake,1000000,Float64,4,adaptive,256,ok,0.246,3.125,8.89,38.898,113.391,6.554e-04,9533,8227,252,413111,6758810918,2430746,41222,41222
wake,1000000,Float64,4,uniform,3,ok,0.153,0.219,6.493,14073.124,14194.974,4.076e-04,56,32,33306,496,499133604344,432,0,0
wake,1000000,Float64,4,uniform,4,ok,0.171,0.438,5.749,1379.496,1526.815,4.657e-04,312,256,9162,8632,195386154544,23544,0,0
wake,1000000,Float64,4,uniform,5,ok,0.182,1.969,6.942,156.36,240.61,5.014e-04,1720,1408,1231,59056,43603543878,272168,0,0
wake,1000000,Float64,4,uniform,6,ok,0.215,14.156,7.089,28.392,139.973,5.094e-04,10428,8708,182,423308,6689251632,2652766,0,0
wake,1000000,Float64,4,uniform,7,ok,0.319,53.938,7.658,24.991,96.609,5.128e-04,71748,61320,37,3223056,919449840,22868000,0,0
wake,1000000,Float32,4,adaptive,32,ok,1.415,7.781,7.609,33.621,91.369,6.584e-04,68671,59438,32,3160144,927290794,21895528,155905,155905
wake,1000000,Float32,4,adaptive,256,ok,1.244,2.906,6.997,18.927,73.923,6.555e-04,9533,8227,252,413111,6758807420,2430746,41222,41222
wake,1000000,Float32,4,uniform,3,ok,0.741,0.156,4.428,6179.62,6251.352,4.077e-04,56,32,33306,496,499133341310,432,0,0
wake,1000000,Float32,4,uniform,4,ok,0.719,0.375,4.305,655.813,709.209,4.658e-04,312,256,9162,8632,195385812820,23544,0,0
wake,1000000,Float32,4,uniform,7,ok,0.877,52.469,5.882,15.126,67.646,5.129e-04,71748,61320,37,3223056,919449554,22868000,0,0
multiscale100,1000000,Float64,4,adaptive,32,ok,0.401,8.312,10.781,229.201,327.471,4.612e-04,111128,96890,32,4748222,881021880,30493052,1028900,1028900
multiscale100,1000000,Float64,4,adaptive,64,ok,0.317,5.188,9.392,49.966,132.359,4.577e-04,50431,44064,64,2322984,1427223088,16223452,130585,130585
multiscale100,1000000,Float64,4,adaptive,128,ok,0.296,3.656,9.672,84.467,176.684,4.580e-04,39965,34949,128,1859257,1789810610,12451506,242610,242610
multiscale100,1000000,Float64,4,adaptive,256,ok,0.241,3.125,9.719,86.629,159.515,4.574e-04,16052,14041,256,716851,6177972678,4499420,132584,132584
multiscale100,1000000,Float64,4,uniform,3,ok,0.176,0.25,6.041,173038.549,172841.293,2.765e-04,584,512,126947,21016,217144259012,121680,0,0
multiscale100,1000000,Float64,4,uniform,4,ok,0.222,0.469,6.261,3917.725,4030.197,3.637e-04,4680,4096,18763,199480,109239323770,1267224,0,0
multiscale100,1000000,Float64,4,uniform,5,ok,0.19,2.188,6.257,178.703,290.47,4.117e-04,37322,32642,2442,1722780,28492792946,12259992,0,0
multiscale100,1000000,Float64,4,uniform,6,ok,0.232,16.0,8.13,151.252,269.533,4.242e-04,257731,220409,346,11345993,4723065686,86980370,0,0
multiscale100,1000000,Float64,4,uniform,7,ok,0.371,58.156,8.181,133.428,246.347,4.298e-04,811851,554120,59,10117912,668130456,152806998,0,0
multiscale100,1000000,Float32,4,adaptive,32,ok,1.415,7.812,8.333,159.758,244.492,4.612e-04,111128,96890,32,4748222,881021768,30493052,1028900,1028900
multiscale100,1000000,Float32,4,adaptive,256,ok,1.287,2.906,7.715,40.6,104.52,4.574e-04,16052,14041,256,716851,6177972266,4499420,132584,132584
multiscale100,1000000,Float32,4,uniform,3,ok,0.74,0.156,4.781,89888.015,87658.012,2.764e-04,584,512,126947,21016,217144259012,121680,0,0
multiscale100,1000000,Float32,4,uniform,4,ok,0.788,0.375,4.548,2013.392,2110.201,3.637e-04,4680,4096,18763,199480,109239323770,1267224,0,0
multiscale100,1000000,Float32,4,uniform,7,ok,0.924,56.719,6.962,90.941,147.441,4.299e-04,811849,554119,59,10117879,668130470,152806136,0,0
