provenance,backend,case,p,precision,metric,value,gate,status,notes
h200_job_13294119,host,cube_rho4.211,8,Float64,estr_direct_rel_rms,0.0003882851759370884,0.0005,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.789,8,Float64,estr_direct_rel_rms,0.0000918434420544306,0.0005,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.211,4,Float32,estr_direct_rel_rms,0.00040945947448331433,0.001,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.789,4,Float32,estr_direct_rel_rms,0.00015981604478226675,0.001,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.211,8,Float32,estr_direct_rel_rms,0.00038842036204236484,0.001,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.789,8,Float32,estr_direct_rel_rms,0.00009203165009844163,0.001,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.211,4,Float64,estr_fmm_rel_rms,0.0004092979544662178,0.0005,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.789,4,Float64,estr_fmm_rel_rms,0.000159730914780217,0.0005,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.211,8,Float64,estr_fmm_rel_rms,0.0003882851759371453,0.0005,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.789,8,Float64,estr_fmm_rel_rms,0.00009184344205432099,0.0005,PASS,informative early-stop job
h200_job_13294119,host,cube_rho4.211,4,Float32,estr_fmm_rel_rms,0.0004094590773786664,0.001,PASS,Float64 CPU reference
h200_job_13294119,host,cube_rho4.789,4,Float32,estr_fmm_rel_rms,0.00015982133802181934,0.001,PASS,Float64 CPU reference
h200_job_13294119,host,cube_rho4.211,8,Float32,estr_fmm_rel_rms,0.0003884101558132454,0.001,PASS,Float64 CPU reference
h200_job_13294119,host,cube_rho4.789,8,Float32,estr_fmm_rel_rms,0.00009199961259997846,0.001,PASS,Float64 CPU reference
h200_job_13294119,host,cube_rho4.211,4,Float64,mechanical_rel_rms,2.6396993793135704e-9,1e-6,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.789,4,Float64,mechanical_rel_rms,2.6395673012187247e-9,1e-6,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.211,8,Float64,mechanical_rel_rms,2.639470871040456e-9,1e-6,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.789,8,Float64,mechanical_rel_rms,2.639338806001938e-9,1e-6,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.211,4,Float32,mechanical_rel_rms,4.0881713876786536e-7,1e-4,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.789,4,Float32,mechanical_rel_rms,4.015424546576685e-7,1e-4,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.211,8,Float32,mechanical_rel_rms,4.081828937535331e-7,1e-4,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.789,8,Float32,mechanical_rel_rms,4.042286113011428e-7,1e-4,PASS,same delivered radix J
h200_job_13294119,host,cube_rho4.211,4,Float64,j_rel_rms,0.0002136399834221702,NA,INFO,delivered J vs direct
h200_job_13294119,host,cube_rho4.789,4,Float64,j_rel_rms,0.00006395227723838381,NA,INFO,delivered J vs direct
h200_job_13294119,host,cube_rho4.211,8,Float64,j_rel_rms,0.00020814715673364253,NA,INFO,delivered J vs direct
h200_job_13294119,host,cube_rho4.789,8,Float64,j_rel_rms,0.00004186259900494014,NA,INFO,delivered J vs direct
h200_job_13294119,host,cube_rho4.211,4,Float32,j_rel_rms,0.00021364144667308698,NA,INFO,delivered J vs direct
h200_job_13294119,host,cube_rho4.789,4,Float32,j_rel_rms,0.0000639637219657888,NA,INFO,delivered J vs direct
h200_job_13294119,host,cube_rho4.211,8,Float32,j_rel_rms,0.0002081491409499077,NA,INFO,delivered J vs direct
h200_job_13294119,host,cube_rho4.789,8,Float32,j_rel_rms,0.00004187843715580052,NA,INFO,delivered J vs direct
