section,case,p,precision,rho_t,metric,value,gate,verdict,detail
"inventory","p018_710","","","","np","210056","","PASS","sha256=0d913634de780b026649445a7a71e3e76c64ef5716c513636dc1998afd7155ab;file=p018_710_particles.bin"
"inventory","p018_711","","","","np","209993","","PASS","sha256=74814e23d0707464b80036d436dae46433978903e3eb41ba137e6a8863d117ae;file=p018_711_particles.bin"
"inventory","p018_712","","","","np","209950","","PASS","sha256=6c26637a906fafd4cd24d82b227739ac6fee04141bed904dfa0f3f71966a02ca;file=p018_712_particles.bin"
"inventory","p018_713","","","","np","209870","","PASS","sha256=397ba17457dc1eed39457d6187711436287a81b590b51fbcd6884a883b76bb14;file=p018_713_particles.bin"
"inventory","p018_714","","","","np","209746","","PASS","sha256=b10d131dbcc5a43153b41bcdcf51e552897030d53380bea2401b32840af30e5b;file=p018_714_particles.bin"
"inventory","p018_715","","","","np","209762","","PASS","sha256=465e3fa11fdfdb6db8f599ee3e6e0c68a143f70fc989166b530bae7552157893;file=p018_715_particles.bin"
"inventory","p018_716","","","","np","209691","","PASS","sha256=e543a2530fc527db2654223e96fb1fdcefe7445da712f9d3c79f28d0ee423f62;file=p018_716_particles.bin"
"inventory","p018_717","","","","np","209611","","PASS","sha256=fbf05e77110c9fa661b08c4cc6acd258374bd8388aebd816e007664ee8ce04fe;file=p018_717_particles.bin"
"inventory","p018_718","","","","np","209589","","PASS","sha256=9bea0041c5934bf6d6ff394c0f6e5fa3931238ef3e63bee605f9de1a8fc054d9;file=p018_718_particles.bin"
"inventory","p018_719","","","","np","209577","","PASS","sha256=814e4484c0a8d91b41c6388beba2d36f733518f7ac859c6f3f421a3eab652a63;file=p018_719_particles.bin"
"reference","p018_710","","Float64","","direct_u_integrity","1.539202609476963e-14","1.0e-9","PASS",""
"reference","p018_710","","Float64","","direct_j_integrity","1.533771080036484e-14","1.0e-9","PASS",""
"reference","p018_710","","Float64","","gpu_direct_s","5.639375173","","INFO",""
"reference","p018_710","","Float64","","gpu_cpu_Estr_direct_rel_rms","1.1044941009844479e-14","1.0e-9","PASS",""
"reference","p018_710","4","Float64","4.211","cpu_Estr_fmm_vs_direct_rel_rms","2.2981516130164206e-7","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"reference","p018_710","4","Float64","4.789","cpu_Estr_fmm_vs_direct_rel_rms","8.841351029296692e-15","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"reference","p018_710","8","Float64","4.211","cpu_Estr_fmm_vs_direct_rel_rms","2.2981516130164206e-7","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"reference","p018_710","8","Float64","4.789","cpu_Estr_fmm_vs_direct_rel_rms","8.841351029296692e-15","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"reference","p018_710","","Float32","","direct_u_integrity","6.13906153117952e-5","5.0e-5","FAIL",""
"reference","p018_710","","Float32","","direct_j_integrity","0.0001488165189457011","5.0e-5","FAIL",""
"reference","p018_710","","Float32","","gpu_direct_s","3.313371989","","INFO",""
"reference","p018_710","","Float32","","gpu_cpu_Estr_direct_rel_rms","6.158748780422772e-6","5.0e-5","PASS",""
"reference","p018_710","4","Float32","4.211","cpu_Estr_fmm_vs_direct_rel_rms","5.880758689558031e-6","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"reference","p018_710","4","Float32","4.789","cpu_Estr_fmm_vs_direct_rel_rms","5.885119173421942e-6","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"reference","p018_710","8","Float32","4.211","cpu_Estr_fmm_vs_direct_rel_rms","5.880758689558031e-6","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"reference","p018_710","8","Float32","4.789","cpu_Estr_fmm_vs_direct_rel_rms","5.885119173421942e-6","0.001","PASS","legacy CPU FMM matched to candidate cutoff"
"accuracy","p018_710","4","Float64","4.211","u_rel_rms","0.00010882493524282191","0.0005","PASS",""
"accuracy","p018_710","4","Float64","4.211","j_rel_rms","0.0005803370121554658","0.0005","FAIL",""
"accuracy","p018_710","4","Float64","4.211","sfs_rel_rms","0.0027976856655314913","0.0005","FAIL",""
"timing","p018_710","4","Float64","4.211","uj_median_s","0.062856523","","INFO","interleaved synchronized"
"timing","p018_710","4","Float64","4.211","ujsfs_median_s","0.091495335","","INFO","interleaved synchronized"
"timing","p018_710","4","Float64","4.211","sfs_marginal_s","0.028638812","","INFO","interleaved synchronized"
"contract","p018_710","4","Float64","4.211","host_alloc_uj_bytes","107632","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.211","host_alloc_ujsfs_bytes","129856","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.211","device_alloc_uj_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.211","device_alloc_ujsfs_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.211","replay_bitwise_equal","false","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.211","graph_eligible","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.211","graph_exec_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.211","graph_epoch_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"counter","p018_710","4","Float64","4.211","body_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","body_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","body_delta","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","influence_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","influence_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","influence_delta","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","expansion_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","expansion_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","expansion_delta","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","route_before","2","unchanged","PASS",""
"counter","p018_710","4","Float64","4.211","route_after","2","unchanged","PASS",""
"counter","p018_710","4","Float64","4.211","route_delta","0","unchanged","PASS",""
"counter","p018_710","4","Float64","4.211","operator_before","3","unchanged","PASS",""
"counter","p018_710","4","Float64","4.211","operator_after","3","unchanged","PASS",""
"counter","p018_710","4","Float64","4.211","operator_delta","0","unchanged","PASS",""
"counter","p018_710","4","Float64","4.211","metadata_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","metadata_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.211","metadata_delta","0","0","PASS",""
"contract","p018_710","4","Float64","4.211","cache_registry_released","true","","PASS",""
"accuracy","p018_710","4","Float64","4.789","u_rel_rms","0.00010851213045355117","0.0005","PASS",""
"accuracy","p018_710","4","Float64","4.789","j_rel_rms","0.0005534320380340763","0.0005","FAIL",""
"accuracy","p018_710","4","Float64","4.789","sfs_rel_rms","0.0027237584184227853","0.0005","FAIL",""
"timing","p018_710","4","Float64","4.789","uj_median_s","0.063664656","","INFO","interleaved synchronized"
"timing","p018_710","4","Float64","4.789","ujsfs_median_s","0.091910932","","INFO","interleaved synchronized"
"timing","p018_710","4","Float64","4.789","sfs_marginal_s","0.028246276","","INFO","interleaved synchronized"
"contract","p018_710","4","Float64","4.789","host_alloc_uj_bytes","107568","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.789","host_alloc_ujsfs_bytes","129856","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.789","device_alloc_uj_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.789","device_alloc_ujsfs_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.789","replay_bitwise_equal","false","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.789","graph_eligible","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.789","graph_exec_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float64","4.789","graph_epoch_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"counter","p018_710","4","Float64","4.789","body_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","body_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","body_delta","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","influence_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","influence_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","influence_delta","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","expansion_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","expansion_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","expansion_delta","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","route_before","2","unchanged","PASS",""
"counter","p018_710","4","Float64","4.789","route_after","2","unchanged","PASS",""
"counter","p018_710","4","Float64","4.789","route_delta","0","unchanged","PASS",""
"counter","p018_710","4","Float64","4.789","operator_before","3","unchanged","PASS",""
"counter","p018_710","4","Float64","4.789","operator_after","3","unchanged","PASS",""
"counter","p018_710","4","Float64","4.789","operator_delta","0","unchanged","PASS",""
"counter","p018_710","4","Float64","4.789","metadata_before","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","metadata_after","0","0","PASS",""
"counter","p018_710","4","Float64","4.789","metadata_delta","0","0","PASS",""
"contract","p018_710","4","Float64","4.789","cache_registry_released","true","","PASS",""
"accuracy","p018_710","8","Float64","4.211","u_rel_rms","7.555019662054864e-6","0.0005","PASS",""
"accuracy","p018_710","8","Float64","4.211","j_rel_rms","0.00018168703951171566","0.0005","PASS",""
"accuracy","p018_710","8","Float64","4.211","sfs_rel_rms","0.0006371065472776038","0.0005","FAIL",""
"timing","p018_710","8","Float64","4.211","uj_median_s","0.076683231","","INFO","interleaved synchronized"
"timing","p018_710","8","Float64","4.211","ujsfs_median_s","0.105037333","","INFO","interleaved synchronized"
"timing","p018_710","8","Float64","4.211","sfs_marginal_s","0.028354101999999992","","INFO","interleaved synchronized"
"contract","p018_710","8","Float64","4.211","host_alloc_uj_bytes","107568","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.211","host_alloc_ujsfs_bytes","129856","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.211","device_alloc_uj_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.211","device_alloc_ujsfs_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.211","replay_bitwise_equal","false","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.211","graph_eligible","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.211","graph_exec_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.211","graph_epoch_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"counter","p018_710","8","Float64","4.211","body_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","body_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","body_delta","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","influence_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","influence_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","influence_delta","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","expansion_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","expansion_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","expansion_delta","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","route_before","2","unchanged","PASS",""
"counter","p018_710","8","Float64","4.211","route_after","2","unchanged","PASS",""
"counter","p018_710","8","Float64","4.211","route_delta","0","unchanged","PASS",""
"counter","p018_710","8","Float64","4.211","operator_before","3","unchanged","PASS",""
"counter","p018_710","8","Float64","4.211","operator_after","3","unchanged","PASS",""
"counter","p018_710","8","Float64","4.211","operator_delta","0","unchanged","PASS",""
"counter","p018_710","8","Float64","4.211","metadata_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","metadata_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.211","metadata_delta","0","0","PASS",""
"contract","p018_710","8","Float64","4.211","cache_registry_released","true","","PASS",""
"accuracy","p018_710","8","Float64","4.789","u_rel_rms","1.7242596267302305e-6","0.0005","PASS",""
"accuracy","p018_710","8","Float64","4.789","j_rel_rms","1.8047351254169876e-5","0.0005","PASS",""
"accuracy","p018_710","8","Float64","4.789","sfs_rel_rms","5.885845348736533e-5","0.0005","PASS",""
"timing","p018_710","8","Float64","4.789","uj_median_s","0.078270786","","INFO","interleaved synchronized"
"timing","p018_710","8","Float64","4.789","ujsfs_median_s","0.106505789","","INFO","interleaved synchronized"
"timing","p018_710","8","Float64","4.789","sfs_marginal_s","0.02823500300000001","","INFO","interleaved synchronized"
"contract","p018_710","8","Float64","4.789","host_alloc_uj_bytes","107568","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.789","host_alloc_ujsfs_bytes","129856","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.789","device_alloc_uj_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.789","device_alloc_ujsfs_bytes","3784","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.789","replay_bitwise_equal","false","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.789","graph_eligible","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.789","graph_exec_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","8","Float64","4.789","graph_epoch_reused","true","","PASS","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"counter","p018_710","8","Float64","4.789","body_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","body_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","body_delta","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","influence_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","influence_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","influence_delta","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","expansion_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","expansion_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","expansion_delta","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","route_before","2","unchanged","PASS",""
"counter","p018_710","8","Float64","4.789","route_after","2","unchanged","PASS",""
"counter","p018_710","8","Float64","4.789","route_delta","0","unchanged","PASS",""
"counter","p018_710","8","Float64","4.789","operator_before","3","unchanged","PASS",""
"counter","p018_710","8","Float64","4.789","operator_after","3","unchanged","PASS",""
"counter","p018_710","8","Float64","4.789","operator_delta","0","unchanged","PASS",""
"counter","p018_710","8","Float64","4.789","metadata_before","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","metadata_after","0","0","PASS",""
"counter","p018_710","8","Float64","4.789","metadata_delta","0","0","PASS",""
"contract","p018_710","8","Float64","4.789","cache_registry_released","true","","PASS",""
"accuracy","p018_710","4","Float32","4.211","u_rel_rms","0.00010883646267745491","0.001","PASS",""
"accuracy","p018_710","4","Float32","4.211","j_rel_rms","0.0005802545436917252","0.001","PASS",""
"accuracy","p018_710","4","Float32","4.211","sfs_rel_rms","0.0027976973492200635","0.001","FAIL",""
"timing","p018_710","4","Float32","4.211","uj_median_s","0.031026673","","INFO","interleaved synchronized"
"timing","p018_710","4","Float32","4.211","ujsfs_median_s","0.045414259","","INFO","interleaved synchronized"
"timing","p018_710","4","Float32","4.211","sfs_marginal_s","0.014387585999999997","","INFO","interleaved synchronized"
"contract","p018_710","4","Float32","4.211","host_alloc_uj_bytes","105680","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float32","4.211","host_alloc_ujsfs_bytes","126064","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float32","4.211","device_alloc_uj_bytes","2724","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
"contract","p018_710","4","Float32","4.211","device_alloc_ujsfs_bytes","2724","","FAIL","before=(body = 0, influence = 0, expansion = 0, route = 2, operator = 3, metadata = 0)"
