step,np,rho_t,stage,median_s,target_fraction,note
716,209691,4.789,full_resident_rk3,0.357973059,0.10847668454545455,"end-to-end"
716,209691,4.789,full_upload_rk3,0.371197551,0.11248410636363637,"contiguous H2D + RK3 + contiguous D2H"
716,209691,4.789,h2d_46xn,0.006099917,0.001848459696969697,"preallocated contiguous transfer"
716,209691,4.789,d2h_46xn,0.004265057,0.0012924415151515153,"preallocated contiguous transfer"
717,209611,4.789,full_resident_rk3,0.359036917,0.10879906575757577,"end-to-end"
717,209611,4.789,full_upload_rk3,0.370197599,0.1121810906060606,"contiguous H2D + RK3 + contiguous D2H"
717,209611,4.789,h2d_46xn,0.004346111,0.0013170033333333333,"preallocated contiguous transfer"
717,209611,4.789,d2h_46xn,0.004260933,0.0012911918181818182,"preallocated contiguous transfer"
718,209589,4.789,full_resident_rk3,0.361019666,0.1093998987878788,"end-to-end"
718,209589,4.789,full_upload_rk3,0.373468421,0.11317224878787879,"contiguous H2D + RK3 + contiguous D2H"
718,209589,4.789,h2d_46xn,0.004364062,0.0013224430303030305,"preallocated contiguous transfer"
718,209589,4.789,d2h_46xn,0.004252983,0.0012887827272727273,"preallocated contiguous transfer"
719,209577,4.789,full_resident_rk3,0.293394623,0.08890746151515153,"end-to-end"
719,209577,4.789,full_upload_rk3,0.305492908,0.0925736084848485,"contiguous H2D + RK3 + contiguous D2H"
719,209577,4.789,h2d_46xn,0.005703396,0.0017283018181818183,"preallocated contiguous transfer"
719,209577,4.789,d2h_46xn,0.004264274,0.0012922042424242425,"preallocated contiguous transfer"
