schema_version,source_hash,slurm_job_id,host,julia_version,blas_vendor,blas_threads,julia_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,cells,nodes,routes,routes_per_level,direct_pairs,nclasses,construction_ms,grid_refresh_ms,occupancy_refresh_ms,direct_generation_ms,scan_compact_ms,tree_group_refresh_ms,update_ms_median,update_ms_min,update_ms_iqr,b2m_ms_median,m2m_ms_median,m2l_ms_median,m2l_ms_min,m2l_ms_iqr,l2l_ms_median,l2b_ms_median,step_ms_median,step_ms_min,step_ms_iqr,m2l_alloc_bytes,update_alloc_bytes,step_alloc_bytes,occupancy_bytes,operator_bytes,metadata_bytes,expansion_bytes,scratch_bytes,persistent_bytes,peak_bytes,accuracy_samples,potential_error,gradient_error,expansion_host_copies,route_uploads,operator_uploads
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,1,4064,4649,632410,0;0;3096;53352;575962,96072,948,7501.343801,1.187993,0.011311,0.611149,8.736975,0.304172,11.118652,11.0274,0.07558749999999925,NaN,NaN,491.174984,491.137754,0.532942500000047,NaN,NaN,NaN,NaN,NaN,6160,14416,31840,18724,0,196608,2246880,14795008,14795008,579371008,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,2,4064,4649,632410,0;0;3096;53352;575962,96072,948,7512.582029,1.188143,0.011271,0.600228,8.645674,0.310273,11.038592,10.961647,0.04370750000000001,NaN,NaN,485.881342,485.546834,0.8026340000000118,NaN,NaN,NaN,NaN,NaN,4240,12496,28000,18724,0,393216,2246880,19005696,19005696,580444160,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,32,4064,4649,632410,0;0;3096;53352;575962,96072,948,7610.503843,1.215114,0.01091,0.625937,8.625146,0.306476,11.043531,11.02635,0.04894199999999849,NaN,NaN,494.879168,493.808286,1.6365215000000148,NaN,NaN,NaN,NaN,NaN,1552,9808,22624,18724,0,6291456,2246880,145326336,145326336,645013504,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,4,4064,4649,632410,0;0;3096;53352;575962,96072,948,7557.285966,1.169879,0.011392,0.604807,8.68785,0.30332,11.048137,11.032357,0.018464500000000328,NaN,NaN,485.144642,484.974823,0.19410949999996774,NaN,NaN,NaN,NaN,NaN,3280,11536,26080,18724,0,786432,2246880,27427072,27427072,587780096,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,64,4064,4649,632410,0;0;3096;53352;575962,96072,948,7625.581044,1.193263,0.010911,0.610628,12.793633,0.308299,15.177305,15.157337,0.03559149999999889,NaN,NaN,505.977667,505.194175,0.8184035000000449,NaN,NaN,NaN,NaN,NaN,1440,9696,22400,18724,0,12582912,2246880,276932352,276932352,684851200,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,8,4064,4649,632410,0;0;3096;53352;575962,96072,948,7610.021001,1.18118,0.011181,0.603515,8.609243,0.312598,11.003723,10.960352,0.024836499999999262,NaN,NaN,492.625112,491.870905,0.5919925000000603,NaN,NaN,NaN,NaN,NaN,2464,10720,24448,18724,0,1572864,2246880,44269824,44269824,595222528,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,128,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7687.070176,1.203131,0.011803,3.790446,46.541144,0.323298,52.141213,52.037999,0.09562950000000114,NaN,NaN,2806.715707,2804.373813,17.949773500000447,NaN,NaN,NaN,NaN,NaN,2688,10944,24896,18724,0,25165824,2246880,518585752,518585752,854310912,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,16,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7719.269422,1.17027,0.012023,3.755962,46.741951,0.307198,52.276216,52.168193,0.0645214999999979,NaN,NaN,2416.714447,2416.1306,8.433415500000137,NaN,NaN,NaN,NaN,NaN,11984,20240,43488,18724,0,3145728,2246880,82444696,82444696,652488704,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,1,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7607.432917,1.19168,0.011612,3.761713,46.16252,0.313309,51.718916,51.50278,0.2186359999999965,NaN,NaN,2318.784864,2317.03815,2.0914020000000164,NaN,NaN,NaN,NaN,NaN,144240,152496,308000,18724,0,196608,2246880,19284376,19284376,606334976,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,64,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,2,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7604.060436,1.205446,0.011401,3.774256,46.463789,0.308901,52.07001,52.035815,0.07356399999999752,NaN,NaN,2283.22882,2281.631858,1.9432885000001079,NaN,NaN,NaN,NaN,NaN,74144,82400,167808,18724,0,393216,2246880,23495064,23495064,590946304,0,NaN,NaN,0,0,0
