stage,form,precision,blas_threads,P,batch,measured_batch,scaled_from_per_expansion,seconds,seconds_per_expansion
axis_swap,compiled_block_loop,Float64,4,8,8,8,false,5.661250e-06,7.076563e-07
m2m_z_translation,dense,Float32,4,8,8,8,false,1.303750e-06,1.629688e-07
m2m_z_translation,dense_packed,Float32,4,8,8,8,false,2.300420e-06,2.875525e-07
m2m_z_translation,compiled_block_loop,Float32,4,8,8,8,false,1.786250e-06,2.232812e-07
m2l_z_translation,dense,Float32,4,8,8,8,false,1.270830e-06,1.588537e-07
m2l_z_translation,dense_packed,Float32,4,8,8,8,false,2.239170e-06,2.798963e-07
m2l_z_translation,compiled_block_loop,Float32,4,8,8,8,false,1.879580e-06,2.349475e-07
l2l_z_translation,dense,Float32,4,8,8,8,false,1.266670e-06,1.583338e-07
l2l_z_translation,dense_packed,Float32,4,8,8,8,false,2.241670e-06,2.802088e-07
l2l_z_translation,compiled_block_loop,Float32,4,8,8,8,false,1.933330e-06,2.416662e-07
axis_swap,dense,Float32,4,8,8,8,false,1.947500e-06,2.434375e-07
axis_swap,dense_packed,Float32,4,8,8,8,false,3.650830e-06,4.563537e-07
axis_swap,compiled_block_loop,Float32,4,8,8,8,false,5.506250e-06,6.882813e-07
m2m_z_translation,recurrence,Float64,4,8,64,64,false,1.172500e-05,1.832031e-07
m2l_z_translation,recurrence,Float64,4,8,64,64,false,2.274170e-05,3.553391e-07
l2l_z_translation,recurrence,Float64,4,8,64,64,false,1.325420e-05,2.070969e-07
axis_swap,recurrence,Float64,4,8,64,64,false,1.482500e-04,2.316406e-06
m2m_z_translation,dense,Float64,4,8,64,64,false,6.916660e-06,1.080728e-07
m2m_z_translation,dense_packed,Float64,4,8,64,64,false,1.446250e-05,2.259766e-07
m2m_z_translation,compiled_block_loop,Float64,4,8,64,64,false,1.472090e-05,2.300141e-07
m2l_z_translation,dense,Float64,4,8,64,64,false,6.910000e-06,1.079687e-07
m2l_z_translation,dense_packed,Float64,4,8,64,64,false,1.442500e-05,2.253906e-07
m2l_z_translation,compiled_block_loop,Float64,4,8,64,64,false,1.477910e-05,2.309234e-07
l2l_z_translation,dense,Float64,4,8,64,64,false,6.935830e-06,1.083723e-07
l2l_z_translation,dense_packed,Float64,4,8,64,64,false,1.525410e-05,2.383453e-07
l2l_z_translation,compiled_block_loop,Float64,4,8,64,64,false,1.409170e-05,2.201828e-07
axis_swap,dense,Float64,4,8,64,64,false,1.307920e-05,2.043625e-07
axis_swap,dense_packed,Float64,4,8,64,64,false,2.597500e-05,4.058594e-07
axis_swap,compiled_block_loop,Float64,4,8,64,64,false,4.500000e-05,7.031250e-07
m2m_z_translation,dense,Float32,4,8,64,64,false,6.272910e-06,9.801422e-08
m2m_z_translation,dense_packed,Float32,4,8,64,64,false,1.370830e-05,2.141922e-07
m2m_z_translation,compiled_block_loop,Float32,4,8,64,64,false,1.549580e-05,2.421219e-07
m2l_z_translation,dense,Float32,4,8,64,64,false,6.268340e-06,9.794281e-08
m2l_z_translation,dense_packed,Float32,4,8,64,64,false,1.370410e-05,2.141266e-07
m2l_z_translation,compiled_block_loop,Float32,4,8,64,64,false,1.518750e-05,2.373047e-07
l2l_z_translation,dense,Float32,4,8,64,64,false,6.266670e-06,9.791672e-08
l2l_z_translation,dense_packed,Float32,4,8,64,64,false,1.371670e-05,2.143234e-07
l2l_z_translation,compiled_block_loop,Float32,4,8,64,64,false,1.519160e-05,2.373687e-07
