stage,form,precision,blas_threads,P,batch,seconds,seconds_per_expansion
m2l_z_translation,dense,Float32,1,5,64,3.559160e-06,5.561188e-08
axis_swap,dense,Float32,1,5,64,5.380000e-06,8.406250e-08
m2l_z_translation,recurrence,Float64,1,5,512,7.212920e-05,1.408773e-07
axis_swap,recurrence,Float64,1,5,512,3.320000e-04,6.484375e-07
m2l_z_translation,dense,Float64,1,5,512,2.818330e-05,5.504551e-08
axis_swap,dense,Float64,1,5,512,4.714160e-05,9.207344e-08
m2l_z_translation,dense,Float32,1,5,512,2.525830e-05,4.933262e-08
axis_swap,dense,Float32,1,5,512,4.005410e-05,7.823066e-08
m2l_z_translation,recurrence,Float64,1,5,4096,5.767500e-04,1.408081e-07
axis_swap,recurrence,Float64,1,5,4096,2.656875e-03,6.486511e-07
m2l_z_translation,dense,Float64,1,5,4096,2.216670e-04,5.411792e-08
axis_swap,dense,Float64,1,5,4096,3.757910e-04,9.174585e-08
m2l_z_translation,dense,Float32,1,5,4096,1.988750e-04,4.855347e-08
axis_swap,dense,Float32,1,5,4096,3.153750e-04,7.699585e-08
m2l_z_translation,recurrence,Float64,1,6,1,2.052500e-07,2.052500e-07
axis_swap,recurrence,Float64,1,6,1,1.081250e-06,1.081250e-06
m2l_z_translation,dense,Float64,1,6,1,4.385840e-07,4.385840e-07
axis_swap,dense,Float64,1,6,1,5.751670e-07,5.751670e-07
m2l_z_translation,dense,Float32,1,6,1,4.948750e-07,4.948750e-07
axis_swap,dense,Float32,1,6,1,6.484160e-07,6.484160e-07
m2l_z_translation,recurrence,Float64,1,6,8,1.648750e-06,2.060938e-07
axis_swap,recurrence,Float64,1,6,8,8.600830e-06,1.075104e-06
m2l_z_translation,dense,Float64,1,6,8,9.217080e-07,1.152135e-07
axis_swap,dense,Float64,1,6,8,1.378750e-06,1.723438e-07
m2l_z_translation,dense,Float32,1,6,8,9.797500e-07,1.224688e-07
axis_swap,dense,Float32,1,6,8,1.327080e-06,1.658850e-07
m2l_z_translation,recurrence,Float64,1,6,64,1.314580e-05,2.054031e-07
axis_swap,recurrence,Float64,1,6,64,6.876660e-05,1.074478e-06
m2l_z_translation,dense,Float64,1,6,64,5.016670e-06,7.838547e-08
axis_swap,dense,Float64,1,6,64,8.388750e-06,1.310742e-07
m2l_z_translation,dense,Float32,1,6,64,4.637080e-06,7.245438e-08
axis_swap,dense,Float32,1,6,64,7.068750e-06,1.104492e-07
m2l_z_translation,recurrence,Float64,1,6,512,1.050000e-04,2.050781e-07
axis_swap,recurrence,Float64,1,6,512,5.499590e-04,1.074139e-06
m2l_z_translation,dense,Float64,1,6,512,3.732920e-05,7.290859e-08
axis_swap,dense,Float64,1,6,512,6.474580e-05,1.264566e-07
m2l_z_translation,dense,Float32,1,6,512,3.333340e-05,6.510430e-08
axis_swap,dense,Float32,1,6,512,5.309590e-05,1.037029e-07
m2l_z_translation,recurrence,Float64,1,6,4096,8.401670e-04,2.051189e-07
axis_swap,recurrence,Float64,1,6,4096,4.401208e-03,1.074514e-06
m2l_z_translation,dense,Float64,1,6,4096,2.951670e-04,7.206226e-08
axis_swap,dense,Float64,1,6,4096,5.154170e-04,1.258342e-07
m2l_z_translation,dense,Float32,1,6,4096,2.627920e-04,6.415820e-08
axis_swap,dense,Float32,1,6,4096,4.190830e-04,1.023152e-07
m2l_z_translation,recurrence,Float64,1,7,1,2.870000e-07,2.870000e-07
axis_swap,recurrence,Float64,1,7,1,1.681250e-06,1.681250e-06
m2l_z_translation,dense,Float64,1,7,1,5.264580e-07,5.264580e-07
axis_swap,dense,Float64,1,7,1,7.182910e-07,7.182910e-07
m2l_z_translation,dense,Float32,1,7,1,5.868750e-07,5.868750e-07
axis_swap,dense,Float32,1,7,1,7.822910e-07,7.822910e-07
m2l_z_translation,recurrence,Float64,1,7,8,2.302080e-06,2.877600e-07
axis_swap,recurrence,Float64,1,7,8,1.345830e-05,1.682287e-06
m2l_z_translation,dense,Float64,1,7,8,1.107500e-06,1.384375e-07
axis_swap,dense,Float64,1,7,8,1.794160e-06,2.242700e-07
m2l_z_translation,dense,Float32,1,7,8,1.155000e-06,1.443750e-07
axis_swap,dense,Float32,1,7,8,1.689580e-06,2.111975e-07
m2l_z_translation,recurrence,Float64,1,7,64,1.837500e-05,2.871094e-07
axis_swap,recurrence,Float64,1,7,64,1.076250e-04,1.681641e-06
m2l_z_translation,dense,Float64,1,7,64,6.188750e-06,9.669922e-08
axis_swap,dense,Float64,1,7,64,1.136250e-05,1.775391e-07
m2l_z_translation,dense,Float32,1,7,64,5.525410e-06,8.633453e-08
axis_swap,dense,Float32,1,7,64,9.342080e-06,1.459700e-07
m2l_z_translation,recurrence,Float64,1,7,512,1.469170e-04,2.869473e-07
axis_swap,recurrence,Float64,1,7,512,8.597910e-04,1.679279e-06
m2l_z_translation,dense,Float64,1,7,512,4.592920e-05,8.970547e-08
axis_swap,dense,Float64,1,7,512,8.734160e-05,1.705891e-07
m2l_z_translation,dense,Float32,1,7,512,3.988330e-05,7.789707e-08
axis_swap,dense,Float32,1,7,512,7.079170e-05,1.382650e-07
m2l_z_translation,recurrence,Float64,1,7,4096,1.175875e-03,2.870789e-07
axis_swap,recurrence,Float64,1,7,4096,6.870375e-03,1.677338e-06
m2l_z_translation,dense,Float64,1,7,4096,3.644590e-04,8.897925e-08
axis_swap,dense,Float64,1,7,4096,6.956660e-04,1.698403e-07
m2l_z_translation,dense,Float32,1,7,4096,3.145830e-04,7.680249e-08
axis_swap,dense,Float32,1,7,4096,5.653330e-04,1.380208e-07
m2l_z_translation,recurrence,Float64,1,10,1,6.597910e-07,6.597910e-07
axis_swap,recurrence,Float64,1,10,1,5.176250e-06,5.176250e-06
m2l_z_translation,dense,Float64,1,10,1,8.456250e-07,8.456250e-07
axis_swap,dense,Float64,1,10,1,1.192500e-06,1.192500e-06
m2l_z_translation,dense,Float32,1,10,1,8.932500e-07,8.932500e-07
axis_swap,dense,Float32,1,10,1,1.253340e-06,1.253340e-06
m2l_z_translation,recurrence,Float64,1,10,8,5.284170e-06,6.605212e-07
axis_swap,recurrence,Float64,1,10,8,4.141250e-05,5.176562e-06
m2l_z_translation,dense,Float64,1,10,8,1.885000e-06,2.356250e-07
axis_swap,dense,Float64,1,10,8,3.253750e-06,4.067187e-07
m2l_z_translation,dense,Float32,1,10,8,1.876250e-06,2.345313e-07
axis_swap,dense,Float32,1,10,8,2.988330e-06,3.735412e-07
m2l_z_translation,recurrence,Float64,1,10,64,4.222920e-05,6.598312e-07
axis_swap,recurrence,Float64,1,10,64,3.312910e-04,5.176422e-06
m2l_z_translation,dense,Float64,1,10,64,1.103330e-05,1.723953e-07
axis_swap,dense,Float64,1,10,64,2.148750e-05,3.357422e-07
m2l_z_translation,dense,Float32,1,10,64,9.407910e-06,1.469986e-07
axis_swap,dense,Float32,1,10,64,1.798750e-05,2.810547e-07
m2l_z_translation,recurrence,Float64,1,10,512,3.375420e-04,6.592617e-07
axis_swap,recurrence,Float64,1,10,512,2.651125e-03,5.177979e-06
m2l_z_translation,dense,Float64,1,10,512,8.253340e-05,1.611980e-07
axis_swap,dense,Float64,1,10,512,1.635830e-04,3.194980e-07
m2l_z_translation,dense,Float32,1,10,512,6.937920e-05,1.355063e-07
axis_swap,dense,Float32,1,10,512,1.370420e-04,2.676602e-07
m2l_z_translation,recurrence,Float64,1,10,4096,2.702042e-03,6.596782e-07
axis_swap,recurrence,Float64,1,10,4096,2.122538e-02,5.181976e-06
m2l_z_translation,dense,Float64,1,10,4096,6.566250e-04,1.603088e-07
axis_swap,dense,Float64,1,10,4096,1.312291e-03,3.203835e-07
m2l_z_translation,dense,Float32,1,10,4096,5.475420e-04,1.336772e-07
axis_swap,dense,Float32,1,10,4096,1.092334e-03,2.666831e-07
m2l_z_translation,recurrence,Float64,1,14,1,1.572920e-06,1.572920e-06
axis_swap,recurrence,Float64,1,14,1,1.619170e-05,1.619170e-05
m2l_z_translation,dense,Float64,1,14,1,1.332080e-06,1.332080e-06
axis_swap,dense,Float64,1,14,1,2.195410e-06,2.195410e-06
m2l_z_translation,dense,Float32,1,14,1,1.391670e-06,1.391670e-06
axis_swap,dense,Float32,1,14,1,2.149170e-06,2.149170e-06
m2l_z_translation,recurrence,Float64,1,14,8,1.258340e-05,1.572925e-06
axis_swap,recurrence,Float64,1,14,8,1.295410e-04,1.619262e-05
m2l_z_translation,dense,Float64,1,14,8,3.331660e-06,4.164575e-07
axis_swap,dense,Float64,1,14,8,6.528750e-06,8.160937e-07
m2l_z_translation,dense,Float32,1,14,8,3.114580e-06,3.893225e-07
axis_swap,dense,Float32,1,14,8,5.608340e-06,7.010425e-07
m2l_z_translation,recurrence,Float64,1,14,64,1.006660e-04,1.572906e-06
axis_swap,recurrence,Float64,1,14,64,1.036458e-03,1.619466e-05
m2l_z_translation,dense,Float64,1,14,64,2.084160e-05,3.256500e-07
axis_swap,dense,Float64,1,14,64,4.397500e-05,6.871094e-07
m2l_z_translation,dense,Float32,1,14,64,1.719580e-05,2.686844e-07
axis_swap,dense,Float32,1,14,64,3.610420e-05,5.641281e-07
m2l_z_translation,recurrence,Float64,1,14,512,8.051660e-04,1.572590e-06
axis_swap,recurrence,Float64,1,14,512,8.297250e-03,1.620557e-05
m2l_z_translation,dense,Float64,1,14,512,1.567920e-04,3.062344e-07
axis_swap,dense,Float64,1,14,512,3.403750e-04,6.647949e-07
m2l_z_translation,dense,Float32,1,14,512,1.265410e-04,2.471504e-07
axis_swap,dense,Float32,1,14,512,2.767500e-04,5.405273e-07
m2l_z_translation,recurrence,Float64,1,14,4096,6.445208e-03,1.573537e-06
axis_swap,recurrence,Float64,1,14,4096,6.643175e-02,1.621869e-05
m2l_z_translation,dense,Float64,1,14,4096,1.243917e-03,3.036907e-07
axis_swap,dense,Float64,1,14,4096,2.745750e-03,6.703491e-07
m2l_z_translation,dense,Float32,1,14,4096,1.004083e-03,2.451375e-07
axis_swap,dense,Float32,1,14,4096,2.207209e-03,5.388694e-07
m2l_z_translation,recurrence,Float64,1,20,1,4.050000e-06,4.050000e-06
axis_swap,recurrence,Float64,1,20,1,6.045800e-05,6.045800e-05
m2l_z_translation,dense,Float64,1,20,1,2.257080e-06,2.257080e-06
axis_swap,dense,Float64,1,20,1,4.903750e-06,4.903750e-06
m2l_z_translation,dense,Float32,1,20,1,2.307920e-06,2.307920e-06
axis_swap,dense,Float32,1,20,1,4.041250e-06,4.041250e-06
m2l_z_translation,recurrence,Float64,1,20,8,3.243330e-05,4.054162e-06
axis_swap,recurrence,Float64,1,20,8,4.842500e-04,6.053125e-05
m2l_z_translation,dense,Float64,1,20,8,6.045000e-06,7.556250e-07
axis_swap,dense,Float64,1,20,8,1.541670e-05,1.927088e-06
m2l_z_translation,dense,Float32,1,20,8,5.595420e-06,6.994275e-07
axis_swap,dense,Float32,1,20,8,1.138750e-05,1.423438e-06
m2l_z_translation,recurrence,Float64,1,20,64,2.593330e-04,4.052078e-06
axis_swap,recurrence,Float64,1,20,64,3.873833e-03,6.052864e-05
m2l_z_translation,dense,Float64,1,20,64,3.882080e-05,6.065750e-07
axis_swap,dense,Float64,1,20,64,1.023330e-04,1.598953e-06
m2l_z_translation,dense,Float32,1,20,64,3.317080e-05,5.182937e-07
axis_swap,dense,Float32,1,20,64,7.339580e-05,1.146809e-06
m2l_z_translation,recurrence,Float64,1,20,512,2.075875e-03,4.054443e-06
axis_swap,recurrence,Float64,1,20,512,3.101029e-02,6.056698e-05
m2l_z_translation,dense,Float64,1,20,512,2.968330e-04,5.797520e-07
axis_swap,dense,Float64,1,20,512,7.955000e-04,1.553711e-06
m2l_z_translation,dense,Float32,1,20,512,2.544580e-04,4.969883e-07
axis_swap,dense,Float32,1,20,512,5.695830e-04,1.112467e-06
m2l_z_translation,recurrence,Float64,1,20,4096,1.660438e-02,4.053802e-06
axis_swap,recurrence,Float64,1,20,4096,2.483755e-01,6.063856e-05
m2l_z_translation,dense,Float64,1,20,4096,2.369959e-03,5.786033e-07
axis_swap,dense,Float64,1,20,4096,6.417042e-03,1.566661e-06
m2l_z_translation,dense,Float32,1,20,4096,1.943333e-03,4.744465e-07
axis_swap,dense,Float32,1,20,4096,4.539250e-03,1.108215e-06
