case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,self,1.000,u,109,5.669576995e-04,4.869641397e-02
rotor,self,1.000,u,110,5.502063884e-04,4.757773635e-02
rotor,self,1.000,u,111,5.331846370e-04,4.722974778e-02
rotor,self,1.000,u,112,5.157521474e-04,4.703002988e-02
rotor,self,1.000,u,113,4.983393164e-04,4.621619061e-02
rotor,self,1.000,u,114,4.810762658e-04,4.522339533e-02
rotor,self,1.000,u,115,4.644195373e-04,4.364611014e-02
rotor,self,1.000,u,116,4.475087146e-04,4.319003872e-02
rotor,self,1.000,u,117,4.305786774e-04,4.240516090e-02
rotor,self,1.000,u,118,4.135829428e-04,4.165850319e-02
rotor,self,1.000,u,119,3.978319455e-04,3.931845129e-02
rotor,self,1.000,u,120,3.818638282e-04,3.880702368e-02
rotor,self,1.000,u,121,3.666506888e-04,3.711337298e-02
rotor,self,1.000,u,122,3.511652951e-04,3.666811432e-02
rotor,self,1.000,u,123,3.365142467e-04,3.490987499e-02
rotor,self,1.000,u,124,3.218899923e-04,3.412746773e-02
rotor,self,1.000,u,125,3.067745765e-04,3.390317959e-02
rotor,self,1.000,u,126,2.916932292e-04,3.304162181e-02
rotor,self,1.000,u,127,2.762600356e-04,3.256155159e-02
rotor,self,1.000,u,128,2.613953818e-04,3.109211755e-02
rotor,self,1.000,u,129,2.459695260e-04,3.076845830e-02
rotor,self,1.000,u,130,2.297711806e-04,3.053102422e-02
rotor,self,1.000,u,131,2.139014568e-04,2.918346774e-02
rotor,self,1.000,u,132,1.985629627e-04,2.766339617e-02
rotor,self,1.000,u,133,1.825875421e-04,2.713909044e-02
rotor,self,1.000,u,134,1.653940102e-04,2.690181300e-02
rotor,self,1.000,u,135,1.473267271e-04,2.614241202e-02
rotor,self,1.000,u,136,1.283455261e-04,2.515818235e-02
rotor,self,1.000,u,137,1.079362503e-04,2.415181650e-02
rotor,self,1.000,u,138,8.793865899e-05,2.176702806e-02
rotor,self,1.000,u,139,6.508952362e-05,2.056560474e-02
rotor,self,1.000,u,140,4.859373391e-05,1.506106558e-02
rotor,self,1.000,u,141,3.368444971e-05,1.218124375e-02
rotor,self,1.000,u,142,1.958388409e-05,9.531773468e-03
rotor,self,1.000,u,143,1.270717216e-05,5.182656562e-03
rotor,self,1.000,u,144,0.000000000e+00,4.419466060e-03
rotor,self,1.000,uj,1,9.683337637e-01,1.736594736e+02
rotor,self,1.000,uj,2,9.428254292e-01,1.535820174e+02
rotor,self,1.000,uj,3,9.186483029e-01,1.475644285e+02
rotor,self,1.000,uj,4,8.938944223e-01,1.473386401e+02
rotor,self,1.000,uj,5,8.706155634e-01,1.409755471e+02
rotor,self,1.000,uj,6,8.508561344e-01,1.282885874e+02
rotor,self,1.000,uj,7,8.321419822e-01,1.234462149e+02
rotor,self,1.000,uj,8,8.145556126e-01,1.183711615e+02
rotor,self,1.000,uj,9,7.971688521e-01,1.164409178e+02
rotor,self,1.000,uj,10,7.801011151e-01,1.141279122e+02
rotor,self,1.000,uj,11,7.649229299e-01,1.065193310e+02
rotor,self,1.000,uj,12,7.498279122e-01,1.051812430e+02
rotor,self,1.000,uj,13,7.356127400e-01,1.010775253e+02
rotor,self,1.000,uj,14,7.291305326e-01,6.777867928e+01
rotor,self,1.000,uj,15,7.225901947e-01,6.777858788e+01
rotor,self,1.000,uj,16,7.159901182e-01,6.777857346e+01
rotor,self,1.000,uj,17,7.093286390e-01,6.777854215e+01
rotor,self,1.000,uj,18,7.026040060e-01,6.777853350e+01
